idGrade,x,y,bacia
1,-49.7,-26.6,1
2,-49.6,-26.6,1
3,-49.8,-26.5,1
4,-49.7,-26.5,1
5,-49.6,-26.5,1
6,-49.5,-26.5,1
7,-49.9,-26.4,1
8,-49.8,-26.4,1
9,-49.7,-26.4,1
10,-49.6,-26.4,1
11,-49.5,-26.4,1
12,-49.9,-26.3,1
13,-49.8,-26.3,1
14,-49.7,-26.3,1
15,-49.6,-26.3,1
16,-49.5,-26.3,1
17,-49.4,-26.3,1
18,-49.8,-26.2,1
19,-49.7,-26.2,1
20,-49.6,-26.2,1
21,-49.5,-26.2,1
22,-49.4,-26.2,1
23,-49.3,-26.2,1
24,-49.2,-26.2,1
25,-49.7,-26.1,1
26,-49.5,-26.1,1
27,-49.4,-26.1,1
28,-49.3,-26.1,1
29,-49.2,-26.1,1
30,-49.2,-26.0,1
31,-49.1,-26.0,1
32,-49.0,-26.0,1
33,-49.8,-25.7,2
34,-49.7,-25.7,2
35,-49.6,-25.7,2
36,-49.5,-25.7,2
37,-49.4,-25.7,2
38,-49.3,-25.7,2
39,-49.2,-25.7,2
40,-49.1,-25.7,2
41,-49.8,-25.6,2
42,-49.7,-25.6,2
43,-49.6,-25.6,2
44,-49.5,-25.6,2
45,-49.4,-25.6,2
46,-49.3,-25.6,2
47,-49.2,-25.6,2
48,-49.1,-25.6,2
49,-49.0,-25.6,2
50,-49.8,-25.5,2
51,-49.7,-25.5,2
52,-49.6,-25.5,2
53,-49.5,-25.5,2
54,-49.4,-25.5,2
55,-49.3,-25.5,2
56,-49.2,-25.5,2
57,-49.1,-25.5,2
58,-49.0,-25.5,2
59,-49.5,-25.4,2
60,-49.4,-25.4,2
61,-49.3,-25.4,2
62,-49.2,-25.4,2
63,-49.1,-25.4,2
64,-49.0,-25.4,2
65,-49.3,-25.3,2
66,-49.2,-25.3,2
67,-49.7,-26.0,3
68,-49.6,-26.0,3
69,-49.5,-26.0,3
70,-49.4,-26.0,3
71,-49.3,-26.0,3
72,-49.7,-25.9,3
73,-49.6,-25.9,3
74,-49.5,-25.9,3
75,-49.4,-25.9,3
76,-49.3,-25.9,3
77,-49.2,-25.9,3
78,-49.7,-25.8,3
79,-49.6,-25.8,3
80,-49.5,-25.8,3
81,-49.4,-25.8,3
82,-49.3,-25.8,3
83,-49.2,-25.8,3
84,-50.9,-25.9,4
85,-50.8,-25.9,4
86,-50.7,-25.9,4
87,-50.6,-25.9,4
88,-50.9,-25.8,4
89,-50.8,-25.8,4
90,-50.7,-25.8,4
91,-50.6,-25.8,4
92,-50.5,-25.8,4
93,-50.9,-25.7,4
94,-50.8,-25.7,4
95,-50.7,-25.7,4
96,-50.6,-25.7,4
97,-50.5,-25.7,4
98,-51.0,-25.6,4
99,-50.9,-25.6,4
100,-50.8,-25.6,4
101,-50.7,-25.6,4
102,-50.6,-25.6,4
103,-50.8,-25.5,4
104,-50.7,-25.5,4
105,-50.6,-26.8,5
106,-50.5,-26.8,5
107,-50.4,-26.8,5
