idPosto,inicio_serie
 23365141_simepar,2014-05-22 16:00:00+00:00
 24925344_simepar,2015-02-23 15:00:00+00:00
 25005346_simepar,2015-02-23 17:00:00+00:00
 25095359_simepar,2015-11-14 12:00:00+00:00
 25105287_simepar,2014-07-25 12:00:00+00:00
 25115408_simepar,1997-06-01 03:00:00+00:00
 25215130_simepar,1997-06-01 03:00:00+00:00
 25254905_simepar,1998-07-10 20:00:00+00:00
 25264913_simepar,2006-12-04 01:00:00+00:00  
 25264916_simepar,1997-06-01 03:00:00+00:00
 25264930_simepar,2014-07-25 12:00:00+00:00
 25275035_simepar,1998-11-28 04:00:00+00:00
 25275357_simepar,2015-02-27 11:00:00+00:00
 25284923_simepar,2016-01-28 18:00:00+00:00
 25314930_simepar,2014-07-25 12:00:00+00:00
 25314931_simepar,2014-07-25 12:00:00+00:00
 25315021_simepar,2009-07-11 20:00:00+00:00
 25315119_simepar,2013-03-26 16:00:00+00:00
 25315254_simepar,2015-02-25 15:00:00+00:00
 25315329_simepar,1998-10-24 01:00:00+00:00
 25324915_simepar,2016-10-27 00:00:00+00:00
 25324916_simepar,2016-02-24 17:00:00+00:00
 25324927_simepar,2015-02-05 22:00:00+00:00
 25334953_simepar,1997-06-01 03:00:00+00:00
 25335105_simepar,2006-12-04 01:00:00+00:00
 25335129_simepar,2001-01-18 22:00:00+00:00
 25344925_simepar,2014-07-25 12:00:00+00:00
 25344928_simepar,2014-07-25 12:00:00+00:00
 25345306_simepar,2002-08-28 05:00:00+00:00
 25345422_simepar,2014-08-11 20:00:00+00:00
 25345435_simepar,1997-06-01 03:00:00+00:00
 25345816_simepar,2006-05-26 17:00:00+00:00
 25354926_simepar,2015-03-10 14:00:00+00:00
 25355424_simepar,2014-07-25 12:00:00+00:00
 25364907_simepar,2016-06-14 15:00:00+00:00
 25364911_simepar,2014-07-25 12:00:00+00:00
 25364919_simepar,2015-02-23 13:00:00+00:00
 25365143_simepar,2015-02-24 21:00:00+00:00
 25365239_simepar,2016-10-27 00:00:00+00:00
 25374931_simepar,2014-07-25 12:00:00+00:00
 25375212_simepar,2017-10-07 15:00:00+00:00
 25375427_simepar,2014-08-12 06:00:00+00:00
 25384920_simepar,2015-02-05 22:00:00+00:00
 25384924_simepar,2014-12-14 15:00:00+00:00
 25384930_simepar,2014-12-12 17:00:00+00:00
 25384933_simepar,2014-12-14 14:00:00+00:00
 25385149_simepar,2015-12-12 11:00:00+00:00
 25385157_simepar,2003-04-08 06:00:00+00:00
 25385201_simepar,2012-05-24 19:00:00+00:00
 25395143_simepar,2014-02-04 12:00:00+00:00
 25404918_simepar,2014-07-25 12:00:00+00:00
 25404919_simepar,2014-07-25 12:00:00+00:00
 25405149_simepar,2015-02-25 12:00:00+00:00
 25405259_simepar,2015-09-01 17:00:00+00:00
 25414930_simepar,2014-12-12 14:00:00+00:00
 25414936_simepar,2015-03-10 12:00:00+00:00
 25424934_simepar,2014-12-14 14:00:00+00:00
 25424938_simepar,2016-06-13 20:00:00+00:00
 25425241_simepar,2017-11-09 14:00:00+00:00
 25435059_simepar,2015-12-15 19:00:00+00:00
 25435458_simepar,2017-05-09 19:00:00+00:00
 25444916_simepar,2014-07-25 12:00:00+00:00
 25444920_simepar,2014-07-25 12:00:00+00:00
 25444935_simepar,2015-02-05 22:00:00+00:00
 25444946_simepar,2016-02-19 00:00:00+00:00
 25444947_simepar,2016-01-28 11:00:00+00:00
 25445068_simepar,2013-03-27 15:00:00+00:00
