,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,3214500,VIANA - Hospital Municipal Dom Helio Campos,CEMADEN,P,-45.00337,-3.20881,,2015-08-17
1,26125049,Santa Cruz do Timbó,Simepar,H,-26.38392,-50.87826,0.0,1997-06-01
2,22714326,Reduc,PETROBRAS,M,-43.2667,-22.7167,,
3,25615165,Guarapuavinha,ELEJOR,H,-51.67591,-25.59652,866.0,2006-07-13
4,26355045,Foz do Cachoeira,Simepar,H,-50.75,-26.5833,0.0,1997-06-01
5,2554422,SÃO LUÍS - SeminarioEvangelicodoNorte,CEMADEN,P,-44.22408,-2.55189,,2015-08-17
6,15474757,Brasilia-Piloto,Inmet,M,-47.9167,-15.7833,1159.54,2006-04-05
7,3404220,MAGALHÃES DE ALMEIDA - PrefeituraMunicipal,CEMADEN,P,-42.20469,-3.39947,,2015-08-17
8,4384434,PERITORÓ - Prefeitura Municipal,CEMADEN,P,-44.33934,-4.37822,,2015-08-17
9,2504428,SÃO LUÍS - Academia de Policia Militar Gonçalves Dias,CEMADEN,P,-44.28158,-2.4991,,2015-08-17
10,7084481,SÃO FÉLIX DE BALSAS - Sao Felix de Balsas,CEMADEN,P,-44.8116,-7.08371,,2015-08-17
11,4374466,SÃO LUÍS GONZAGA DO MARANHÃO - CrecheMunicipal,CEMADEN,P,-44.66434,-4.37407,,2015-08-17
12,2544427,SÃO LUÍS - SEMUSC,CEMADEN,P,-44.27253,-2.53845,,2015-08-17
13,4454387,CODÓ - Centro de Educação Infantil Maria Luiza Araujo Silva,CEMADEN,P,-43.86909,-4.45003,,2015-08-17
14,3714422,PIRAPEMAS - Pirapemas,CEMADEN,P,-44.22293,-3.70771,,2015-08-17
15,1544508,APICUM-AÇU - Hospital Sebastiano Fonseca Costa,CEMADEN,P,-45.07942,-1.53985,,2015-08-17
16,3324501,CAJARI - Prefeitura Municipal,CEMADEN,P,-45.01025,-3.32104,,2015-08-17
17,4324646,BURITICUPU - Prefeitura Municipal,CEMADEN,P,-46.45999,-4.31779,,2015-08-17
18,5684309,PARNARAMA - Prefeitura Municipal,CEMADEN,P,-43.09098,-5.6821,,2015-08-17
19,22694363,JAPERI - ESCOLA MUNICIPAL GOVERNADOR LEONEL DE MOURA BRIZOLA,CEMADEN,P,-43.632,-22.691,,2015-08-18
20,23444631,ITAQUAQUECETUBA - Residencial Scaffibi II,CEMADEN,P,-46.308,-23.437,,2015-08-18
