id,Nr_Bacia,x,y
"66","20",-53.500,-25.000
"67","20",-53.400,-25.000
"68","20",-53.300,-25.000
"120","20",-53.700,-25.100
"121","20",-53.600,-25.100
"122","20",-53.500,-25.100
"123","20",-53.400,-25.100
"124","20",-53.300,-25.100
"125","19",-53.200,-25.100
"128","14",-52.900,-25.100
"174","20",-53.900,-25.200
"175","20",-53.800,-25.200
"176","20",-53.700,-25.200
"177","20",-53.600,-25.200
"178","20",-53.500,-25.200
"179","20",-53.400,-25.200
"180","20",-53.300,-25.200
"181","19",-53.200,-25.200
"182","19",-53.100,-25.200
"183","14",-53.000,-25.200
"184","14",-52.900,-25.200
"185","14",-52.800,-25.200
"186","14",-52.700,-25.200
"193","19",-52.000,-25.200
"194","19",-51.900,-25.200
"195","19",-51.800,-25.200
"196","18",-51.700,-25.200
"197","18",-51.600,-25.200
"228","21",-54.100,-25.300
"229","20",-54.000,-25.300
"230","20",-53.900,-25.300
"231","20",-53.800,-25.300
"232","20",-53.700,-25.300
"233","20",-53.600,-25.300
"234","20",-53.500,-25.300
"235","20",-53.400,-25.300
"236","19",-53.300,-25.300
"237","19",-53.200,-25.300
"238","14",-53.100,-25.300
"239","14",-53.000,-25.300
"240","14",-52.900,-25.300
"241","14",-52.800,-25.300
"242","19",-52.700,-25.300
"243","19",-52.600,-25.300
"244","19",-52.500,-25.300
"246","19",-52.300,-25.300
"247","19",-52.200,-25.300
"248","19",-52.100,-25.300
"249","19",-52.000,-25.300
"250","19",-51.900,-25.300
"251","19",-51.800,-25.300
"252","18",-51.700,-25.300
"253","18",-51.600,-25.300
"254","18",-51.500,-25.300
"255","18",-51.400,-25.300
"256","18",-51.300,-25.300
"276","2",-49.300,-25.300
"277","2",-49.200,-25.300
"283","21",-54.200,-25.400
"284","21",-54.100,-25.400
"285","20",-54.000,-25.400
"286","20",-53.900,-25.400
"287","20",-53.800,-25.400
"288","20",-53.700,-25.400
"289","20",-53.600,-25.400
"290","20",-53.500,-25.400
"291","19",-53.400,-25.400
"292","19",-53.300,-25.400
"293","19",-53.200,-25.400
"294","19",-53.100,-25.400
"295","19",-53.000,-25.400
"296","19",-52.900,-25.400
"297","19",-52.800,-25.400
"298","19",-52.700,-25.400
"299","19",-52.600,-25.400
"300","19",-52.500,-25.400
"301","19",-52.400,-25.400
