,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
0,Table1,0,UHE BELO MONTE BR230,00351004,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,VITÓRIA DO XINGU-PA,-3.12670,-51.79060,33.00,0,,Setor Elétrico,Ativo
1,Table2,1,UHE BELO MONTE SÍTIO PIMENTAL,00351005,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,VITÓRIA DO XINGU-PA,-3.37580,-51.94030,110.00,0,,Setor Elétrico,Ativo
2,Table3,2,UHE BELO MONTE VISTA ALEGRE,00352009,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,ALTAMIRA-PA,-3.11860,-52.25250,125.00,0,,Setor Elétrico,Ativo
3,Table4,3,UHE BELO MONTE SÃO FRANCISCO,00352010,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,ALTAMIRA-PA,-3.25330,-52.34890,124.00,0,,Setor Elétrico,Ativo
4,Table5,4,UHE BELO MONTE JOARI,00652002,1,18,00594 - NORTE ENERGIA - Norte Energia S.A,00594 - NORTE ENERGIA - Norte Energia S.A,SÃO FÉLIX DO XINGÚ-PA,-6.56030,-52.07640,0.00,0,,Setor Elétrico,Ativo
5,Table6,5,MORRINHOS,00946005,3,34,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas,ALTO PARNAÍBA-MA,-9.62470,-46.29030,356.00,0,,RHN,Ativo
6,Table7,6,SENA MADUREIRA,00968006,1,13,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SENA MADUREIRA-AC,-9.05860,-68.65920,190.00,0,,RHN,Ativo
7,Table8,7,SANTA ROSA,00970003,1,13,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,SANTA ROSA DO PURUS-AC,-9.43860,-70.49220,219.00,0,,RHN,Ativo
8,Table9,8,JORDÃO,00971002,1,12,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre,JORDÃO-AC,-9.19389,-71.94917,239.00,0,,RHN,Ativo
9,Table10,9,UHE ESTREITO RIO PONTE ALTA,01047009,2,22,00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE,00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE,PONTE ALTA DO TOCANTINS-TO,-10.74610,-47.53720,316.00,0,,Setor Elétrico,Ativo
10,Table11,10,UHE COLIDER METEOROLÓGICA,01055005,1,17,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,COLIDER-MT,-10.95470,-55.77810,0.00,0,,Setor Elétrico,Ativo
11,Table12,11,PCH ÂNGELO CASSOL MONTANTE,01162007,1,15,00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.,00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.,ALTA FLORESTA D''OESTE-RO,-11.92920,-62.08780,292.00,0,,Setor Elétrico,Ativo
12,Table13,12,PCH MONTE BELO MONTANTE,01162008,1,15,00307 - ELETROSSOL - Centrais Elétricas Cassol  Ltda.-ELETROSSOL,00307 - ELETROSSOL - Centrais Elétricas Cassol  Ltda.-ELETROSSOL,ALTA FLORESTA D''OESTE-RO,-11.95560,-62.17940,316.00,0,,Setor Elétrico,Ativo
13,Table14,13,PCH SALDANHA PLU,01162011,1,15,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.,ALTA FLORESTA D''OESTE-RO,-11.95860,-62.18390,310.00,0,,Setor Elétrico,Ativo
14,Table15,14,PROJETO RIO FORMOSO,01249002,2,26,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas,FORMOSO DO ARAGUAIA-TO,-11.83940,-49.77170,196.00,0,,RHN,Ativo
15,Table16,15,PCH CABIXI MONTANTE,01260008,1,15,00686 - CASSOL - Cassol Centrais Elétricas Ltda.,00686 - CASSOL - Cassol Centrais Elétricas Ltda.,VILHENA-RO,-12.89920,-60.10830,612.00,0,,Setor Elétrico,Ativo
16,Table17,16,PCH CASCATA CHUPINGUAIA PLU,01260012,1,15,00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.,00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.,CHUPINGUAIA-RO,-12.85420,-60.85060,267.00,0,,Setor Elétrico,Ativo
