idGrade,23365141_simepar,24925344_simepar,25005346_simepar,25095359_simepar,25105287_simepar,25115408_simepar,25215130_simepar,25254905_simepar,25264913_simepar,25264916_simepar,25264930_simepar,25275035_simepar,25275357_simepar,25284923_simepar,25314930_simepar,25314931_simepar,25315021_simepar,25315119_simepar,25315254_simepar,25315329_simepar,25324915_simepar,25324916_simepar,25324927_simepar,25334953_simepar,25335105_simepar,25335129_simepar,25344925_simepar,25344928_simepar,25345306_simepar,25345422_simepar,25345435_simepar,25345816_simepar,25354926_simepar,25355424_simepar,25364907_simepar,25364911_simepar,25364919_simepar,25365143_simepar,25365239_simepar,25374931_simepar,25375212_simepar,25375427_simepar,25384920_simepar,25384924_simepar,25384930_simepar,25384933_simepar,25385149_simepar,25385157_simepar,25385201_simepar,25395143_simepar,25404918_simepar,25404919_simepar,25405149_simepar,25405259_simepar,25414930_simepar,25414936_simepar,25424934_simepar,25424938_simepar,25425241_simepar,25435059_simepar,25435458_simepar,25444916_simepar,25444920_simepar,25444935_simepar,25444946_simepar,25444947_simepar,25445068_simepar,25445144_simepar,25454904_simepar,25454910_simepar,25454912_simepar,25464915_simepar,25464919_simepar,25464957_simepar,25465053_simepar,25465256_simepar,25474932_simepar,25474946_simepar,25474953_simepar,25475066_simepar,25475206_simepar,25475458_simepar,25484904_simepar,25484918_simepar,25485116_simepar,25485173_simepar,25485254_simepar,25485361_simepar,25494905_simepar,25494990_simepar,25495200_simepar,25495221_simepar,25504918_simepar,25505222_simepar,25505367_simepar,25514914_simepar,25525023_simepar,25525251_simepar,25534954_simepar,25535454_simepar,25544907_simepar,25544909_simepar,25544938_simepar,25544941_simepar,25554916_simepar,25554920_simepar,25555031_simepar,25564928_simepar,25575457_simepar,25584916_simepar,25584963_simepar,25594916_simepar,25594922_simepar,25594926_simepar,25594939_simepar,25604939_simepar,25604951_simepar,25614917_simepar,25644907_simepar,25654931_simepar,25664910_simepar,25684954_simepar,25695262_simepar,25724970_simepar,25725375_simepar,25755210_simepar,25755305_simepar,25784977_simepar,25815290_simepar,25825217_simepar,25885042_simepar,25984968_simepar,25985256_simepar,26005139_simepar,26015237_simepar,26025035_simepar,26025109_simepar,26045306_simepar,26055019_simepar,26055155_simepar,26055305_simepar,26064948_simepar,26065150_simepar,26075241_simepar,26075306_simepar,26075307_simepar,26085306_simepar,26085307_simepar,26094978_simepar,26094980_simepar,26105047_simepar,26105114_simepar,26114981_simepar,26124978_simepar,26125265_simepar,26134980_simepar,26145103_simepar,26145104_simepar,26155302_simepar,26175039_simepar,26205269_simepar,26234941_simepar,26234950_simepar,26235107_simepar,26235108_simepar,26235267_simepar,26235271_simepar,26255110_simepar,26265364_simepar,26275268_simepar,26285158_simepar,26285363_simepar,26304991_simepar,26355045_simepar,26395036_simepar,26405309_simepar,26434959_simepar,26435132_simepar,26445084_simepar,26445135_simepar,26445235_simepar,26445269_simepar,26455024_simepar,26455269_simepar,26475197_simepar,26575233_simepar,26585152_simepar,26785101_simepar,2551015_ana,2551063_ana,2551069_ana,2552009_ana,2552030_ana,2552055_ana,65136550_ana,65140000_ana,65141000_ana,65258000_ana,65259000_ana,65270000_ana,65271000_ana,65293000_ana,65815040_ana,65815050_ana,65815060_ana,65824991_ana,65831000_ana,65831020_ana,65831900_ana,65832000_ana,65875500_ana,65883051_ana,65889700_ana,65894991_ana,65945200_ana,65945400_ana,65945500_ana,65945600_ana,65954200_ana,65954250_ana,65954300_ana,65954400_ana,65954900_ana,65954950_ana,65975300_ana,65980500_ana,65981500_ana,65983100_ana,65984000_ana,65987000_ana,65992500_ana,65992502_ana
1,223.84,418.07,416.87,423.99,358.02,475.90,224.49,146.04,136.34,136.40,154.36,155.11,414.55,153.25,148.97,148.48,384.31,206.86,317.87,397.51,152.05,151.88,149.19,118.18,179.19,213.64,146.96,145.83,359.51,473.09,423.00,373.69,145.55,475.11,150.64,150.41,146.91,221.78,301.88,142.16,278.30,476.69,144.26,143.18,141.57,140.34,224.50,249.38,269.11,218.97,143.20,142.73,223.28,317.90,137.88,136.44,136.32,134.11,300.73,156.65,504.76,139.42,138.57,134.18,131.35,130.73,161.63,216.73,143.25,141.19,140.28,138.28,136.53,127.11,151.26,335.40,130.97,91.19,127.01,157.84,257.56,504.00,139.97,134.29,176.19,238.20,331.87,409.57,106.65,125.02,250.53,280.14,132.58,280.27,415.40,132.27,105.67,305.46,119.13,497.82,132.89,132.93,121.73,120.57,128.98,127.14,111.38,123.40,499.53,98.87,112.82,124.73,121.75,119.70,116.01,115.04,112.72,122.59,123.46,112.77,120.05,103.40,308.22,97.09,415.60,257.91,347.73,91.14,330.96,235.85,107.29,68.99,293.66,206.93,298.69,109.77,157.03,340.49,84.87,228.38,340.74,55.46,189.81,298.79,340.26,341.34,340.10,341.20,57.83,57.69,123.75,160.16,55.06,54.13,298.83,53.45,142.39,143.58,334.73,83.80,301.33,50.36,45.98,142.34,143.64,298.94,302.79,144.71,393.84,299.31,226.91,393.12,39.06,104.42,69.87,337.62,40.86,162.02,129.99,166.08,264.34,297.88,55.92,297.91,226.77,261.16,181.00,131.56,225.94,269.20,221.93,304.27,293.72,257.75,84.64,259.92,255.74,97.06,102.24,108.80,111.74,129.08,242.23,242.33,241.41,248.14,254.37,254.38,254.89,254.17,293.06,311.30,331.40,351.30,315.29,314.80,314.74,314.94,327.80,328.47,329.31,326.64,328.21,327.38,401.71,401.03,401.04,415.07,417.73,438.07,484.03,482.89
2,232.59,427.05,425.94,433.20,366.90,485.47,232.55,142.44,133.23,133.30,152.08,161.01,423.90,150.49,146.58,146.16,393.81,214.20,326.83,407.05,148.78,148.64,146.60,120.13,186.97,222.06,144.18,143.28,368.99,482.65,432.65,383.22,142.81,484.68,146.77,146.78,143.74,229.68,310.82,139.74,287.05,486.27,141.08,140.33,139.04,138.06,232.56,258.45,277.79,226.97,139.88,139.50,231.37,327.00,135.33,134.32,134.05,132.15,309.76,162.57,514.42,135.90,135.28,131.93,129.86,129.37,167.88,224.85,139.00,137.25,136.46,134.60,133.10,126.49,156.98,345.01,128.46,92.38,126.03,164.10,266.93,513.68,135.56,130.76,184.89,246.79,341.50,419.10,101.22,127.03,259.71,289.14,128.99,289.31,424.97,128.42,112.39,314.68,118.24,507.52,128.48,128.67,119.51,118.57,125.10,123.53,118.87,120.41,509.26,95.54,112.66,120.81,118.25,116.41,113.74,112.83,111.51,118.61,118.72,109.70,115.43,102.35,317.66,97.67,425.31,267.24,357.35,92.34,340.59,245.47,114.18,69.48,303.36,216.40,308.43,117.99,166.20,350.29,92.50,238.02,350.55,58.11,199.30,308.60,350.08,351.16,349.93,351.02,60.04,60.21,133.35,169.68,57.81,56.39,308.64,56.10,151.95,153.15,344.58,92.20,311.18,45.39,42.53,151.90,153.22,308.80,312.66,154.32,403.75,309.19,236.84,403.03,45.10,114.36,79.34,347.55,39.14,171.91,139.76,175.94,274.26,307.81,65.51,307.85,236.70,271.10,190.94,141.40,233.96,277.53,230.79,313.28,303.31,267.09,83.17,269.54,265.35,107.00,112.19,118.70,121.60,138.95,250.99,251.10,250.09,257.22,264.06,264.05,264.50,263.77,302.56,320.66,340.59,360.72,325.05,324.55,324.49,324.69,337.62,338.29,339.13,336.44,338.00,337.16,411.17,410.74,410.75,424.63,427.35,447.71,493.79,492.65
3,209.81,404.32,403.25,410.60,344.14,463.35,209.90,140.37,130.02,130.08,146.74,140.32,401.45,146.30,141.53,140.97,371.57,191.99,304.09,384.86,145.84,145.64,142.04,105.96,164.45,199.29,140.07,138.66,346.72,460.50,410.73,361.03,138.63,462.55,145.34,144.76,140.59,207.10,288.08,134.83,264.27,464.18,137.97,136.44,134.39,132.83,209.90,235.78,255.00,204.34,137.13,136.54,208.70,304.34,130.76,128.75,128.84,126.23,287.06,141.85,492.52,133.68,132.49,126.68,122.87,122.09,146.75,202.17,138.59,136.07,134.98,132.79,130.68,117.59,136.51,322.99,123.85,79.97,117.93,142.97,244.52,491.82,135.60,128.61,162.11,224.00,319.53,396.90,104.36,112.71,237.12,266.43,127.00,266.61,402.84,127.10,90.75,292.10,110.00,485.74,128.59,128.40,114.31,112.86,123.88,121.66,96.54,117.05,487.54,93.34,102.88,119.74,116.16,113.82,108.72,107.67,104.07,117.71,119.79,106.65,116.24,94.65,295.35,86.48,403.55,244.77,335.34,79.92,318.65,223.53,92.37,59.00,281.60,194.16,286.84,95.26,143.61,328.94,70.06,216.11,329.23,43.40,177.08,287.28,328.80,329.87,328.68,329.77,46.18,45.70,111.45,147.57,42.93,42.54,287.33,41.48,129.92,131.13,323.52,69.42,290.11,49.17,42.72,129.89,131.24,287.82,291.71,132.43,383.17,288.34,216.61,382.52,24.50,94.95,57.31,327.27,35.50,151.22,123.04,155.09,253.88,287.60,43.88,287.68,216.47,251.40,171.36,124.08,211.33,254.79,208.03,290.56,281.26,244.65,76.76,247.58,243.35,88.06,92.92,98.27,100.84,118.20,228.21,228.32,227.30,234.55,242.28,242.24,242.51,241.75,280.33,298.22,317.98,338.35,303.48,302.95,302.89,303.08,316.32,317.02,317.86,315.07,316.57,315.72,388.86,389.01,389.02,402.49,405.35,425.77,472.21,471.06
4,218.67,413.37,412.39,419.86,353.10,472.97,218.04,135.88,125.97,126.03,143.65,146.13,410.86,142.71,138.30,137.80,381.14,199.39,313.12,394.46,141.72,141.54,138.59,107.21,172.33,207.82,136.43,135.23,356.27,470.11,420.43,370.62,135.01,472.17,140.62,140.27,136.54,215.08,297.11,131.52,273.11,473.81,133.90,132.69,130.96,129.65,218.05,244.96,263.77,212.43,132.91,132.40,216.89,313.53,127.28,125.70,125.63,123.33,296.19,147.68,502.22,129.23,128.27,123.48,120.45,119.80,152.96,210.39,133.44,131.21,130.24,128.17,126.30,116.06,142.13,332.66,120.36,80.09,116.01,149.18,253.99,501.54,130.27,124.12,170.95,232.69,329.22,406.49,97.79,114.06,246.41,275.52,122.44,275.75,412.46,122.27,97.49,301.40,108.12,495.49,123.21,123.16,111.04,109.81,119.00,117.02,104.14,113.00,497.31,88.68,101.72,114.78,111.59,109.44,105.35,104.35,101.77,112.68,114.03,102.43,110.55,92.43,304.87,85.97,413.30,254.19,345.02,80.05,328.35,233.24,99.30,57.88,291.37,203.74,296.65,103.68,152.94,338.80,77.87,225.84,339.09,44.57,186.69,297.15,338.67,339.74,338.55,339.64,46.85,46.78,121.22,157.23,44.20,43.15,297.19,42.56,139.63,140.84,333.42,78.10,300.01,41.75,36.35,139.61,140.97,297.73,301.62,142.19,393.11,298.27,226.57,392.46,30.18,104.86,67.08,337.22,30.40,161.16,132.58,165.02,263.83,297.55,53.78,297.63,226.42,261.34,181.30,133.74,219.43,263.20,217.01,299.66,290.92,254.10,73.80,257.29,253.04,97.91,102.81,108.22,110.79,128.15,237.07,237.20,236.07,243.73,252.05,252.00,252.21,251.44,289.91,307.66,327.24,347.84,313.30,312.75,312.69,312.88,326.19,326.89,327.73,324.92,326.42,325.56,398.38,398.78,398.79,412.11,415.03,435.46,482.02,480.86
5,227.63,422.46,421.56,429.16,362.11,482.60,226.34,132.00,122.59,122.66,141.20,152.39,420.31,139.74,135.73,135.29,390.73,207.00,322.21,404.07,138.21,138.06,135.80,109.36,180.41,216.47,133.43,132.46,365.85,479.74,430.15,380.24,132.05,481.80,136.46,136.35,133.13,223.22,306.19,128.89,282.03,483.46,130.47,129.61,128.22,127.17,226.35,254.20,272.62,220.68,129.32,128.91,225.22,322.76,124.51,123.39,123.16,121.18,305.36,153.95,511.94,125.42,124.71,121.03,118.82,118.31,159.56,218.75,128.87,126.96,126.12,124.19,122.58,115.37,148.20,342.35,117.62,81.45,114.93,155.79,263.49,511.28,125.52,120.29,179.92,241.49,338.93,416.10,91.84,116.26,255.75,284.68,118.54,284.94,422.10,118.09,104.76,310.75,107.14,505.25,118.44,118.55,108.60,107.61,114.78,113.09,112.12,109.72,507.09,84.95,101.55,110.51,107.75,105.83,102.84,101.92,100.43,108.33,108.87,99.03,105.50,91.25,314.43,86.62,423.07,263.66,354.71,81.41,338.07,242.97,106.71,58.46,301.15,213.36,306.47,112.35,162.35,348.66,86.13,235.59,348.96,47.84,196.34,307.02,348.55,349.61,348.42,349.51,49.55,49.86,131.01,166.94,47.58,45.96,307.06,45.84,149.37,150.58,343.32,87.06,309.91,35.59,31.87,149.36,150.73,307.64,311.54,151.97,403.04,308.19,236.52,402.40,37.69,114.77,76.90,347.17,28.04,171.10,142.18,174.95,273.78,307.50,63.70,307.58,236.37,271.28,191.23,143.43,227.68,271.72,226.06,308.81,300.61,263.58,72.10,267.01,262.76,107.78,112.71,118.17,120.73,138.09,246.03,246.16,244.95,252.98,261.83,261.77,261.93,261.15,299.52,317.13,336.55,357.35,323.12,322.57,322.51,322.69,336.06,336.77,337.60,334.78,336.27,335.41,407.93,408.56,408.57,421.74,424.72,445.17,491.82,490.67
6,236.67,431.59,430.77,438.49,371.17,492.25,234.77,128.78,119.96,120.02,139.42,159.02,429.78,137.44,133.86,133.49,400.33,214.82,331.36,413.70,135.34,135.22,133.70,112.36,188.67,225.23,131.14,130.41,375.44,489.38,439.88,389.87,129.80,491.44,132.93,133.08,130.39,231.50,315.34,127.00,291.02,493.13,127.74,127.23,126.21,125.45,234.77,263.50,281.55,229.07,126.43,126.11,233.68,332.05,122.50,121.86,121.46,119.84,314.59,160.59,521.67,122.32,121.86,119.37,118.02,117.66,166.49,227.25,124.93,123.38,122.68,120.91,119.59,115.55,154.69,352.06,115.69,83.98,114.72,162.75,273.04,521.02,121.40,117.18,188.99,250.38,348.66,425.72,86.63,119.26,265.14,293.89,115.38,294.18,431.75,114.63,112.43,320.13,107.09,515.02,114.34,114.61,107.04,106.30,111.30,109.92,120.39,107.27,516.87,82.27,102.35,107.00,104.74,103.06,101.25,100.42,100.06,104.76,104.42,96.56,101.19,91.16,324.01,88.40,432.85,273.16,364.42,83.95,347.80,252.73,114.51,60.70,310.94,223.01,316.29,121.23,171.82,358.53,94.72,245.36,358.84,52.81,206.01,316.89,358.42,359.49,358.31,359.40,53.98,54.62,140.83,176.67,52.66,50.61,316.94,50.89,159.14,160.36,353.23,96.22,319.82,31.44,30.14,159.13,160.51,317.56,321.46,161.78,412.98,318.12,246.47,412.34,46.13,124.69,86.75,357.12,29.11,181.05,151.83,184.89,283.73,317.45,73.62,317.54,246.32,281.23,201.17,153.15,236.07,280.35,235.20,318.01,310.31,273.10,71.77,276.76,272.49,117.67,122.62,128.13,130.68,148.03,255.06,255.19,253.90,262.28,271.62,271.56,271.66,270.88,309.15,326.64,345.89,366.89,332.96,332.39,332.34,332.51,345.94,346.65,347.48,344.65,346.12,345.26,417.49,418.34,418.35,431.39,434.43,454.89,501.64,500.49
7,195.89,390.65,389.71,397.29,330.34,450.93,195.34,136.12,125.18,125.25,140.32,125.54,388.46,140.61,135.35,134.70,358.99,177.13,290.40,372.36,140.97,140.72,136.16,94.53,149.75,185.02,134.52,132.80,334.10,448.05,398.62,348.53,133.04,450.11,141.44,140.49,135.64,192.45,274.38,128.84,250.32,451.80,133.07,131.08,128.56,126.66,195.35,222.34,240.97,189.75,132.48,131.78,194.17,290.90,125.04,122.42,122.73,119.70,273.51,127.07,480.41,129.42,127.90,120.58,115.71,114.75,131.89,187.66,135.44,132.45,131.18,128.82,126.34,109.29,121.80,310.78,118.21,70.16,110.13,128.10,231.69,479.78,132.79,124.49,148.18,209.89,307.40,384.38,104.20,101.11,223.88,252.84,123.01,253.08,390.42,123.54,75.83,278.88,102.25,473.81,125.93,125.49,108.46,106.71,120.44,117.84,81.71,112.34,475.71,89.99,94.27,116.47,112.30,109.69,103.11,101.98,96.96,114.59,117.93,102.37,114.28,87.59,282.66,77.32,391.67,231.83,323.14,70.11,306.55,211.52,77.44,51.47,269.82,181.69,275.27,80.88,130.50,317.66,55.29,204.18,318.00,33.73,164.71,276.08,317.62,318.67,317.52,318.61,36.98,35.99,99.86,135.44,33.15,33.71,276.13,32.09,118.00,119.22,312.61,55.31,279.22,52.41,44.53,118.00,119.41,277.05,280.97,120.74,372.77,277.73,206.86,372.20,10.98,87.01,46.14,317.26,36.02,141.15,117.55,144.78,243.88,277.72,34.17,277.86,206.71,242.15,162.52,118.01,196.74,240.42,194.27,276.97,269.03,231.77,71.19,235.53,231.24,80.82,85.19,88.99,91.07,108.28,214.30,214.42,213.28,221.11,230.51,230.42,230.43,229.63,267.81,285.31,304.68,325.55,291.95,291.36,291.30,291.47,305.12,305.86,306.68,303.78,305.21,304.34,376.15,377.19,377.20,390.07,393.14,413.62,460.56,459.40
8,204.88,399.76,398.91,406.62,339.38,460.60,203.59,130.72,120.13,120.20,136.35,131.26,397.94,136.13,131.20,130.61,368.62,184.59,299.52,382.02,135.96,135.74,131.81,94.88,157.73,193.66,129.95,128.43,343.71,457.71,408.38,358.19,128.48,459.78,135.84,135.11,130.68,200.52,283.50,124.56,259.26,461.49,128.07,126.38,124.16,122.50,203.59,231.63,249.84,197.94,127.32,126.69,202.45,300.18,120.56,118.36,118.52,115.78,282.73,132.81,490.16,124.02,122.70,116.36,112.24,111.42,138.05,195.98,129.40,126.67,125.50,123.24,120.98,106.70,127.29,320.52,113.67,68.87,107.15,134.26,241.26,489.55,126.56,119.00,157.18,218.70,317.16,394.03,96.59,101.64,233.28,262.03,117.43,262.31,400.10,117.71,82.59,288.27,99.22,483.60,119.60,119.30,104.05,102.50,114.54,112.15,89.47,107.19,485.52,83.97,91.93,110.46,106.63,104.18,98.53,97.45,93.43,108.50,111.16,96.93,107.56,84.01,292.27,75.44,401.48,241.35,332.88,68.82,316.32,221.32,84.42,48.15,279.65,191.39,285.14,89.55,140.00,327.56,63.36,214.00,327.90,32.28,174.44,285.99,327.53,328.58,327.44,328.52,35.08,34.58,109.76,145.24,31.81,31.45,286.04,30.36,127.85,129.07,322.54,64.36,289.16,43.27,35.77,127.85,129.27,286.99,290.92,130.62,382.73,287.68,216.81,382.15,15.27,96.72,56.10,327.21,27.61,151.10,126.74,154.74,253.84,287.68,44.01,287.81,216.66,252.07,172.39,127.35,204.94,248.93,203.36,286.15,278.76,241.31,66.50,245.32,241.02,90.38,94.85,98.88,101.01,118.23,223.28,223.41,222.17,230.41,240.35,240.25,240.20,239.40,277.48,294.83,314.03,335.11,301.81,301.22,301.16,301.33,315.03,315.77,316.59,313.68,315.10,314.22,385.73,387.00,387.02,399.74,402.87,423.37,470.40,469.24
9,213.96,408.91,408.15,415.99,348.46,470.28,211.98,125.89,115.73,115.79,133.01,137.47,407.45,132.26,127.70,127.18,378.27,192.28,308.70,391.69,131.53,131.34,128.09,96.28,165.92,202.43,126.00,124.71,353.35,467.38,418.14,367.87,124.57,469.46,130.77,130.28,126.31,208.75,292.68,120.95,268.28,471.18,123.67,122.31,120.44,119.03,211.99,240.98,258.79,206.29,122.76,122.21,210.89,309.50,116.78,115.04,115.02,112.61,291.99,139.03,499.93,119.21,118.12,112.87,109.59,108.90,144.63,204.46,123.87,121.44,120.39,118.25,116.23,105.01,133.30,330.28,109.86,69.01,105.03,140.87,250.86,499.33,120.83,114.12,166.30,227.60,326.93,403.69,89.44,103.14,242.73,271.28,112.48,271.60,409.79,112.47,89.96,297.70,97.13,493.40,113.80,113.64,100.45,99.14,109.24,107.10,97.63,102.75,495.34,78.75,90.63,105.06,101.63,99.37,94.79,93.77,90.87,103.01,104.92,92.26,101.38,81.50,301.90,74.86,411.29,250.91,342.64,68.97,326.10,231.14,91.96,46.76,289.49,201.11,295.01,98.47,149.57,337.46,71.91,223.83,337.81,33.84,184.19,295.91,337.44,338.50,337.35,338.44,35.95,35.99,119.67,155.05,33.51,32.26,295.95,31.82,137.71,138.93,332.48,73.65,299.10,34.60,27.84,137.72,139.14,296.94,300.87,140.51,392.68,297.63,226.76,392.11,23.32,106.46,66.06,337.17,20.63,161.06,136.04,164.70,263.79,297.63,53.89,297.77,226.61,262.00,182.28,136.78,213.30,257.54,212.54,295.39,288.52,250.89,63.05,255.12,250.81,100.01,104.57,108.78,110.94,128.17,232.34,232.48,231.15,239.76,250.20,250.09,250.00,249.18,287.16,304.39,323.41,344.70,311.69,311.09,311.03,311.20,324.94,325.69,326.51,323.58,324.99,324.12,395.33,396.83,396.84,409.43,412.61,433.12,480.25,479.09
10,223.11,418.11,417.42,425.38,357.60,479.98,220.51,121.68,112.05,112.11,130.35,144.10,416.98,129.06,124.91,124.46,387.94,200.17,317.92,401.38,127.73,127.56,125.06,98.67,174.31,211.31,122.75,121.71,363.01,477.07,427.92,377.56,121.36,479.16,126.28,126.05,122.60,217.14,301.91,118.09,277.36,480.89,119.95,118.95,117.45,116.33,220.52,250.37,267.82,214.78,118.87,118.41,219.46,318.86,113.75,112.50,112.31,110.26,301.31,145.67,509.70,115.07,114.24,110.18,107.79,107.27,151.60,213.06,118.92,116.83,115.92,113.92,112.18,104.26,139.76,340.04,106.85,70.58,103.84,147.86,260.49,509.11,115.68,109.94,175.51,236.60,336.72,413.37,82.89,105.57,252.21,280.58,108.22,280.93,419.50,107.91,97.79,307.16,96.04,503.21,108.61,108.62,97.74,96.69,104.62,102.78,106.10,99.13,505.16,74.52,90.43,100.37,97.40,95.37,91.99,91.04,89.35,98.24,99.29,88.47,95.84,80.16,311.56,75.60,421.11,260.50,352.41,70.55,335.89,240.97,99.92,47.48,299.34,210.86,304.89,107.57,159.18,347.37,80.79,233.67,347.72,38.05,193.97,305.83,347.36,348.41,347.27,348.36,39.40,39.92,129.59,164.89,37.86,35.93,305.87,36.09,147.59,148.81,342.42,83.10,309.04,26.84,21.66,147.60,149.03,306.88,310.81,150.41,402.64,307.59,236.71,402.07,32.46,116.25,76.02,347.13,16.97,171.02,145.42,174.66,273.75,307.59,63.80,307.72,236.56,271.93,192.17,146.28,221.79,266.25,221.79,304.68,298.29,260.50,61.05,264.93,260.61,109.70,114.33,118.70,120.88,138.12,241.47,241.62,240.21,249.16,260.06,259.94,259.81,258.99,296.86,313.97,332.83,354.31,321.57,320.96,320.91,321.07,334.86,335.61,336.43,333.49,334.90,334.02,404.96,406.66,406.67,419.13,422.37,442.89,490.10,488.94
