estcodigo,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
26105047,0.0,1997/06/01,-26.29452,-50.89522,Foz do Timbó,H,126.0,Simepar
26175039,,2015/02/24,-26.17522,-50.39492,CANOINHAS- Prefeitura Municipal,P,141.0,CEMADEN
26255110,,2014/07/25,-26.251,-51.1,UNIÃO DA VITÓRIA - Rio da Praia,P,259.0,CEMADEN
26005139,728.2,1998/03/06,-26.00639,-51.66754,Foz do Areia,H,380.0,Simepar
26025035,0.0,1997/06/01,-26.0333,-50.5833,Fluviopolis,H,508.0,Simepar
25555031,0.0,1997/06/01,-25.9166,-50.5166,Pontilhão,H,542.0,Simepar
25485116,0.0,1997/06/11,-25.80682,-51.22884,Madeireira Gavazzoni,H,544.0,Simepar
26025109,0.0,1997/06/01,-26.02999,-51.14149,Palmital do Meio,H,570.0,Simepar
25435059,872.0,2015/08/01,-25.44331,-50.59503,Fernandes Pinheiro / Irati,M,579.0,Iapar
26065150,720.0,2011/04/15,-26.0639,-51.5083,Bituruna,H,743.0,Simepar
26435132,,2014/07/25,-26.428,-51.317,GENERAL CARNEIRO - Centro,P,912.0,CEMADEN
26145103,756.53,1997/06/01,-26.22825,-51.06827,União da Vitória,M,1897.0,Simepar
23365141,866.0,2014/05/22,-25.61192,-51.65317,Guarapuavinha Novo,H,1939.0,ELEJOR
25005051,803.58,2006/07/12,-25.01076,-50.85385,Ivaí,M,1972.0,Inmet
25215098,,2015/02/25,-25.21334,-50.97847,PRUDENTÓPOLIS - Bombeiro Comunitário,P,2365.0,CEMADEN
25315119,964.0,2013/03/01,-25.31566,-51.19687,Serra da Esperança,P,2617.0,Caminhos do Paraná
26105114,0.0,1997/06/01,-26.1666,-51.2333,Porto Vitória,H,2811.0,Simepar
25335105,1208.85,2006/10/16,-25.56788,-51.07795,Inácio Martins,M,3026.0,Inmet
26395036,799.58,2009/02/10,-26.39366,-50.36321,Major Vieira,M,3122.0,Inmet
26445135,1009.01,2008/04/10,-26.39847,-51.35367,General Carneiro,M,3221.0,Inmet
25445068,966.0,2013/03/01,-25.4444,-50.68119,Praça de Irati,P,3225.0,Caminhos do Paraná
25155054,925.0,2013/03/25,-25.15736,-50.54213,Praça de Imbituva,P,3226.0,Caminhos do Paraná
25525023,0.0,1997/06/01,-25.87702,-50.38755,São Mateus do Sul,H,3263.0,Simepar
26145104,749.0,1997/06/01,-26.22772,-51.08059,União da Vitória,H,3268.0,Simepar
25485173,,2015/04/10,-25.4879,-51.73786,Fazenda Aurora,H,3269.0,ELEJOR
25215130,1070.0,1997/06/01,-25.3845,-51.4935,Guarapuava,M,3349.0,Simepar
25335129,1095.0,2001/01/17,-25.5459,-51.4884,Entre Rios,M,3355.0,Simepar
25465053,,2014/02/04,-25.46417,-50.53306,Eta Irati,H,4462.0,Águas Paraná
25275035,893.0,1998/11/28,-25.4532,-50.5839,Fernandes Pinheiro,M,4492.0,Simepar
25405149,,2015/02/25,-25.40131,-51.49242,GUARAPUAVA - Vila Bela,P,4984.0,CEMADEN
25365143,,2015/02/24,-25.35533,-51.43377,GUARAPUAVA - Imovel Morro Alto,P,4985.0,CEMADEN
25885042,,2016/02/19,-25.88059,-50.41684,SÃO MATEUS DO SUL - SaoMateus02,P,5061.0,CEMADEN
26235108,,2017/09/03,-26.236,-51.084,PORTO UNIÃO - Centro,P,5185.0,CEMADEN
26355045,0.0,1997/06/01,-26.5833,-50.75,Foz do Cachoeira,H,4.0,Simepar
25495200,713.0,2006/08/11,-25.70366,-52.00288,Barragem Usina Fundão,H,153.0,ELEJOR
26475197,1093.0,2015/12/11,-26.46711,-51.97467,Palmas,M,404.0,Iapar
26055019,770.0,1997/09/17,-26.0833,-50.3166,Divisa,H,536.0,Simepar
25475206,0.0,1999/01/01,-25.7911,-52.11895,Segredo,H,567.0,Simepar
25385201,0.0,2012/05/23,-25.3803,-52.02561,Cavernoso em Vau dos Ribeiros,H,647.0,PCH Cavernoso II
25495221,567.0,2012/10/03,-25.49008,-52.21747,PCH Cavernoso II - Barragem,H,719.0,PCH Cavernoso II
26055155,809.0,1997/05/01,-26.0833,-51.9166,Solais Novo,H,745.0,Simepar
26585152,1344.0,2019/11/20,-26.5829,-51.52019,Palmas - Horizonte,M,926.0,Simepar
26865203,,2015/02/23,-26.85814,-52.03214,PONTE SERRADA- Baía Alta,P,1113.0,CEMADEN
25825217,607.0,2010/11/12,-26.03729,-51.98156,Coronel Domingos Soares,H,1899.0,Simepar
