,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
25465053,,2014/02/04,-25.46417,-50.53306,Eta Irati,H,4462.0,Águas Paraná
25474932,,2017/05/15,-25.47175,-49.32372,Santa Quitéria,H,28.0,Águas Paraná
25464957,,2016/06/14,-25.46276,-49.57091,Santa Cecília,P,363.0,Águas Paraná
25594916,906.0,2016/01/25,-25.58524,-49.1677,Grammer Sanepar,P,640.0,Águas Paraná
25514914,906.0,2013/07/14,-25.5192,-49.14685,Fazendinha,H,698.0,Águas Paraná
25584963,865.0,2014/02/04,-25.58722,-49.63189,Balsa Nova,H,699.0,Águas Paraná
25454912,,2014/01/01,-25.45058,-49.12135,Ponte PR 415,H,753.0,Águas Paraná
25544941,906.0,2016/03/23,-25.5474,-49.41009,Olaria Pioli,H,1448.0,Águas Paraná
25474883,9.0,2011/12/22,-25.4775,-48.8303,Morretes,H,2715.0,Águas Paraná
25424938,,2016/06/13,-25.42697,-49.38794,Ponte BR 277 Campo Largo,H,2909.0,Águas Paraná
25484918,906.0,2013/09/08,-25.48581,-49.18133,Comp.  C. Água Limpa,H,3743.0,Águas Paraná
25594926,906.0,2013/09/08,-25.59859,-49.26004,Ponte Do Umbarazinho,H,3744.0,Águas Paraná
25324916,,2016/02/25,-25.3225,-49.16233,Embrapa,H,3789.0,Águas Paraná
25584916,,2016/01/25,-25.77708,-49.32475,Mandirituba Copel,P,3790.0,Águas Paraná
25454904,,2016/02/18,-25.45196,-49.0496,São Cristovão,P,3792.0,Águas Paraná
25444947,,2016/01/26,-25.44211,-49.47309,Bom Jesus da Aldeia,P,3793.0,Águas Paraná
25684954,,2016/01/25,-25.681,-49.54176,Contenda Copel,P,3810.0,Águas Paraná
25544907,906.0,2016/01/25,-25.54619,-49.07237,Chacara Guajubi,P,3820.0,Águas Paraná
25604951,897.0,2013/07/10,-25.60021,-49.5134,Guajuvira,H,4494.0,Águas Paraná
25534954,897.0,2014/02/20,-25.53778,-49.54439,Formigas,H,4495.0,Águas Paraná
25594922,906.0,2013/08/29,-25.59018,-49.22866,Cachoeira,H,4496.0,Águas Paraná
24844927,,2013/09/08,-24.84357,-49.27336,Cerro Azul Montante,H,779.0,Águas Paraná
24904944,,2013/09/08,-24.90348,-49.44163,Foz São Sebastião,H,780.0,Águas Paraná
25244874,,2016/02/17,-25.24316,-48.74825,Pinguela,H,3755.0,Águas Paraná
25284923,,2016/01/25,-25.28776,-49.23149,Colombo Copel,P,3813.0,Águas Paraná
25234959,,2014/02/04,-25.23556,-49.59633,Ponte Do Açungui,H,4465.0,Águas Paraná
24945259,,2014/02/04,-24.94722,-52.59778,Porto Carriel,H,4457.0,Águas Paraná
24555290,,2014/02/04,-24.55444,-52.90139,Ponte Do Goio Bang,H,4459.0,Águas Paraná
26085307,,2013/07/15,-26.08142,-53.07481,Eta Francisco Beltrão,H,778.0,Águas Paraná
26155302,625.0,2013/07/15,-26.15827,-53.02388,Eta Marmeleiro,H,1477.0,Águas Paraná
26075306,,2016/09/21,-26.07353,-53.06369,Bombeiros Francisco Beltrão,H,2453.0,Águas Paraná
