,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
26175039,,2015/02/24,-26.17522,-50.39492,CANOINHAS- Prefeitura Municipal,P,141.0,CEMADEN
26255110,,2014/07/25,-26.251,-51.1,UNIÃO DA VITÓRIA - Rio da Praia,P,259.0,CEMADEN
26435132,,2014/07/25,-26.428,-51.317,GENERAL CARNEIRO - Centro,P,912.0,CEMADEN
25215098,,2015/02/25,-25.21334,-50.97847,PRUDENTÓPOLIS - Bombeiro Comunitário,P,2365.0,CEMADEN
25405149,,2015/02/25,-25.40131,-51.49242,GUARAPUAVA - Vila Bela,P,4984.0,CEMADEN
25365143,,2015/02/24,-25.35533,-51.43377,GUARAPUAVA - Imovel Morro Alto,P,4985.0,CEMADEN
25885042,,2016/02/19,-25.88059,-50.41684,SÃO MATEUS DO SUL - SaoMateus02,P,5061.0,CEMADEN
26235108,,2017/09/03,-26.236,-51.084,PORTO UNIÃO - Centro,P,5185.0,CEMADEN
26865203,,2015/02/23,-26.85814,-52.03214,PONTE SERRADA- Baía Alta,P,1113.0,CEMADEN
27005114,,2015/03/03,-27.00089,-51.14152,VIDEIRA - Aeroporto,P,2547.0,CEMADEN
27005107,,2015/03/03,-27.00514,-51.0703,VIDEIRA - Rio das Pedras,P,2549.0,CEMADEN
26785101,,2016/10/06,-26.7769,-51.0094,CAÇADOR - Defesa Civil,P,4829.0,CEMADEN
27025189,,2015/02/23,-27.02329,-51.8937,IRANI - Centro,P,4995.0,CEMADEN
27015115,,2015/03/03,-27.00377,-51.16095,VIDEIRA - Floresta,P,5057.0,CEMADEN
25375212,,2017/10/07,-25.37224,-52.12637,CANTAGALO - Centro,P,5580.0,CEMADEN
26684915,,2014/07/25,-26.682,-49.144,POMERODE - Rega,P,41.0,CEMADEN
25444888,8.48,2015/02/05,-25.437,-48.877,MORRETES - Parque Breckenfeld,P,192.0,CEMADEN
25524854,,2015/02/05,-25.517,-48.543,PARANAGUÁ- Padre Jackson,P,194.0,CEMADEN
25404919,,2014/07/25,-25.4,-49.193,PINHAIS- Jardim Atuba,P,196.0,CEMADEN
25464919,,2014/07/25,-25.462,-49.187,PINHAIS- Weiss¢polis,P,205.0,CEMADEN
26894919,,2015/02/10,-26.89003,-49.19313,INDAIAL - Encano,P,256.0,CEMADEN
26434908,,2015/02/11,-26.42641,-49.07919,JARAGUÁ DO SUL - Corpo de Bombeiros Voluntários,P,261.0,CEMADEN
25454910,,2014/07/25,-25.45,-49.101,PIRAQUARA - Jardim Santa Mônica,P,267.0,CEMADEN
25464915,,2014/07/25,-25.46,-49.147,PIRAQUARA - Vila Mariana,P,268.0,CEMADEN
26775001,,2015/03/05,-26.77489,-50.00846,SANTA TEREZINHA- UBS Centro,P,278.0,CEMADEN
25504918,906.0,2014/07/25,-25.503,-49.18,SÃO JOSÉ DOS PINHAIS- Afonso Pena,P,439.0,CEMADEN
25544938,897.0,2015/02/23,-25.5433,-49.3813,ARAUCÁRIA- Escola Municipal Eglé Cordeiro Machado Pinto,P,631.0,CEMADEN
25554920,906.0,2014/07/25,-25.55,-49.196,SÃO JOSÉ DOS PINHAIS - São Pedro,P,636.0,CEMADEN
25544909,906.0,2015/02/05,-25.537,-49.091,SÃO JOSÉ DOS PINHAIS - Borda do Campo,P,637.0,CEMADEN
25614917,906.0,2014/07/25,-25.606,-49.169,SÃO JOSÉ DOS PINHAIS - São Marcos,P,638.0,CEMADEN
26834911,,2014/07/25,-26.833,-49.108,BLUMENAU- Itoupava Central2,P,907.0,CEMADEN
26724907,,2014/07/25,-26.723,-49.066,BLUMENAU- Vila Itoupava,P,910.0,CEMADEN
26784936,,2014/07/25,-26.782,-49.365,BENEDITO NOVO - Centro,P,941.0,CEMADEN
26304991,,2015/02/24,-26.3014,-49.9066,ITAIÓPOLIS- Escola Rural Belmont,P,1030.0,CEMADEN
26184860,,2015/03/16,-26.18108,-48.60197,ITAPOÁ - Itapoá Terminais Portuários,P,1060.0,CEMADEN
26304899,,2014/07/25,-26.296,-48.988,JOINVILLE- Estrada Geral Salto I,P,1067.0,CEMADEN
26484910,,2015/02/10,-26.4766,-49.1043,JARAGUÁ DO SUL - SAMAE Agua Verde,P,1087.0,CEMADEN
26614889,,2015/02/23,-26.6081,-48.8948,MASSARANDUBA - Massarandubinha,P,1088.0,CEMADEN
27215012,,2014/07/25,-27.213,-50.122,MIRIM DOCE - Pinhalzinho,P,1089.0,CEMADEN
26455024,,2015/03/05,-26.45387,-50.23787,MONTE CASTELO - Bairro Novo,P,1092.0,CEMADEN
26774916,,2014/07/25,-26.774,-49.163,POMERODE- Testo Central Alto,P,1105.0,CEMADEN
27024963,,2015/02/11,-27.024,-49.635,PRESIDENTE GETÚLIO- Rua Caminho Pinheiro,P,1107.0,CEMADEN
27204967,,2014/07/25,-27.198,-49.674,RIO DO SUL- Fundo Canoas,P,1116.0,CEMADEN
27184960,,2014/07/25,-27.176,-49.604,RIO DO SUL- Santa Rita,P,1119.0,CEMADEN
26825001,,2014/07/25,-26.821,-50.011,RIO DO CAMPO - Rio da Prata,P,1123.0,CEMADEN
26724918,,2014/07/25,-26.723,-49.182,POMERODE - Rua Frederic Blanck,P,1125.0,CEMADEN
26734914,,2014/07/25,-26.73,-49.142,POMERODE - Wunderwald,P,1126.0,CEMADEN
26744917,,2014/07/25,-26.742,-49.174,POMERODE - Centro,P,1128.0,CEMADEN
27165047,,2014/07/25,-27.156,-50.467,PONTE ALTA DO NORTE - Centro,P,1129.0,CEMADEN
26244864,,2015/02/20,-26.2426,-48.6385,SÃO FRANCISCO DO SUL - Centro,P,1225.0,CEMADEN
25544855,,2014/08/13,-25.542,-48.547,PARANAGUÁ- Vila do Povo,P,1260.0,CEMADEN
26394909,,2014/07/25,-26.392,-49.09,SCHROEDER- Centro,P,1266.0,CEMADEN
26414909,,2014/07/25,-26.412,-49.077,SCHROEDER- Centro2,P,1268.0,CEMADEN
27075003,,2014/07/25,-27.067,-50.034,TAIÓ- Santo Antonio,P,1315.0,CEMADEN
26844925,,2014/07/25,-26.842,-49.253,TIMBÓ - Vila Gemer,P,1372.0,CEMADEN
26804930,,2014/07/25,-26.799,-49.299,TIMBÓ - Tiroleses,P,1374.0,CEMADEN
26924979,,2014/07/25,-26.918,-49.788,WITMARSUM - Vila Nova,P,1416.0,CEMADEN
