Parametros,par_01,par_02,par_03,par_04,par_05,par_10,par_11,par_13,par_14,par_15
UZTWM,298.7869424734538,24.853719807506156,165.27047047953351,109.8220598041317,197.89172144741485,16.94749450932407,11.630405702575722,43.95405097578372,260.69472949213247,149.53920364656935
UZFWM,120.6610281659319,69.17408506208307,5.130542807358341,6.132119742078741,142.87720946388225,35.48677264156466,133.50405588698897,113.86015887687212,120.69604159537938,44.136285584825984
LZTWM,12.280617581550189,172.94875546371915,58.33201703275658,31.6414930976062,60.24288343343721,31.7442930705191,97.96845691467922,49.86061865794889,377.9216995843792,12.214021056030148
LZFPM,993.4978880699088,795.6504229665748,556.0698725907303,264.2944299344009,635.7784695118825,371.5421755142233,434.2628272154794,330.5133757532531,645.8913105420628,560.1895654378928
LZFSM,138.03683197771826,270.34173268569754,51.17334324297052,395.1722868546523,398.3479373924431,286.27097533070224,398.0695927537329,328.8456956394781,349.0463485928815,172.90126309568646
UZK,0.728295426554463,0.7460321246888594,0.6760057091052442,0.4538053160806096,0.7492841411576668,0.3375084926733083,0.7496238842497251,0.108793237185168,0.7486465459582532,0.7399286434765681
LZPK,0.0056534388610586,0.0072210447048683,0.003759321690361,0.004431403266026,0.0091137957452576,0.0090576629946198,0.0103537633552483,0.0047796271907611,0.0013219029036101,0.019705554824833
LZSK,0.2332367992559511,0.0608538964921722,0.0727418509397107,0.0804974164094019,0.0649861696151022,0.3407146224580029,0.0965843460687964,0.0874907082230271,0.0675616550010712,0.3481349279201858
ADIMP,0.0023084055919683,0.1980821495280661,0.1995157112754449,0.1978941268014032,0.1985840845788029,5.515611676635201e-05,0.0059765842024388,0.076369940952996,0.189530711120531,0.0430221899796976
PCTIM,0.1678336342103594,0.1112811937740221,0.0934429758682352,0.1093994749440647,0.1130981381452176,0.0949455933933172,0.0584397515679508,0.0539090180040117,0.0795293512136168,0.1654146211592184
ZPERC,20.23907639479345,136.84875538212142,115.68305312923012,289.0906302414565,23.382540532852676,1.8606855516767544,31.418826579399912,50.860580447356185,5.286590031347355,3.379429204813875
REXP,4.975042371530749,1.7123497661357243,1.1039930288183082,1.8664046757869512,4.985696649087206,4.992389465670093,2.8989693859804944,4.46976999708316,1.1386661079664002,4.931127813052394
PFREE,0.7979958049759456,0.5656926057019345,0.0040635541368658,0.2098830034965855,0.7823805772085011,0.1407722566612215,0.2063657989828503,0.312163005390121,0.5637393675304233,0.7836344118581628
NUH,1.4462972216530114,1.8760380304294704,2.0803240139203925,2.9381858802122065,1.195402359005845,1.7923002768687617,1.7530347408126217,1.759785597985697,1.2648808744879845,1.430129968933698
KUH,5.996156279259728,3.1138184366495305,3.18923470196147,2.270261668199311,4.502094105052774,5.985665829786679,1.0541255132201623,1.0742747877117589,3.10536383152488,5.967284165440409
NMSK,,,,,,,,,,
KMSK,,,,,,,,,,
XMSK,,,,,,,,,,
