idPosto,nome,codigo_banco,codigo_snirh,x,y,z,banco
2551015_ana,UHE_Salto_Santiago_Guarapuava_ana,2551015,2551015,-51.4956,-25.3656,1051.0,ana
2551063_ana,UHE_Salto_Santiago_Goioxim_ana,2551063,2551063,-51.9275,-25.2406,917.0,ana
2551069_ana,UHE_Salto_Osorio_Pinhao_ana,2551069,2551069,-51.6622,-25.6617,1070.0,ana
2552009_ana,UHE_Salto_Osorio_Laranjeiras_do_Sul_ana,2552009,2552009,-52.435,-25.3978,810.0,ana
2552030_ana,UHE_Salto_Santiago_Chopinzinho_plu_ana,2552030,2552030,-52.5269,-25.86,738.0,ana
2552055_ana,UHE_Salto_Santiago_Foz_do_Jordao_ana,2552055,2552055,-52.1139,-25.7747,615.0,ana
65136550_ana,Quitandinha_ana,65136550,65136550,-49.5258,-25.855,800.0,ana
65140000_ana,PCH_Canhadao_Barramento_ana,65140000,65140000,-52.2133,-25.9783,890.0,ana
65141000_ana,PCH_Canhadao_Jusante_ana,65141000,65141000,-52.1683,-25.9736,657.0,ana
65258000_ana,PCH_Rio_Timbo_Montante_ana,65258000,65258000,-50.6761,-26.6144,950.0,ana
65259000_ana,PCH_Rio_Timbo_Rio_Cacador_Grande_ana,65259000,65259000,-50.7283,-26.5936,933.0,ana
65270000_ana,PCH_Rio_Timbo_Barramento_ana,65270000,65270000,-50.7875,-26.495,845.0,ana
65271000_ana,PCH_Rio_Timbo_Jusante_ana,65271000,65271000,-50.8122,-26.4597,767.0,ana
65293000_ana,PCH_Pardos_Jusante_ana,65293000,65293000,-50.9861,-26.4472,911.0,ana
65815040_ana,UHE_Salto_Curucaca_Barramento_ana,65815040,65815040,-51.8158,-25.5353,0.0,ana
65815050_ana,UHE_Salto_Curucaca_Jusante_ana,65815050,65815050,-51.8189,-25.5383,1000.0,ana
65815060_ana,PCH_Tagua_ana,65815060,65815060,-51.7864,-25.5044,887.0,ana
65824991_ana,UHE_Santa_Clara_Barramento_ana,65824991,65824991,-51.9522,-25.6558,811.0,ana
65831000_ana,PCH_Tigre_Barramento_ana,65831000,65831000,-52.1783,-26.0528,901.0,ana
65831020_ana,PCH_Tigre_Jusante_ana,65831020,65831020,-52.175,-26.0411,828.0,ana
65831900_ana,PCH_Covo_Montante_ana,65831900,65831900,-52.1614,-25.9797,661.0,ana
65832000_ana,PCH_Covo_Barramento_ana,65832000,65832000,-52.1514,-25.9722,661.0,ana
65875500_ana,UHE_Salto_Santiago_Rio_Chopinzinho_ana,65875500,65875500,-52.4917,-25.7808,540.0,ana
65883051_ana,UHE_Salto_Santiago_Barramento_ana,65883051,65883051,-52.6164,-25.6103,491.0,ana
65889700_ana,UHE_Salto_Osorio_Rio_das_Cobras_ana,65889700,65889700,-52.7406,-25.4103,495.0,ana
65894991_ana,UHE_Salto_Osorio_Barramento_ana,65894991,65894991,-53.0106,-25.5331,400.0,ana
65945200_ana,PCH_Vitorino_Montante_ana,65945200,65945200,-52.7939,-26.01,522.0,ana
65945400_ana,PCH_Vitorino_Barramento_ana,65945400,65945400,-52.7856,-25.9972,520.0,ana
65945500_ana,PCH_Vitorino_Jusante_1_ana,65945500,65945500,-52.785,-25.9972,518.0,ana
65945600_ana,PCH_Vitorino_Jusante_2_ana,65945600,65945600,-52.7858,-25.9922,492.0,ana
65954200_ana,PCH_Vila_Galupo_Montante_ana,65954200,65954200,-52.9394,-26.0864,550.0,ana
65954250_ana,PCH_Bedim_Montante_ana,65954250,65954250,-52.9481,-26.0956,560.0,ana
65954300_ana,PCH_Bedim_Barramento_ana,65954300,65954300,-52.9558,-26.0911,565.0,ana
65954400_ana,PCH_Vila_Galupo_Barramento_ana,65954400,65954400,-52.9222,-26.0617,536.0,ana
65954900_ana,PCH_Jacare_Barramento_ana,65954900,65954900,-52.9331,-26.0389,509.0,ana
65954950_ana,PCH_Jacare_Jusante_ana,65954950,65954950,-52.9236,-26.0347,496.0,ana
65975300_ana,UHE_Baixo_Iguacu_Rio_Andrada_ana,65975300,65975300,-53.5003,-25.4217,329.0,ana
65980500_ana,UHE_Baixo_Iguacu_Rio_Capanema_ana,65980500,65980500,-53.6111,-25.7692,329.0,ana
65981500_ana,UHE_Itaipu_Ponte_do_Capanema_ana,65981500,65981500,-53.6114,-25.77,320.0,ana
65983100_ana,UHE_Baixo_Iguacau_Barramento_ana,65983100,65983100,-53.6722,-25.5042,263.0,ana
65984000_ana,UHE_Baixo_Iguacu_Jusante_ana,65984000,65984000,-53.7278,-25.5853,231.0,ana
65987000_ana,UHE_Itaipu_Porto_Capanema_ana,65987000,65987000,-53.9331,-25.5667,180.0,ana
65992500_ana,UHE_Itaipu_Hotel_Cataratas_ana,65992500,65992500,-54.4406,-25.6831,180.1,ana
65992502_ana,Hotel_Cataratas_Copel_ana,65992502,65992502,-54.4289,-25.6833,180.1,ana
