idPosto,nome,codigo_banco,codigo_snirh,x,y,z,banco
23365141_simepar,Guarapuavinha_Novo_elj,23365141,2551074.0,-51.65317,-25.61192,866.0,simepar
24925344_simepar,Cascavel_Taruma_cem,24925344,,-53.4352,-24.9202,,simepar
25005346_simepar,Cascavel_Centro_cem,25005346,,-53.46367,-24.99532,,simepar
25095359_simepar,Santa_Tereza_dOeste_iapar,25095359,,-53.58962,-25.876,752.0,simepar
25105287_simepar,Guaraniacu_Centro_cem,25105287,,-52.866,-25.1,,simepar
25115408_simepar,Sao_Miguel_do_Iguacu_sim,25115408,2554034.0,-54.2546,-25.3528,298.0,simepar
25215130_simepar,Guarapuava_sim,25215130,2551070.0,-51.4935,-25.3845,1070.0,simepar
25254905_simepar,Pinhais_sim,25254905,,-49.1299,-25.3907,930.0,simepar
25264913_simepar,Curitiba_inmet,25264913,,-49.2306,-25.44869,923.0,simepar
25264916_simepar,Curitiba_sim,25264916,2549101.0,-49.23033,-25.44817,935.0,simepar
25264930_simepar,Almirante_Tamandare_Tranqueira,25264930,,-49.301,-25.259,,simepar
25275035_simepar,Fernandes_Pinheiro_sim,25275035,,-50.5839,-25.4532,893.0,simepar
25275357_simepar,Lindoeste_Paco_Municial_cem,25275357,,-53.5725,-25.2686,,simepar
25284923_simepar,Colombo_Copel_ap,25284923,2549090.0,-49.23149,-25.28776,,simepar
25314930_simepar,Almirante_Tamandare_Centro_cem,25314930,,-49.298,-25.31,,simepar
25314931_simepar,Almirante_Tamandare_Jd_Planalto_cem,25314931,,-49.308,-25.312,,simepar
25315021_simepar,Boa_Vista_da_Aparecida_sim,25315021,2553069.0,-53.3558,-25.5225,367.0,simepar
25315119_simepar,Serra_da_Esperanca_cdp,25315119,,-51.19687,-25.31566,964.0,simepar
25315254_simepar,Nova_Laranjeiras_Centro_cem,25315254,,-52.53703,-25.30928,,simepar
25315329_simepar,Salto_Caxias_sim,25315329,,-53.49412,-25.52092,440.0,simepar
25324915_simepar,Colombo_inmet,25324915,,-49.15773,-25.32246,950.0,simepar
25324916_simepar,Embrapa_ap,25324916,2549128.0,-49.16233,-25.3225,,simepar
25324927_simepar,Almirante_Tamandare_Jd_Rosana_cem,25324927,,-49.267,-25.316,,simepar
25334953_simepar,Porto_Amazonas_sim,25334953,65035001.0,-49.8833,-25.55,,simepar
25335105_simepar,Inacio_Martins_inmet,25335105,,-51.7795,-25.56788,1209.0,simepar
25335129_simepar,Entre_Rios_sim,25335129,2551072.0,-51.4884,-25.5459,1095.0,simepar
25344925_simepar,Almirante_Tamandare_Jd_Graziela,25344925,,-49.246,-25.343,,simepar
25344928_simepar,Almirante_Tamandare_Jd_Bonfim_cem,25344928,,-49.28,-25.344,,simepar
25345306_simepar,PCH_Arturo_Andreoli_Barramento,25345306,65963071.0,-53.11301,-25.57138,351.0,simepar
25345422_simepar,Sao_Miguel_do_Iguacu_Barro_Branco_cem,25345422,,-54.222,-25.344,,simepar
25345435_simepar,Porto_Capanema_sim,25345435,65987001.0,-53.7923,-25.6154,234.0,simepar
25345816_simepar,Balsa_Jaracatia_sim,25345816,2553066.0,-53.2668,-25.5832,273.0,simepar
25354926_simepar,Curitiba_Cachoeira_cem,25354926,,-49.25527,-25.3536,,simepar
25355424_simepar,Sao_Miguel_do_Iguacu_Centro_cem,25355424,,-54.245,-25.349,,simepar
25364907_simepar,Quatro_Barras_ap,25364907,2549042.0,-49.74,-25.36761,,simepar
25364911_simepar,Campina_Grande_do_Sul_Jd_Graciosa_cem,25364911,,-49.109,-25.356,,simepar
