fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"1","89",Table90,"89",ENTREMAR,"2549113","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,PIRAQUARA-PR,-25.4892,-49.0408,900,"0",,RHN,Ativo
"2","90",Table91,"90",UHE SALTO SANTIAGO GUARAPUAVA,"2551015","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,GUARAPUAVA-PR,-25.3656,-51.4956,1051,"0",,Setor Elétrico,Ativo
"3","91",Table92,"91",UHE SALTO SANTIAGO GOIOXIM,"2551063","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,GUARAPUAVA-PR,-25.2406,-51.9275,917,"0",,Setor Elétrico,Ativo
"4","92",Table93,"92",UHE SALTO OSÓRIO PINHÃO,"2551069","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,PINHÃO-PR,-25.6617,-51.6622,1070,"0",,Setor Elétrico,Ativo
"5","93",Table94,"93",UHE FUNDÃO GUARAPUAVA,"2551070","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,-25.3847,-51.4939,0,"0",,Setor Elétrico,Ativo
"6","94",Table95,"94",UHE FUNDÃO PINHÃO,"2551071","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,PINHÃO-PR,-25.6492,-51.9625,0,"0",,Setor Elétrico,Ativo
"7","95",Table96,"95",UHE SANTA CLARA ENTRE RIOS,"2551072","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,-25.5458,-51.4883,0,"0",,Setor Elétrico,Ativo
"8","96",Table97,"96",UHE SALTO OSÓRIO LARANJEIRAS DO SUL,"2552009","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,LARANJEIRAS DO SUL-PR,-25.3978,-52.435,810,"0",,Setor Elétrico,Ativo
"9","97",Table98,"97",UHE SALTO SANTIAGO CHOPINZINHO PLU,"2552030","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,CHOPINZINHO-PR,-25.86,-52.5269,738,"0",,Setor Elétrico,Ativo
"10","98",Table99,"98",UHE SALTO SANTIAGO FOZ DO JORDÃO,"2552055","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,FOZ DO JORDÃO-PR,-25.7747,-52.1139,615,"0",,Setor Elétrico,Ativo
"11","3315",Table3316,"3315",ETA - IRATI,"64441020","6","64",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,FERNANDES PINHEIRO-PR,-25.4642,-50.5331,750,"64160300",RIO IMBITUVA,RHN,Ativo
