fid,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"1","25825217",Coronel Domingos Soares,Simepar,H,-51.98156,-26.03729,607,2010-11-12
"2","25325329",Reservatório Salto Caxias,Simepar,H,-53.4833,-25.5333,440,2009-03-13
"3","25345816",Balsa Jaracatiá,Simepar,H,-53.2668,-25.5832,273,2006-05-26
"4","26055019",Divisa,Simepar,H,-50.33141,-26.08771,770,1997-09-17
"5","26225115",Jangada,Simepar,H,-51.2722,-26.38695,1046,1997-06-01
"6","26005167",UHGBM - Canal Fuga,Simepar,H,-51.66995,-26.00673,914,2010-05-05
"7","26094923",Fragosos,Simepar,H,-49.3833,-26.15,0,1997-06-01
"8","25615165",Guarapuavinha,ELEJOR,H,-51.67591,-25.59652,866,2006-07-13
"9","26355045",Foz do Cachoeira,Simepar,H,-50.75,-26.5833,0,1997-06-01
"10","25464925",Horto Municipal,Águas Paraná,H,-49.2506,-25.463,,2017-05-15
"11","25474932",Santa Quitéria,Águas Paraná,H,-49.32372,-25.47175,,2017-05-15
"12","25284900",Roça Nova,Epagri/Ciram,P,-49,-25.4728,,2010-02-25
"13","26015237",PCH Arturo Andreoli Porto Palmeirinha,PCH Arturo Andreoli,H,-52.6283,-26.0291,0,2002-08-30
"14","25644907",Reservatório Miringuava,SANEPAR,P,-49.07424,-25.64231,944,2020-12-08
"15","25494906",Vossoroca,Orbcopel,H,-49.0833,-25.8166,,
"16","25345331",N.Prata do Iguaçu,Simepar,M,-53.5166,-25.5666,546.3,1997-06-01
"17","25854940",Quitandinha,Águas Paraná,H,-49.52617,-25.85582,,2014-02-20
"18","25544941",Olaria Pioli,Águas Paraná,H,-49.41009,-25.5474,906,2016-03-23
"19","25394911",Pinhais,Epagri/Ciram,P,-49.1186,-25.39,945,2010-06-15
"20","26105047",Foz do Timbó,Simepar,H,-50.89522,-26.29452,0,1997-06-01
"21","25444923",Politécnico Meteorológica,Testes Laboratório,M,-49.23066,-25.44868,935,2017-07-10
"22","25445068",Praça de Irati,Caminhos do Paraná,P,-50.68119,-25.4444,966,2013-03-01
"23","26175039",CANOINHAS- Prefeitura Municipal,CEMADEN,P,-50.39492,-26.17522,,2015-02-24
"24","98888885",Teste - PCH Bela Vista -Reservatório,Testes Laboratório,H,-49.2666,-25.4333,,2015-02-19
"25","25495200",Barragem Usina Fundão,ELEJOR,H,-52.00288,-25.70366,713,2006-08-11
"26","25385156",Barragem Usina Santa Clara,ELEJOR,H,-51.9553,-25.64386,817,2006-08-24
"27","20618",Vossoroca,Orbcopel,H,-49.0833,-25.8166,,
"28","25315254",NOVA LARANJEIRAS - Centro,CEMADEN,P,-52.53703,-25.30928,,2015-02-25
"29","99999993",01 - Teste Offset,Testes Laboratório,H,-49.23033,-25.44817,935,2008-03-06
"30","98888883",TS + sat1 - 300,Testes Laboratório,H,-49.2666,-25.4333,,2009-03-06
"31","25495361",CAPITÃO LEÔNIDAS MARQUES- Rua Tarobé,CEMADEN,P,-53.612,-25.494,,2014-07-25
"32","25425241",Laranjeiras do Sul,Simepar,M,-52.41211,-25.42767,838,2017-07-18
"33","25404919",PINHAIS- Jardim Atuba,CEMADEN,P,-49.193,-25.4,,2014-07-25
"34","25444916",PINHAIS- Maria Antonieta,CEMADEN,P,-49.165,-25.442,,2014-07-25
"35","25394919",PINHAIS- Perdizes,CEMADEN,P,-49.19,-25.394,,2014-07-25
"36","25404918",PINHAIS- Jardim Claudia,CEMADEN,P,-49.18,-25.4,,2014-07-25
"37","26275268",PATO BRANCO - Alvorada,CEMADEN,P,-52.683,-26.267,,2014-07-25
"38","26205269",PATO BRANCO - Fraron,CEMADEN,P,-52.692,-26.198,,2014-07-25
"39","26235267",PATO BRANCO - Centro,CEMADEN,P,-52.673,-26.228,,2014-07-25
"40","25355424",SÃO MIGUEL DO IGUAÇU- Centro,CEMADEN,P,-54.245,-25.349,,2014-07-25
"41","25375427",SÃO MIGUEL DO IGUAÇU- Rua Noé N. de Medeiros,CEMADEN,P,-54.27,-25.37306,,2014-08-12
"42","25695262",SAUDADE DO IGUAÇU- Prefeitura Municipal,CEMADEN,P,-52.6174,-25.6916,,2015-02-19
"43","26235107",UNIÃO DA VITÓRIA- Sagrada Familia,CEMADEN,P,-51.069,-26.232,,2014-07-25
"44","25345306",PCH Arturo Andreoli Barramento,PCH Arturo Andreoli,H,-53.11301,-25.57138,351,2002-08-28
