estcodigo,@diffgr:id,@msdata:rowOrder,Altitude,Bacia,CodEstacao,CodRio,Latitude,Longitude,Municipio-UF,NomeEstacao,NomeRio,Operadora,Origem,Responsavel,StatusEstacao,SubBacia,fid,field_1
0,Table90,89.0,900.0,6.0,2549113.0,0.0,-25.4892,-49.0408,PIRAQUARA-PR,ENTREMAR,,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,1.0,89.0
1,Table91,90.0,1051.0,6.0,2551015.0,0.0,-25.3656,-51.4956,GUARAPUAVA-PR,UHE SALTO SANTIAGO GUARAPUAVA,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,2.0,90.0
2,Table92,91.0,917.0,6.0,2551063.0,0.0,-25.2406,-51.9275,GUARAPUAVA-PR,UHE SALTO SANTIAGO GOIOXIM,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,3.0,91.0
3,Table93,92.0,1070.0,6.0,2551069.0,0.0,-25.6617,-51.6622,PINHÃO-PR,UHE SALTO OSÓRIO PINHÃO,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,4.0,92.0
4,Table94,93.0,0.0,6.0,2551070.0,0.0,-25.3847,-51.4939,GUARAPUAVA-PR,UHE FUNDÃO GUARAPUAVA,,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,5.0,93.0
5,Table95,94.0,0.0,6.0,2551071.0,0.0,-25.6492,-51.9625,PINHÃO-PR,UHE FUNDÃO PINHÃO,,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,6.0,94.0
6,Table96,95.0,0.0,6.0,2551072.0,0.0,-25.5458,-51.4883,GUARAPUAVA-PR,UHE SANTA CLARA ENTRE RIOS,,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Ativo,65.0,7.0,95.0
7,Table97,96.0,810.0,6.0,2552009.0,0.0,-25.3978,-52.435,LARANJEIRAS DO SUL-PR,UHE SALTO OSÓRIO LARANJEIRAS DO SUL,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,8.0,96.0
8,Table98,97.0,738.0,6.0,2552030.0,0.0,-25.86,-52.5269,CHOPINZINHO-PR,UHE SALTO SANTIAGO CHOPINZINHO PLU,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,9.0,97.0
9,Table99,98.0,615.0,6.0,2552055.0,0.0,-25.7747,-52.1139,FOZ DO JORDÃO-PR,UHE SALTO SANTIAGO FOZ DO JORDÃO,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,10.0,98.0
10,Table3316,3315.0,750.0,6.0,64441020.0,64160300.0,-25.4642,-50.5331,FERNANDES PINHEIRO-PR,ETA - IRATI,RIO IMBITUVA,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,64.0,11.0,3315.0
11,Table3364,3363.0,747.0,6.0,64619000.0,64300100.0,-25.2372,-50.9608,PRUDENTÓPOLIS-PR,PRUDENTÓPOLIS CAPT. SANEPAR,RIO DOS PATOS,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,64.0,12.0,3363.0
12,Table3417,3416.0,891.02,6.0,65001500.0,65102000.0,-25.4178,-49.1067,PIRAQUARA-PR,BARRAGEM IRAÍ,RIO IRAÍ,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,13.0,3416.0
13,Table3418,3417.0,875.3,6.0,65004995.0,65101000.0,-25.4506,-49.1211,PIRAQUARA-PR,PONTE PR-415,RIO PIRAQUARA,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,14.0,3417.0
14,Table3419,3418.0,876.0,6.0,65006090.0,65100000.0,-25.4864,-49.1811,SÃO JOSÉ DOS PINHAIS-PR,COMPORTA CANAL ÁGUA LIMPA,RIO IGUAÇU,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,15.0,3418.0
15,Table3420,3419.0,875.06,6.0,65010000.0,65107000.0,-25.5192,-49.1456,SÃO JOSÉ DOS PINHAIS-PR,FAZENDINHA,RIO PEQUENO,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,16.0,3419.0
16,Table3421,3420.0,919.46,6.0,65011030.0,65108000.0,-25.3867,-49.2661,CURITIBA-PR,JUSANTE PARQUE SÃO LOURENÇO,RIO BELÉM,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,17.0,3420.0
17,Table3422,3421.0,875.0,6.0,65013005.0,65100000.0,-25.5281,-49.2189,CURITIBA-PR,ETE - SANEPAR,RIO IGUAÇU,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,18.0,3421.0
18,Table3423,3422.0,878.0,6.0,65015400.0,65110000.0,-25.5892,-49.2281,SÃO JOSÉ DOS PINHAIS-PR,CACHOEIRA,RIO MIRINGUAVA,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,19.0,3422.0
19,Table3424,3423.0,879.0,6.0,65017006.0,65100000.0,-25.5986,-49.2608,SÃO JOSÉ DOS PINHAIS-PR,PONTE DO UMBARAZINHO,RIO IGUAÇU,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,20.0,3423.0
20,Table3425,3424.0,889.09,6.0,65019675.0,65113000.0,-25.4633,-49.3197,CURITIBA-PR,SANTA QUITÉRIA,RIO BARIGUI,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,21.0,3424.0
21,Table3426,3425.0,857.72,6.0,65025000.0,65100000.0,-25.6003,-49.5133,ARAUCÁRIA-PR,GUAJUVIRA,RIO IGUAÇU,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,22.0,3425.0
22,Table3427,3426.0,869.22,6.0,65026950.0,65115000.0,-25.5378,-49.5444,ARAUCÁRIA-PR,FORMIGAS,RIO VERDE,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,23.0,3426.0
23,Table3428,3427.0,854.36,6.0,65028000.0,65100000.0,-25.5886,-49.6319,BALSA NOVA-PR,BALSA NOVA,RIO IGUAÇU,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00052 - IAT-PR - Instituto Água e Terra do Paraná,Ativo,65.0,24.0,3427.0
24,Table3429,3428.0,780.0,6.0,65035001.0,65100000.0,-25.5481,-49.8894,PORTO AMAZONAS-PR,UHE GOV. NEY AMINTHAS PORTO AMAZONAS,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,25.0,3428.0
25,Table3430,3429.0,760.0,6.0,65060001.0,65100000.0,-25.8756,-50.3894,SÃO MATEUS DO SUL-PR,UHE GOV. NEY AMINTHAS SÃO MATEUS DO SUL,RIO IGUAÇU,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,26.0,3429.0
26,Table3431,3430.0,766.0,6.0,65100001.0,65120000.0,-26.1097,-49.8011,RIO NEGRO-PR,PCH DERIVAÇÃO DO RIO JORDÃO RIO NEGRO,RIO NEGRO,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,27.0,3430.0
27,Table3432,3431.0,800.0,6.0,65136550.0,65120400.0,-25.855,-49.5258,QUITANDINHA-PR,QUITANDINHA,RIO DA VÁRZEA,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,28.0,3431.0
28,Table3433,3432.0,890.0,6.0,65140000.0,65140700.0,-25.9783,-52.2133,MANGUEIRINHA-PR,PCH CANHADÃO BARRAMENTO,RIO COVO,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Setor Elétrico,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Ativo,65.0,29.0,3432.0
29,Table3434,3433.0,657.0,6.0,65141000.0,65140700.0,-25.9736,-52.1683,MANGUEIRINHA-PR,PCH CANHADÃO JUSANTE,RIO COVO,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Setor Elétrico,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Ativo,65.0,30.0,3433.0
30,Table3435,3434.0,775.0,6.0,65155001.0,65120400.0,-25.9439,-49.7961,LAPA-PR,PCH CAVERNOSO II SÃO BENTO,RIO DA VÁRZEA,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,00028 - COPEL - Copel Geração e Transmissão S.A,Ativo,65.0,31.0,3434.0
31,Table3436,3435.0,840.0,6.0,65155500.0,65140450.0,-25.9867,-50.0928,ANTÔNIO OLINTO-PR,FAZENDA MELLO,CÓRREGO DO MELLO,"00414 - RIGESA - Rigesa - Celulose, Papel e Embalagens Ltda.",RHN,"00414 - RIGESA - Rigesa - Celulose, Papel e Embalagens Ltda.",Ativo,65.0,32.0,3435.0
