id,estaltitude,estcodigo,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,fid,orgsigla
0,607.0,25825217.0,2010-11-12,-26.03729,-51.98156,Coronel Domingos Soares,H,1.0,Simepar
2,273.0,25345816.0,2006-05-26,-25.5832,-53.2668,Balsa Jaracatiá,H,3.0,Simepar
3,770.0,26055019.0,1997-09-17,-26.08771,-50.33141,Divisa,H,4.0,Simepar
8,0.0,26355045.0,1997-06-01,-26.5833,-50.75,Foz do Cachoeira,H,9.0,Simepar
10,,25474932.0,2017-05-15,-25.47175,-49.32372,Santa Quitéria,H,11.0,Águas Paraná
12,0.0,26015237.0,2002-08-30,-26.0291,-52.6283,PCH Arturo Andreoli Porto Palmeirinha,H,13.0,PCH Arturo Andreoli
13,944.0,25644907.0,2020-12-08,-25.64231,-49.07424,Reservatório Miringuava,P,14.0,SANEPAR
17,906.0,25544941.0,2016-03-23,-25.5474,-49.41009,Olaria Pioli,H,18.0,Águas Paraná
19,0.0,26105047.0,1997-06-01,-26.29452,-50.89522,Foz do Timbó,H,20.0,Simepar
21,966.0,25445068.0,2013-03-01,-25.4444,-50.68119,Praça de Irati,P,22.0,Caminhos do Paraná
22,,26175039.0,2015-02-24,-26.17522,-50.39492,CANOINHAS- Prefeitura Municipal,P,23.0,CEMADEN
24,713.0,25495200.0,2006-08-11,-25.70366,-52.00288,Barragem Usina Fundão,H,25.0,ELEJOR
27,,25315254.0,2015-02-25,-25.30928,-52.53703,NOVA LARANJEIRAS - Centro,P,28.0,CEMADEN
31,838.0,25425241.0,2017-07-18,-25.42767,-52.41211,Laranjeiras do Sul,M,32.0,Simepar
32,,25404919.0,2014-07-25,-25.4,-49.193,PINHAIS- Jardim Atuba,P,33.0,CEMADEN
33,,25444916.0,2014-07-25,-25.442,-49.165,PINHAIS- Maria Antonieta,P,34.0,CEMADEN
35,,25404918.0,2014-07-25,-25.4,-49.18,PINHAIS- Jardim Claudia,P,36.0,CEMADEN
36,,26275268.0,2014-07-25,-26.267,-52.683,PATO BRANCO - Alvorada,P,37.0,CEMADEN
37,,26205269.0,2014-07-25,-26.198,-52.692,PATO BRANCO - Fraron,P,38.0,CEMADEN
38,,26235267.0,2014-07-25,-26.228,-52.673,PATO BRANCO - Centro,P,39.0,CEMADEN
39,,25355424.0,2014-07-25,-25.349,-54.245,SÃO MIGUEL DO IGUAÇU- Centro,P,40.0,CEMADEN
40,,25375427.0,2014-08-12,-25.37306,-54.27,SÃO MIGUEL DO IGUAÇU- Rua Noé N. de Medeiros,P,41.0,CEMADEN
41,,25695262.0,2015-02-19,-25.6916,-52.6174,SAUDADE DO IGUAÇU- Prefeitura Municipal,P,42.0,CEMADEN
42,,26235107.0,2014-07-25,-26.232,-51.069,UNIÃO DA VITÓRIA- Sagrada Familia,P,43.0,CEMADEN
43,351.0,25345306.0,2002-08-28,-25.57138,-53.11301,PCH Arturo Andreoli Barramento,H,44.0,PCH Arturo Andreoli
44,,26255110.0,2014-07-25,-26.251,-51.1,UNIÃO DA VITÓRIA - Rio da Praia,P,45.0,CEMADEN
45,,26094980.0,2014-07-25,-26.089,-49.8,RIO NEGRO - R. Emílio Von Linzingen,P,46.0,CEMADEN
46,,26124978.0,2014-07-25,-26.118,-49.776,RIO NEGRO - Vila São Judas Tadeu,P,47.0,CEMADEN
47,,25454910.0,2014-07-25,-25.45,-49.101,PIRAQUARA - Jardim Santa Mônica,P,48.0,CEMADEN
48,,25464915.0,2014-07-25,-25.46,-49.147,PIRAQUARA - Vila Mariana,P,49.0,CEMADEN
51,466.0,25815290.0,2021-04-06,-25.81853,-52.9012,PCH Bela Vista reservatório,H,52.0,Simepar
53,,25464957.0,2016-06-14,-25.46276,-49.57091,Santa Cecília,P,54.0,Águas Paraná
55,728.2,26005139.0,1998-03-06,-26.00639,-51.66754,Foz do Areia,H,56.0,Simepar
56,935.0,25264916.0,1997-06-01,-25.44817,-49.23033,Curitiba,M,57.0,Simepar
58,1093.0,26475197.0,2015-12-11,-26.46711,-51.97467,Palmas,M,59.0,Iapar
59,274.0,25505367.0,2017-07-13,-25.50895,-53.67738,Baixo Iguaçu,M,60.0,Simepar
60,906.0,25504918.0,2014-07-25,-25.503,-49.18,SÃO JOSÉ DOS PINHAIS- Afonso Pena,P,61.0,CEMADEN
65,0.0,26025035.0,1997-06-01,-26.02146,-50.59233,Fluviopolis,H,66.0,Simepar
67,0.0,25555031.0,1997-06-01,-25.9166,-50.5166,Pontilhão,H,68.0,Simepar
68,0.0,25485116.0,1997-06-11,-25.80682,-51.22884,Madeireira Gavazzoni,H,69.0,Simepar
70,716.0,26125265.0,2015-08-01,-26.12338,-52.65192,Pato Branco,M,71.0,Iapar
71,628.0,26085306.0,2015-08-01,-26.08391,-53.06419,Francisco Beltrão,M,72.0,Iapar
72,752.0,25095359.0,2015-08-01,-25.0876,-53.58962,Santa Tereza d´Oeste,M,73.0,Iapar
74,0.0,26025109.0,1997-06-01,-26.02999,-51.14149,Palmital do Meio,H,75.0,Simepar
75,0.0,25475206.0,1999-01-01,-25.7911,-52.11895,Segredo,H,76.0,Simepar
76,872.0,25435059.0,2015-08-01,-25.44331,-50.59503,Fernandes Pinheiro / Irati,M,77.0,Iapar
77,400.0,25725375.0,2015-08-01,-25.72189,-53.74788,Planalto,M,78.0,Iapar
79,1029.0,25385149.0,2015-08-01,-25.38495,-51.49391,Guarapuava,M,80.0,Iapar
81,897.0,25544938.0,2015-02-23,-25.5433,-49.3813,ARAUCÁRIA- Escola Municipal Eglé Cordeiro Machado Pinto,P,82.0,CEMADEN
83,906.0,25554920.0,2014-07-25,-25.55,-49.196,SÃO JOSÉ DOS PINHAIS - São Pedro,P,84.0,CEMADEN
84,906.0,25544909.0,2015-02-05,-25.537,-49.091,SÃO JOSÉ DOS PINHAIS - Borda do Campo,P,85.0,CEMADEN
85,906.0,25614917.0,2014-07-25,-25.606,-49.169,SÃO JOSÉ DOS PINHAIS - São Marcos,P,86.0,CEMADEN
86,906.0,25594916.0,2016-01-25,-25.58524,-49.1677,Grammer Sanepar,P,87.0,Águas Paraná
89,0.0,25385201.0,2012-05-23,-25.3803,-52.02561,Cavernoso em Vau dos Ribeiros,H,90.0,PCH Cavernoso II
90,903.0,25784977.0,2015-08-01,-25.78212,-49.76035,Lapa,M,91.0,Iapar
96,234.0,25345435.0,1997-06-01,-25.6154,-53.7923,Porto Capanema,H,97.0,Simepar
98,906.0,25514914.0,2013-07-14,-25.5192,-49.14685,Fazendinha,H,99.0,Águas Paraná
99,865.0,25584963.0,2014-02-04,-25.58722,-49.63189,Balsa Nova,H,100.0,Águas Paraná
104,,25464919.0,2014-07-25,-25.462,-49.187,PINHAIS- Weiss¢polis,P,105.0,CEMADEN
107,567.0,25495221.0,2012-10-03,-25.49008,-52.21747,PCH Cavernoso II - Barragem,H,108.0,PCH Cavernoso II
108,720.0,26065150.0,2011-04-15,-26.0639,-51.5083,Bituruna,H,109.0,Simepar
111,367.0,25315021.0,2010-09-02,-25.5225,-53.3558,Boa Vista da Aparecida,H,112.0,Simepar
114,809.0,26055155.0,1997-05-01,-26.06659,-51.91311,Solais Novo,H,115.0,Simepar
115,,25454912.0,2014-01-01,-25.45058,-49.12135,Ponte PR 415,H,116.0,Águas Paraná
116,978.0,25724970.0,2013-03-01,-25.72683,-49.70617,Praça da Lapa,P,117.0,Caminhos do Paraná
118,,26085307.0,2013-07-15,-26.08142,-53.07481,Eta Francisco Beltrão,H,119.0,Águas Paraná
120,906.0,25554916.0,2014-07-25,-25.548,-49.156,SÃO JOSÉ DOS PINHAIS - Quississana,P,121.0,CEMADEN
121,,26235271.0,2014-07-25,-26.234,-52.713,PATO BRANCO - São João,P,122.0,CEMADEN
122,,26435132.0,2014-07-25,-26.428,-51.317,GENERAL CARNEIRO - Centro,P,123.0,CEMADEN
123,1344.0,26585152.0,2019-11-20,-26.5829,-51.52019,Palmas - Horizonte,M,124.0,Simepar
124,,26575233.0,2015-02-05,-26.565,-52.326,ABELARDO LUZ - Centro,P,125.0,CEMADEN
127,168.0,25435458.0,2017-05-09,-25.4361,-54.58286,Foz do Iguaçu - Itaipu,M,128.0,Simepar
128,,26304991.0,2015-02-24,-26.3014,-49.9066,ITAIÓPOLIS- Escola Rural Belmont,P,129.0,CEMADEN
129,,26455024.0,2015-03-05,-26.45387,-50.23787,MONTE CASTELO - Bairro Novo,P,130.0,CEMADEN
130,0.0,25334953.0,1997-06-01,-25.55,-49.8833,Porto Amazonas,H,131.0,Simepar
131,,25345422.0,2014-08-11,-25.344,-54.222,SÃO MIGUEL DO IGUAÇU - Barro Branco,P,132.0,CEMADEN
133,625.0,26155302.0,2013-07-15,-26.15827,-53.02388,Eta Marmeleiro,H,134.0,Águas Paraná
136,382.0,25405259.0,2015-09-01,-25.4055,-52.5901,PCH Arturo Andreoli Flor da Serra,H,137.0,PCH Arturo Andreoli
137,438.0,25525251.0,2015-09-01,-25.5256,-52.5146,PCH Arturo Andreoli Rio Santana,H,138.0,PCH Arturo Andreoli
142,756.53,26145103.0,1997-06-01,-26.22825,-51.06827,União da Vitória,M,143.0,Simepar
143,866.0,23365141.0,2014-05-22,-25.61192,-51.65317,Guarapuavinha Novo,H,144.0,ELEJOR
144,,25275357.0,2015-02-27,-25.2686,-53.5725,LINDOESTE- Paço Municipal,P,145.0,CEMADEN
150,,26075306.0,2016-09-21,-26.07353,-53.06369,Bombeiros Francisco Beltrão,H,151.0,Águas Paraná
154,964.0,25315119.0,2013-03-01,-25.31566,-51.19687,Serra da Esperança,P,155.0,Caminhos do Paraná
157,,25475066.0,2015-02-24,-25.47186,-50.65887,IRATI - Centro,P,158.0,CEMADEN
158,910.0,25385157.0,2003-04-08,-25.64944,-51.9625,Pinhão,M,159.0,Simepar
159,0.0,26105114.0,1997-06-01,-26.1666,-51.2333,Porto Vitória,H,160.0,Simepar
160,869.0,25604939.0,2016-07-04,-25.60161,-49.39793,Araucária,H,161.0,Águas Paraná
161,,26234941.0,2015-02-05,-26.229,-49.41,SÃO BENTO DO SUL - Colonial,P,162.0,CEMADEN
162,,25424938.0,2016-06-13,-25.42697,-49.38794,Ponte BR 277 Campo Largo,H,163.0,Águas Paraná
163,,25484904.0,2016-06-23,-25.48915,-49.04107,Entremar,P,164.0,Águas Paraná
164,922.91,25264913.0,2003-01-28,-25.44869,-49.2306,Curitiba,M,165.0,Inmet
166,1208.85,25335105.0,2006-10-16,-25.56788,-51.07795,Inácio Martins,M,167.0,Inmet
169,807.54,26285363.0,2008-06-02,-26.28656,-53.63311,Dionísio Cerqueira,M,170.0,Inmet
