,@diffgr:id,@msdata:rowOrder,Altitude,Bacia,CodEstacao,CodRio,Latitude,Longitude,Municipio-UF,NomeEstacao,NomeRio,Operadora,Origem,Responsavel,StatusEstacao,SubBacia,estcodigo,fid,field_1
0,Table91,90.0,1051.0,6.0,2551015.0,0.0,-25.3656,-51.4956,GUARAPUAVA-PR,UHE SALTO SANTIAGO GUARAPUAVA,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,1.0,2.0,90.0
1,Table92,91.0,917.0,6.0,2551063.0,0.0,-25.2406,-51.9275,GUARAPUAVA-PR,UHE SALTO SANTIAGO GOIOXIM,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,2.0,3.0,91.0
2,Table93,92.0,1070.0,6.0,2551069.0,0.0,-25.6617,-51.6622,PINHÃO-PR,UHE SALTO OSÓRIO PINHÃO,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,3.0,4.0,92.0
3,Table97,96.0,810.0,6.0,2552009.0,0.0,-25.3978,-52.435,LARANJEIRAS DO SUL-PR,UHE SALTO OSÓRIO LARANJEIRAS DO SUL,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,7.0,8.0,96.0
4,Table98,97.0,738.0,6.0,2552030.0,0.0,-25.86,-52.5269,CHOPINZINHO-PR,UHE SALTO SANTIAGO CHOPINZINHO PLU,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,8.0,9.0,97.0
5,Table99,98.0,615.0,6.0,2552055.0,0.0,-25.7747,-52.1139,FOZ DO JORDÃO-PR,UHE SALTO SANTIAGO FOZ DO JORDÃO,,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,00112 - ENGIE - Engie Brasil Energia S.A.,Ativo,65.0,9.0,10.0,98.0
11,Table3432,3431.0,800.0,6.0,65136550.0,65120400.0,-25.855,-49.5258,QUITANDINHA-PR,QUITANDINHA,RIO DA VÁRZEA,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,00001 - ANA - Agência Nacional de Águas,Ativo,65.0,27.0,28.0,3431.0
12,Table3433,3432.0,890.0,6.0,65140000.0,65140700.0,-25.9783,-52.2133,MANGUEIRINHA-PR,PCH CANHADÃO BARRAMENTO,RIO COVO,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Setor Elétrico,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Ativo,65.0,28.0,29.0,3432.0
13,Table3434,3433.0,657.0,6.0,65141000.0,65140700.0,-25.9736,-52.1683,MANGUEIRINHA-PR,PCH CANHADÃO JUSANTE,RIO COVO,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Setor Elétrico,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Ativo,65.0,29.0,30.0,3433.0
16,Table3439,3438.0,950.0,6.0,65258000.0,65130700.0,-26.6144,-50.6761,TIMBÓ GRANDE-SC,PCH RIO TIMBÓ MONTANTE,RIO TIMBÓ,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Setor Elétrico,00503 - CIABS - Companhia Bom Sucesso de Eletricidade-CIABS,Ativo,65.0,34.0,35.0,3438.0
