datahora,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10,sac_11,sac_12,sac_13,sac_14,sac_15,sac_16,sac_17,sac_18,sac_19,sac_20,sac_21,sac_22,sac_23,sac_24,sac_25,sac_26,sac_27,sac_28,sac_29,sac_30,sac_31,sac_32,sac_33,sac_34,sac_35,sac_36,sac_37,sac_38,sac_39,sac_40,sac_41,sac_42,sac_43,sac_44,sac_45,sac_46,sac_47,sac_48,sac_49,sac_50,Qmed,Q25,Q75,Qmax,Qmin
2021-07-26 12:00:00+00:00,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482,9.482
2021-07-26 18:00:00+00:00,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410,9.410
2021-07-27 00:00:00+00:00,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331
2021-07-27 06:00:00+00:00,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247,9.247
2021-07-27 12:00:00+00:00,9.158,9.160,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.166,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.159,9.158,9.158,9.158,9.163,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.158,9.162,9.165,9.158,9.158,9.158,9.158,9.166,9.158
2021-07-27 18:00:00+00:00,9.217,9.172,9.162,9.194,9.163,9.200,9.148,9.137,9.213,9.159,9.091,9.267,9.138,9.234,9.098,9.115,9.157,9.236,9.222,9.291,9.182,9.359,9.234,9.123,9.188,9.108,9.115,9.131,9.284,9.152,9.150,9.203,9.250,9.215,9.076,9.093,9.110,9.268,9.268,9.289,9.165,9.216,9.191,9.230,9.191,9.205,9.191,9.199,9.278,9.348,9.159,9.191,9.149,9.230,9.359,9.076
2021-07-28 00:00:00+00:00,9.583,9.353,9.400,9.562,9.280,9.523,9.633,9.329,9.591,9.765,9.277,9.697,9.373,9.619,9.266,9.252,9.403,9.631,9.809,9.741,9.407,9.958,9.520,9.481,9.384,9.333,9.258,9.252,9.698,9.337,9.409,9.578,9.576,9.642,9.173,9.211,9.399,9.844,9.839,9.795,9.351,9.558,9.386,9.600,9.482,9.637,9.652,9.562,9.797,9.890,9.449,9.523,9.368,9.637,9.958,9.173
2021-07-28 06:00:00+00:00,10.078,9.582,9.762,10.118,9.389,9.969,10.538,9.650,10.121,11.274,9.690,10.209,9.786,10.127,9.654,9.529,9.793,10.144,10.746,10.236,9.693,10.642,9.814,10.169,9.603,9.796,9.531,9.447,10.138,9.607,9.837,10.120,9.920,10.267,9.446,9.518,9.985,10.654,10.630,10.435,9.597,10.007,9.595,10.076,9.885,10.293,10.410,10.100,10.483,10.490,9.929,9.985,9.681,10.209,11.274,9.389
2021-07-28 12:00:00+00:00,10.507,9.774,10.080,10.620,9.472,10.357,11.521,9.926,10.588,12.868,10.058,10.652,10.157,10.585,10.024,9.787,10.136,10.596,11.876,10.661,9.936,11.236,10.060,10.781,9.787,10.217,9.770,9.617,10.514,9.837,10.210,10.595,10.211,10.819,9.694,9.822,10.514,11.382,11.327,10.993,9.804,10.397,9.767,10.492,10.234,10.876,11.099,10.586,11.083,11.020,10.361,10.397,10.002,10.661,12.868,9.472
2021-07-28 18:00:00+00:00,10.866,9.926,10.344,11.049,9.529,10.680,12.314,10.153,10.981,13.964,10.367,11.021,10.468,10.968,10.337,10.000,10.421,10.974,12.633,11.015,10.132,11.735,10.258,11.303,9.931,10.571,9.965,9.750,10.824,10.022,10.521,10.994,10.447,11.285,9.899,10.077,10.963,12.036,11.918,11.464,9.970,10.721,9.901,10.838,10.523,11.370,11.686,10.997,11.589,11.463,10.724,10.724,10.232,11.049,13.964,9.529
