datahora,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10,sac_11,sac_12,sac_13,sac_14,sac_15,sac_16,sac_17,sac_18,sac_19,sac_20,sac_21,sac_22,sac_23,sac_24,sac_25,sac_26,sac_27,sac_28,sac_29,sac_30,sac_31,sac_32,sac_33,sac_34,sac_35,sac_36,sac_37,sac_38,sac_39,sac_40,sac_41,sac_42,sac_43,sac_44,sac_45,sac_46,sac_47,sac_48,sac_49,sac_50,Qmed,Q25,Q75,Qmax,Qmin
2019-07-31 18:00:00+00:00,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594,330.594
2019-08-01 00:00:00+00:00,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210,328.210
2019-08-01 06:00:00+00:00,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264,324.264
2019-08-01 12:00:00+00:00,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376,320.376
2019-08-01 18:00:00+00:00,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547,316.547
2019-08-02 00:00:00+00:00,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775,312.775
2019-08-02 06:00:00+00:00,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059,309.059
2019-08-02 12:00:00+00:00,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399,305.399
2019-08-02 18:00:00+00:00,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796,301.796
2019-08-03 00:00:00+00:00,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417,298.417
2019-08-03 06:00:00+00:00,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176,295.176
2019-08-03 12:00:00+00:00,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927,291.927
2019-08-03 18:00:00+00:00,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687,288.687
2019-08-04 00:00:00+00:00,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464,285.464
2019-08-04 06:00:00+00:00,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263,282.263
2019-08-04 12:00:00+00:00,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088,279.088
2019-08-04 18:00:00+00:00,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942,275.942
2019-08-05 00:00:00+00:00,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828,272.828
2019-08-05 06:00:00+00:00,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747,269.747
2019-08-05 12:00:00+00:00,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701,266.701
2019-08-05 18:00:00+00:00,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692,263.692
2019-08-06 00:00:00+00:00,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719,260.719
