datahora,chuva_mm,etp_mm,q_m3s
2019-08-04 18:00:00+00:00,0.000,1.287,25.152
2019-08-05 00:00:00+00:00,0.000,0.077,25.473
2019-08-05 06:00:00+00:00,0.000,0.024,25.273
2019-08-05 12:00:00+00:00,0.000,1.045,24.793
2019-08-05 18:00:00+00:00,0.000,1.775,24.173
2019-08-06 00:00:00+00:00,0.006,0.089,23.548
2019-08-06 06:00:00+00:00,0.000,0.032,23.157
2019-08-06 12:00:00+00:00,0.000,1.107,23.103
2019-08-06 18:00:00+00:00,0.000,1.790,23.090
2019-08-07 00:00:00+00:00,0.000,0.071,22.968
2019-08-07 06:00:00+00:00,0.000,0.025,23.005
2019-08-07 12:00:00+00:00,0.000,1.357,23.065
2019-08-07 18:00:00+00:00,0.000,1.855,23.078
2019-08-08 00:00:00+00:00,0.000,0.091,22.933
2019-08-08 06:00:00+00:00,0.000,0.038,22.685
2019-08-08 12:00:00+00:00,0.003,1.124,22.648
2019-08-08 18:00:00+00:00,0.000,1.607,22.607
2019-08-09 00:00:00+00:00,0.000,0.077,23.183
2019-08-09 06:00:00+00:00,0.009,0.059,23.340
2019-08-09 12:00:00+00:00,0.000,1.046,22.932
2019-08-09 18:00:00+00:00,0.006,1.616,22.798
2019-08-10 00:00:00+00:00,0.000,0.080,22.478
2019-08-10 06:00:00+00:00,0.000,0.063,22.235
2019-08-10 12:00:00+00:00,0.000,0.990,22.150
2019-08-10 18:00:00+00:00,0.000,1.563,21.970
2019-08-11 00:00:00+00:00,0.026,0.062,21.850
2019-08-11 06:00:00+00:00,0.009,0.025,21.668
2019-08-11 12:00:00+00:00,0.000,1.125,21.617
2019-08-11 18:00:00+00:00,0.000,1.969,21.602
2019-08-12 00:00:00+00:00,0.000,0.082,21.422
2019-08-12 06:00:00+00:00,0.000,0.020,21.243
2019-08-12 12:00:00+00:00,0.000,1.340,21.313
2019-08-12 18:00:00+00:00,0.000,1.965,21.325
2019-08-13 00:00:00+00:00,0.000,0.089,21.087
2019-08-13 06:00:00+00:00,0.000,0.040,20.795
2019-08-13 12:00:00+00:00,0.409,1.214,20.715
2019-08-13 18:00:00+00:00,0.724,1.793,20.812
2019-08-14 00:00:00+00:00,0.000,0.101,20.687
2019-08-14 06:00:00+00:00,0.000,0.037,20.762
2019-08-14 12:00:00+00:00,0.056,1.127,21.238
2019-08-14 18:00:00+00:00,0.006,1.665,21.662
2019-08-15 00:00:00+00:00,0.000,0.131,21.642
2019-08-15 06:00:00+00:00,0.000,0.061,21.755
2019-08-15 12:00:00+00:00,0.000,1.248,21.878
2019-08-15 18:00:00+00:00,0.000,1.429,21.722
2019-08-16 00:00:00+00:00,0.000,0.049,21.295
2019-08-16 06:00:00+00:00,0.000,0.028,20.768
2019-08-16 12:00:00+00:00,0.000,0.882,20.475
2019-08-16 18:00:00+00:00,0.000,1.399,20.285
2019-08-17 00:00:00+00:00,0.000,0.067,20.028
2019-08-17 06:00:00+00:00,0.000,0.025,19.775
2019-08-17 12:00:00+00:00,0.000,1.044,19.760
2019-08-17 18:00:00+00:00,0.003,1.575,19.672
2019-08-18 00:00:00+00:00,0.000,0.066,19.537
2019-08-18 06:00:00+00:00,0.000,0.031,19.500
2019-08-18 12:00:00+00:00,0.000,1.032,19.598
2019-08-18 18:00:00+00:00,0.026,1.797,19.677
2019-08-19 00:00:00+00:00,0.626,0.069,19.722
2019-08-19 06:00:00+00:00,3.374,0.018,19.458
2019-08-19 12:00:00+00:00,9.550,2.039,20.420
2019-08-19 18:00:00+00:00,4.432,3.148,22.497
2019-08-20 00:00:00+00:00,1.071,0.077,23.545
2019-08-20 06:00:00+00:00,0.029,0.021,24.818
2019-08-20 12:00:00+00:00,0.024,2.261,29.405
2019-08-20 18:00:00+00:00,0.000,3.191,35.867
2019-08-21 00:00:00+00:00,0.000,0.109,40.902
2019-08-21 06:00:00+00:00,0.000,0.036,43.663
2019-08-21 12:00:00+00:00,0.000,2.179,45.090
2019-08-21 18:00:00+00:00,0.006,2.811,45.822
2019-08-22 00:00:00+00:00,0.000,0.110,46.263
2019-08-22 06:00:00+00:00,0.000,0.046,46.315
2019-08-22 12:00:00+00:00,0.000,1.667,46.047
2019-08-22 18:00:00+00:00,0.000,2.567,45.233
2019-08-23 00:00:00+00:00,0.000,0.099,44.208
2019-08-23 06:00:00+00:00,1.747,0.039,42.988
2019-08-23 12:00:00+00:00,1.379,1.978,42.067
2019-08-23 18:00:00+00:00,0.003,2.886,40.402
