datahora,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10,sac_11,sac_12,sac_13,sac_14,sac_15,sac_16,sac_17,sac_18,sac_19,sac_20,sac_21,sac_22,sac_23,sac_24,sac_25,sac_26,sac_27,sac_28,sac_29,sac_30,sac_31,sac_32,sac_33,sac_34,sac_35,sac_36,sac_37,sac_38,sac_39,sac_40,sac_41,sac_42,sac_43,sac_44,sac_45,sac_46,sac_47,sac_48,sac_49,sac_50,Qmed,Q25,Q75,Qmax,Qmin
2021-08-06 18:00:00+00:00,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.842,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.840,6.842,6.840
2021-08-07 00:00:00+00:00,6.670,6.670,6.671,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.681,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.670,6.681,6.670
2021-08-07 06:00:00+00:00,6.515,6.515,6.519,6.515,6.516,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.515,6.517,6.516,6.515,6.515,6.516,6.515,6.515,6.515,6.515,6.515,6.515,6.516,6.517,6.515,6.515,6.542,6.515,6.515,6.518,6.515,6.515,6.515,6.515,6.516,6.515,6.515,6.516,6.515,6.515,6.515,6.515,6.542,6.515
2021-08-07 12:00:00+00:00,6.369,6.369,6.376,6.369,6.372,6.369,6.368,6.368,6.368,6.369,6.368,6.369,6.368,6.369,6.368,6.369,6.369,6.369,6.369,6.368,6.371,6.371,6.370,6.372,6.371,6.372,6.369,6.370,6.369,6.369,6.369,6.369,6.369,6.369,6.372,6.374,6.369,6.369,6.416,6.369,6.368,6.374,6.368,6.369,6.369,6.369,6.372,6.369,6.369,6.370,6.369,6.369,6.369,6.370,6.416,6.368
2021-08-07 18:00:00+00:00,6.229,6.229,6.239,6.229,6.236,6.230,6.228,6.228,6.228,6.230,6.229,6.231,6.229,6.230,6.229,6.230,6.229,6.230,6.229,6.229,6.235,6.234,6.231,6.233,6.233,6.239,6.229,6.231,6.230,6.230,6.230,6.231,6.229,6.229,6.234,6.238,6.229,6.229,6.297,6.230,6.228,6.236,6.229,6.230,6.228,6.228,6.234,6.229,6.231,6.232,6.230,6.230,6.229,6.231,6.297,6.228
2021-08-08 00:00:00+00:00,6.099,6.096,6.108,6.096,6.112,6.102,6.096,6.099,6.093,6.099,6.099,6.100,6.097,6.098,6.096,6.098,6.098,6.100,6.095,6.097,6.108,6.106,6.101,6.103,6.103,6.114,6.095,6.102,6.098,6.098,6.100,6.105,6.096,6.098,6.102,6.109,6.097,6.098,6.186,6.099,6.094,6.105,6.099,6.098,6.094,6.095,6.105,6.095,6.103,6.102,6.100,6.099,6.097,6.102,6.186,6.093
2021-08-08 06:00:00+00:00,5.977,5.970,5.983,5.969,6.000,5.985,5.972,5.987,5.964,5.977,5.979,5.978,5.972,5.973,5.971,5.972,5.975,5.980,5.970,5.974,5.992,5.985,5.978,5.981,5.979,5.997,5.967,5.983,5.972,5.973,5.977,5.989,5.971,5.975,5.977,5.987,5.971,5.973,6.080,5.977,5.966,5.980,5.985,5.975,5.966,5.966,5.984,5.968,5.986,5.980,5.980,5.977,5.972,5.983,6.080,5.964
2021-08-08 12:00:00+00:00,5.862,5.850,5.863,5.849,5.897,5.877,5.854,5.889,5.841,5.861,5.867,5.862,5.853,5.854,5.853,5.853,5.859,5.867,5.852,5.859,5.885,5.870,5.862,5.865,5.861,5.886,5.845,5.872,5.852,5.855,5.862,5.882,5.851,5.859,5.857,5.871,5.852,5.854,5.979,5.862,5.843,5.861,5.883,5.857,5.844,5.844,5.870,5.846,5.877,5.866,5.867,5.861,5.853,5.867,5.979,5.841
2021-08-08 18:00:00+00:00,5.754,5.736,5.750,5.734,5.801,5.776,5.742,5.801,5.723,5.752,5.763,5.753,5.740,5.742,5.740,5.741,5.749,5.761,5.740,5.751,5.785,5.762,5.751,5.755,5.750,5.779,5.728,5.768,5.738,5.742,5.752,5.780,5.738,5.750,5.743,5.760,5.738,5.742,5.881,5.755,5.726,5.749,5.791,5.746,5.727,5.727,5.762,5.730,5.776,5.757,5.762,5.750,5.740,5.762,5.881,5.723
2021-08-09 00:00:00+00:00,5.651,5.627,5.642,5.625,5.711,5.681,5.636,5.721,5.611,5.649,5.666,5.649,5.632,5.635,5.633,5.633,5.645,5.660,5.633,5.648,5.691,5.658,5.645,5.650,5.644,5.678,5.617,5.671,5.629,5.634,5.648,5.685,5.629,5.646,5.634,5.654,5.630,5.635,5.787,5.654,5.613,5.642,5.706,5.640,5.617,5.615,5.659,5.619,5.681,5.655,5.664,5.645,5.633,5.659,5.787,5.611
