ID;NOME;NSE;NSElog;BIAS
1; RIO NEGRO;0.865;0.881;-0.57%
2; PORTO AMAZONAS;0.875;0.881;-7.09%
3; SÃO BENTO;0.776;0.547;9.55%
4; PONTILHÃO;0.573;0.664;-21.73%
5; SÃO MATEUS DO SUL;0.709;0.844;-8.93%
6; DIVISA;0.799;0.820;6.63%
7; FLUVIÓPOLIS;0.807;0.858;-2.57%
8; SANTA CRUZ DO TIMBÓ;0.617;0.650;-12.13%
9; UNIÃO DA VITÓRIA;0.809;0.786;-1.42%
10; MADEIREIRA GAVAZZONI;0.540;0.338;2.97%
11; JANGADA;-1.343;0.362;40.71%
12; UHE FOZ DO AREIA;0.823;0.814;-3.32%
13; SOLAIS NOVO;0.699;0.747;13.35%
14; PORTO SANTO ANTÔNIO;0.412;0.049;16.62%
15; ÁGUAS DO VERÊ;0.851;0.792;0.02%
16; UHE SEGREDO;0.823;0.861;-7.26%
17; FOZ DO CHOPIM;0.859;0.732;3.25%
18; UHE SANTA CLARA;0.799;0.772;-4.73%
19; UHE SALTO CAXIAS;0.810;0.859;-7.82%
20; PORTO CAPANEMA;0.239;0.167;-8.50%
21; HOTEL CATARATAS;0.280;0.255;-2.19%
22; UHE SALTO OSÓRIO;0.813;0.866;-9.45%
23; UHE SALTO SANTIAGO;0.803;0.862;-10.97%
24; FRAGOSOS;0.719;0.734;-11.05%
25; PALMITAL DO MEIO;0.456;0.428;10.64%
26; PORTO PALMEIRINHA;0.823;0.712;1.84%
27; PCH CAVERNOSO II;0.628;0.653;-3.44%
28; FOZ DO CACHOEIRA;0.498;0.448;18.00%
29; FAZENDA AURORA;0.591;0.559;7.85%
