3461
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,2.41,0.05,5.053,195.542,0.000
2013-01-03,0.50,0.00,4.778,179.917,0.000
2013-01-04,0.15,0.00,4.552,157.328,0.000
2013-01-05,0.06,0.00,4.668,133.980,0.000
2013-01-06,16.70,14.19,4.843,118.623,0.000
2013-01-07,1.50,0.91,4.553,110.594,0.000
2013-01-08,21.32,11.24,4.468,103.806,0.000
2013-01-09,5.58,2.81,5.048,94.698,0.000
2013-01-10,0.04,0.00,3.698,88.384,0.000
2013-01-11,0.00,0.00,3.952,82.159,0.000
2013-01-12,0.00,0.00,4.036,76.075,0.000
2013-01-13,0.07,0.00,4.329,71.720,0.000
2013-01-14,1.11,1.38,5.006,68.181,0.000
2013-01-15,1.94,3.56,4.591,62.547,0.000
2013-01-16,4.15,5.59,4.617,58.403,0.000
2013-01-17,0.38,1.03,5.263,57.470,0.000
2013-01-18,6.76,8.29,4.499,57.152,0.000
2013-01-19,0.16,0.05,4.285,56.172,0.000
2013-01-20,0.48,1.38,4.533,56.912,0.000
2013-01-21,1.46,0.42,4.936,54.808,0.000
2013-01-22,0.17,0.00,4.642,53.922,0.000
2013-01-23,0.24,0.00,4.542,52.848,0.000
2013-01-24,0.00,0.00,3.717,49.122,0.000
2013-01-25,7.33,4.70,3.863,46.152,0.000
2013-01-26,0.03,0.00,4.202,45.090,0.000
2013-01-27,0.00,0.00,4.248,45.596,0.000
2013-01-28,0.00,0.00,4.147,44.507,0.000
2013-01-29,0.02,0.00,4.307,42.078,0.000
2013-01-30,0.00,0.00,4.486,40.706,0.000
2013-01-31,0.00,0.00,3.995,37.809,0.000
2013-02-01,0.14,0.00,4.773,35.580,0.000
2013-02-02,8.60,6.26,4.934,33.889,0.000
2013-02-03,25.20,22.54,4.659,34.720,0.000
2013-02-04,1.70,2.25,4.938,41.934,0.000
2013-02-05,0.02,0.06,4.552,52.117,0.000
2013-02-06,0.58,0.13,4.509,54.433,0.000
2013-02-07,25.17,18.66,4.714,52.680,0.000
2013-02-08,5.82,5.74,4.862,55.694,0.000
2013-02-09,6.75,0.74,4.285,67.492,0.000
2013-02-10,7.24,3.52,4.315,76.464,0.000
2013-02-11,6.33,9.31,4.851,68.627,0.000
2013-02-12,17.49,15.65,4.339,66.142,0.000
2013-02-13,4.43,3.92,3.674,72.527,0.000
2013-02-14,11.88,4.69,2.950,72.625,0.000
2013-02-15,7.19,5.95,3.501,67.038,0.000
2013-02-16,7.82,3.94,3.509,61.724,0.000
2013-02-17,7.07,0.35,4.332,60.620,0.000
