3624
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,7.34,0.00,4.818,104.745,0.000
2013-01-03,0.24,0.00,4.441,108.987,0.000
2013-01-04,0.11,0.00,4.079,108.704,0.000
2013-01-05,0.08,0.00,4.327,106.604,0.000
2013-01-06,9.75,0.00,4.813,103.429,0.000
2013-01-07,0.65,0.00,4.106,98.230,0.000
2013-01-08,16.64,0.00,4.101,91.416,0.000
2013-01-09,5.46,0.00,4.967,83.128,0.000
2013-01-10,0.09,0.00,3.801,67.200,0.000
2013-01-11,0.00,0.00,3.897,53.205,0.000
2013-01-12,0.04,0.00,3.769,43.960,0.000
2013-01-13,0.93,0.00,4.152,38.917,0.000
2013-01-14,5.48,0.00,4.927,36.250,0.000
2013-01-15,1.85,0.00,4.731,40.495,0.000
2013-01-16,5.25,0.00,4.531,47.598,0.000
2013-01-17,0.31,0.00,4.949,42.801,0.000
2013-01-18,11.44,0.00,4.278,41.421,0.000
2013-01-19,0.09,0.00,4.056,50.093,0.000
2013-01-20,0.23,0.00,4.376,47.431,0.000
2013-01-21,1.42,0.00,4.516,50.239,0.000
2013-01-22,0.20,0.00,4.332,42.623,0.000
2013-01-23,0.05,0.00,4.551,35.294,0.000
2013-01-24,0.00,0.00,3.596,31.063,0.000
2013-01-25,2.83,0.00,3.777,29.230,0.000
2013-01-26,0.09,0.00,3.815,28.613,0.000
2013-01-27,0.00,0.00,3.988,27.747,0.000
2013-01-28,0.00,0.00,3.947,24.566,0.000
2013-01-29,0.02,0.00,4.171,22.663,0.000
2013-01-30,0.00,0.00,4.135,21.776,0.000
2013-01-31,0.00,0.00,4.141,20.652,0.000
2013-02-01,0.07,0.00,5.057,20.025,0.000
2013-02-02,9.85,0.00,4.695,19.316,0.000
2013-02-03,34.89,0.00,4.390,21.630,0.000
2013-02-04,5.49,0.00,4.785,53.321,0.000
2013-02-05,0.02,0.00,4.518,69.450,0.000
2013-02-06,0.31,0.00,4.313,71.197,0.000
2013-02-07,26.32,0.00,4.545,70.910,0.000
2013-02-08,5.45,0.00,4.501,88.808,0.000
2013-02-09,5.21,0.00,4.224,94.564,0.000
2013-02-10,9.27,0.00,4.275,99.091,0.000
2013-02-11,6.99,0.00,4.653,104.685,0.000
2013-02-12,9.49,0.00,4.244,106.237,0.000
2013-02-13,2.54,0.00,3.508,105.419,0.000
2013-02-14,6.78,0.00,2.826,103.144,0.000
2013-02-15,5.48,0.00,3.394,101.070,0.000
2013-02-16,5.33,0.00,3.615,97.586,0.000
2013-02-17,12.20,0.00,4.148,94.702,0.000
2013-02-18,17.55,0.00,4.164,97.600,0.000
2013-02-19,10.16,0.00,4.096,102.072,0.000
2013-02-20,8.62,0.00,3.311,98.550,0.000
2013-02-21,6.31,0.00,3.816,101.401,0.000
2013-02-22,1.88,0.00,3.350,104.393,0.000
2013-02-23,0.04,0.00,3.969,107.774,0.000
2013-02-24,0.43,0.00,3.902,108.495,0.000
2013-02-25,3.86,0.00,4.368,107.923,0.000
2013-02-26,24.76,0.00,4.441,110.813,0.000
2013-02-27,0.47,0.00,4.382,108.541,0.000
2013-02-28,0.10,0.00,4.109,102.031,0.000
2013-03-01,0.01,0.00,4.111,99.361,0.000
2013-03-02,0.00,0.00,3.887,96.764,0.000
2013-03-03,0.00,0.00,4.586,90.382,0.000
2013-03-04,0.25,0.00,3.858,76.288,0.000
2013-03-05,21.76,0.00,4.012,63.347,0.000
2013-03-06,5.87,0.00,4.081,63.302,0.000
2013-03-07,11.53,0.00,4.235,70.973,0.000
2013-03-08,0.15,0.00,4.389,84.433,0.000
2013-03-09,7.53,0.00,3.909,79.794,0.000
2013-03-10,5.08,0.00,4.079,98.772,0.000
2013-03-11,2.59,0.00,3.853,96.988,0.000
2013-03-12,3.32,0.00,3.481,88.879,0.000
2013-03-13,45.17,0.00,3.701,133.192,0.000
2013-03-14,1.86,0.00,3.588,143.058,0.000
2013-03-15,1.75,0.00,4.131,125.034,0.000
2013-03-16,8.56,0.00,4.080,117.968,0.000
2013-03-17,0.21,0.00,3.354,117.866,0.000
2013-03-18,0.06,0.00,3.251,115.506,0.000
2013-03-19,1.13,0.00,3.712,112.732,0.000
2013-03-20,6.44,0.00,4.164,111.573,0.000
2013-03-21,1.50,0.00,3.216,112.779,0.000
2013-03-22,0.00,0.00,2.941,110.040,0.000
2013-03-23,0.00,0.00,3.500,105.848,0.000
2013-03-24,19.56,0.00,3.035,102.700,0.000
2013-03-25,0.44,0.00,3.739,104.946,0.000
2013-03-26,2.88,0.00,3.815,99.593,0.000
2013-03-27,0.13,0.00,3.594,98.341,0.000
2013-03-28,0.52,0.00,3.492,93.528,0.000
2013-03-29,0.85,0.00,3.074,86.636,0.000
2013-03-30,0.47,0.00,3.077,77.748,0.000
