2003
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,3.38,0.00,4.995,64.391,0.000
2013-01-03,0.38,0.00,4.734,67.234,0.000
2013-01-04,0.16,0.00,4.482,68.904,0.000
2013-01-05,0.06,0.00,4.572,69.853,0.000
2013-01-06,10.38,0.00,4.858,69.662,0.000
2013-01-07,0.79,0.00,4.456,66.497,0.000
2013-01-08,19.87,0.00,4.375,55.608,0.000
2013-01-09,9.80,0.00,5.030,41.804,0.000
2013-01-10,0.09,0.00,3.649,39.406,0.000
2013-01-11,0.00,0.00,3.925,36.440,0.000
2013-01-12,0.01,0.00,3.970,31.337,0.000
2013-01-13,0.15,0.00,4.266,26.276,0.000
2013-01-14,1.70,0.00,5.011,23.207,0.000
2013-01-15,2.14,0.00,4.639,21.589,0.000
2013-01-16,2.75,0.00,4.578,20.975,0.000
2013-01-17,0.24,0.00,5.229,20.448,0.000
2013-01-18,5.38,0.00,4.429,18.810,0.000
2013-01-19,0.14,0.00,4.212,18.138,0.000
2013-01-20,0.25,0.00,4.499,17.613,0.000
2013-01-21,1.80,0.00,4.868,16.887,0.000
2013-01-22,0.40,0.00,4.607,15.761,0.000
2013-01-23,0.14,0.00,4.645,14.801,0.000
2013-01-24,0.00,0.00,3.715,14.178,0.000
2013-01-25,3.98,0.00,3.867,13.745,0.000
2013-01-26,0.14,0.00,4.153,13.287,0.000
2013-01-27,0.00,0.00,4.183,13.094,0.000
2013-01-28,0.00,0.00,4.172,12.535,0.000
2013-01-29,0.04,0.00,4.315,12.125,0.000
2013-01-30,0.00,0.00,4.537,11.547,0.000
2013-01-31,0.00,0.00,4.014,10.967,0.000
2013-02-01,0.08,0.00,4.908,nan,0.000
2013-02-02,15.37,0.00,4.939,10.528,0.000
2013-02-03,32.01,0.00,4.650,12.062,0.000
2013-02-04,2.58,0.00,5.002,19.235,0.000
2013-02-05,0.04,0.00,4.626,28.982,0.000
2013-02-06,0.34,0.00,4.522,32.181,0.000
2013-02-07,26.33,0.00,4.741,30.707,0.000
2013-02-08,5.73,0.00,4.790,28.881,0.000
2013-02-09,6.79,0.00,4.271,34.324,0.000
2013-02-10,8.54,0.00,4.317,41.512,0.000
2013-02-11,5.77,0.00,4.825,44.219,0.000
2013-02-12,13.31,0.00,4.360,43.892,0.000
2013-02-13,3.59,0.00,3.703,42.547,0.000
2013-02-14,7.34,0.00,2.918,43.344,0.000
2013-02-15,5.86,0.00,3.525,44.281,0.000
2013-02-16,9.37,0.00,3.532,43.314,0.000
2013-02-17,8.43,0.00,4.386,38.254,0.000
2013-02-18,15.16,0.00,4.343,36.318,0.000
2013-02-19,7.29,0.00,4.195,37.699,0.000
2013-02-20,5.60,0.00,3.453,39.472,0.000
2013-02-21,10.72,0.00,3.798,43.014,0.000
2013-02-22,3.60,0.00,3.596,44.639,0.000
2013-02-23,0.08,0.00,3.946,43.442,0.000
2013-02-24,0.82,0.00,3.975,44.097,0.000
2013-02-25,10.40,0.00,4.366,42.932,0.000
2013-02-26,20.61,0.00,4.421,41.743,0.000
2013-02-27,0.40,0.00,4.451,43.611,0.000
2013-02-28,0.20,0.00,4.289,46.472,0.000
2013-03-01,0.01,0.00,4.188,47.659,0.000
2013-03-02,0.00,0.00,4.098,46.094,0.000
2013-03-03,0.00,0.00,4.663,38.346,0.000
2013-03-04,0.12,0.00,4.025,31.902,0.000
2013-03-05,24.11,0.00,3.956,28.826,0.000
2013-03-06,7.38,0.00,4.127,28.829,0.000
2013-03-07,11.97,0.00,4.273,31.859,0.000
2013-03-08,0.21,0.00,4.468,41.591,0.000
2013-03-09,10.50,0.00,4.037,47.953,0.000
2013-03-10,9.72,0.00,4.081,50.728,0.000
2013-03-11,2.28,0.00,3.956,52.773,0.000
2013-03-12,4.19,0.00,3.618,54.146,0.000
2013-03-13,35.43,0.00,3.703,57.926,0.000
2013-03-14,0.86,0.00,3.700,65.897,0.000
2013-03-15,1.40,0.00,4.233,77.115,0.000
2013-03-16,5.47,0.00,4.050,86.828,0.000
2013-03-17,0.14,0.00,3.482,86.740,0.000
2013-03-18,0.06,0.00,3.490,81.456,0.000
2013-03-19,1.40,0.00,3.859,76.694,0.000
2013-03-20,6.94,0.00,4.050,72.473,0.000
2013-03-21,1.85,0.00,3.333,67.626,0.000
2013-03-22,0.00,0.00,2.956,60.209,0.000
2013-03-23,0.00,0.00,3.456,49.773,0.000
2013-03-24,18.03,0.00,2.929,39.340,0.000
2013-03-25,0.89,0.00,3.749,36.839,0.000
2013-03-26,3.91,0.00,3.891,39.419,0.000
2013-03-27,0.26,0.00,3.658,40.071,0.000
2013-03-28,0.31,0.00,3.530,38.760,0.000
2013-03-29,0.29,0.00,3.021,37.099,0.000
2013-03-30,0.33,0.00,3.211,34.282,0.000
2013-03-31,0.00,0.00,3.515,31.622,0.000
2013-04-01,0.00,0.00,3.226,29.560,0.000
2013-04-02,4.84,0.00,3.171,27.672,0.000
2013-04-03,6.07,0.00,2.962,26.074,0.000
2013-04-04,1.34,0.00,2.808,25.169,0.000
2013-04-05,34.27,0.00,2.980,32.607,0.000
2013-04-06,0.00,0.00,3.099,48.129,0.000
2013-04-07,0.07,0.00,3.044,51.821,0.000
2013-04-08,0.80,0.00,3.113,52.693,0.000
2013-04-09,0.02,0.00,2.978,53.329,0.000
2013-04-10,0.00,0.00,2.784,52.595,0.000
2013-04-11,0.03,0.00,3.852,44.739,0.000
2013-04-12,18.45,0.00,3.913,35.410,0.000
2013-04-13,1.67,0.00,3.570,35.179,0.000
2013-04-14,0.14,0.00,2.976,36.900,0.000
2013-04-15,0.00,0.00,2.889,40.139,0.000
2013-04-16,0.38,0.00,2.700,39.353,0.000
2013-04-17,0.00,0.00,3.075,34.601,0.000
2013-04-18,0.05,0.00,3.061,30.651,0.000
2013-04-19,0.00,0.00,2.970,28.774,0.000
2013-04-20,0.01,0.00,3.442,27.468,0.000
2013-04-21,0.00,0.00,2.493,25.516,0.000
2013-04-22,0.00,0.00,2.918,23.373,0.000
2013-04-23,0.25,0.00,2.724,21.997,0.000
2013-04-24,0.46,0.00,3.229,21.007,0.000
2013-04-25,0.02,0.00,2.880,20.301,0.000
2013-04-26,0.00,0.00,2.948,20.059,0.000
2013-04-27,0.01,0.00,2.947,19.348,0.000
2013-04-28,0.00,0.00,2.840,18.954,0.000
2013-04-29,0.01,0.00,3.051,18.473,0.000
2013-04-30,0.00,0.00,2.935,17.980,0.000
2013-05-01,0.03,0.00,2.840,17.645,0.000
2013-05-02,0.00,0.00,2.885,17.218,0.000
2013-05-03,0.05,0.00,2.676,16.861,0.000
2013-05-04,0.45,0.00,2.120,16.573,0.000
2013-05-05,3.12,0.00,2.455,16.322,0.000
2013-05-06,7.84,0.00,2.504,16.022,0.000
2013-05-07,0.00,0.00,2.845,16.101,0.000
2013-05-08,0.00,0.00,2.366,16.222,0.000
2013-05-09,0.00,0.00,2.789,16.291,0.000
2013-05-10,0.75,0.00,2.376,16.454,0.000
2013-05-11,2.14,0.00,2.748,16.869,0.000
2013-05-12,1.99,0.00,2.627,16.330,0.000
2013-05-13,0.75,0.00,2.286,15.482,0.000
2013-05-14,0.74,0.00,2.303,14.902,0.000
2013-05-15,7.46,0.00,2.530,14.672,0.000
2013-05-16,12.94,0.00,2.046,15.335,0.000
2013-05-17,2.09,0.00,2.692,17.050,0.000
2013-05-18,0.00,0.00,2.385,18.370,0.000
2013-05-19,0.12,0.00,2.263,18.590,0.000
2013-05-20,0.97,0.00,1.420,17.661,0.000
2013-05-21,0.17,0.00,1.884,16.904,0.000
2013-05-22,3.49,0.00,2.422,16.400,0.000
2013-05-23,1.13,0.00,1.828,16.561,0.000
2013-05-24,0.12,0.00,1.849,16.636,0.000
2013-05-25,0.00,0.00,2.304,16.718,0.000
2013-05-26,0.00,0.00,2.315,16.137,0.000
2013-05-27,13.91,0.00,2.735,16.212,0.000
2013-05-28,16.89,0.00,2.502,20.434,0.000
2013-05-29,3.73,0.00,2.214,26.768,0.000
2013-05-30,2.42,0.00,2.026,35.495,0.000
2013-05-31,0.00,0.00,2.464,34.505,0.000
2013-06-01,1.90,0.00,2.121,28.564,0.000
2013-06-02,33.61,0.00,2.333,29.002,0.000
2013-06-03,0.18,0.00,2.222,42.532,0.000
2013-06-04,0.00,0.00,1.726,47.679,0.000
2013-06-05,0.01,0.00,2.088,49.213,0.000
2013-06-06,0.00,0.00,2.091,47.879,0.000
2013-06-07,0.00,0.00,2.327,39.451,0.000
2013-06-08,0.01,0.00,1.906,32.450,0.000
2013-06-09,0.00,0.00,2.347,29.019,0.000
2013-06-10,0.16,0.00,2.253,26.028,0.000
2013-06-11,4.51,0.00,2.256,23.389,0.000
2013-06-12,0.34,0.00,1.910,26.002,0.000
2013-06-13,0.04,0.00,2.099,28.296,0.000
2013-06-14,0.13,0.00,2.109,24.502,0.000
2013-06-15,0.50,0.00,1.934,22.690,0.000
2013-06-16,9.93,0.00,2.209,21.454,0.000
2013-06-17,13.93,0.00,2.216,23.341,0.000
2013-06-18,0.26,0.00,1.213,31.866,0.000
2013-06-19,10.33,0.00,1.231,38.321,0.000
2013-06-20,38.97,0.00,1.766,40.026,0.000
2013-06-21,70.67,0.00,2.261,56.618,0.000
2013-06-22,0.95,0.00,1.991,87.294,0.000
2013-06-23,0.39,0.00,2.491,161.817,0.000
2013-06-24,28.11,0.00,2.168,199.643,0.000
2013-06-25,6.89,0.00,2.011,164.983,0.000
2013-06-26,1.14,0.00,2.041,146.861,0.000
2013-06-27,2.11,0.00,2.045,143.537,0.000
2013-06-28,2.54,0.00,2.185,134.468,0.000
2013-06-29,18.11,0.00,2.025,120.219,0.000
2013-06-30,6.48,0.00,2.301,110.165,0.000
2013-07-01,1.62,0.00,2.354,102.269,0.000
2013-07-02,0.40,0.00,2.038,94.642,0.000
2013-07-03,0.22,0.00,1.990,87.904,0.000
2013-07-04,0.04,0.00,1.977,84.072,0.000
2013-07-05,0.05,0.00,1.672,80.451,0.000
2013-07-06,0.05,0.00,1.633,77.275,0.000
2013-07-07,0.05,0.00,1.987,74.294,0.000
2013-07-08,0.35,0.00,2.085,71.075,0.000
2013-07-09,0.03,0.00,1.604,67.591,0.000
2013-07-10,0.00,0.00,1.693,62.933,0.000
2013-07-11,0.00,0.00,2.023,56.207,0.000
2013-07-12,0.04,0.00,2.229,47.179,0.000
2013-07-13,0.04,0.00,2.614,39.880,0.000
2013-07-14,0.00,0.00,2.480,36.157,0.000
2013-07-15,0.01,0.00,2.059,33.940,0.000
2013-07-16,0.01,0.00,2.716,32.244,0.000
2013-07-17,0.00,0.00,2.476,30.793,0.000
2013-07-18,0.29,0.00,2.051,29.594,0.000
2013-07-19,11.83,0.00,2.131,28.671,0.000
2013-07-20,26.99,0.00,2.539,28.929,0.000
2013-07-21,49.03,0.00,2.447,42.297,0.000
2013-07-22,26.33,0.00,1.974,55.994,0.000
2013-07-23,4.64,0.00,2.136,66.179,0.000
2013-07-24,0.22,0.00,2.486,88.515,0.000
2013-07-25,0.58,0.00,3.002,114.110,0.000
2013-07-26,0.01,0.00,2.863,104.562,0.000
2013-07-27,0.00,0.00,2.425,95.192,0.000
2013-07-28,0.05,0.00,2.627,89.514,0.000
2013-07-29,0.00,0.00,2.571,87.710,0.000
2013-07-30,0.00,0.00,2.602,86.221,0.000
2013-07-31,0.00,0.00,2.115,83.078,0.000
2013-08-01,0.13,0.00,2.271,78.921,0.000
2013-08-02,0.01,0.00,2.628,75.220,0.000
2013-08-03,0.14,0.00,2.800,71.267,0.000
2013-08-04,2.48,0.00,2.963,66.820,0.000
2013-08-05,0.00,0.00,2.956,59.835,0.000
2013-08-06,9.86,0.00,3.004,48.965,0.000
2013-08-07,0.09,0.00,3.334,42.739,0.000
2013-08-08,0.00,0.00,3.002,39.749,0.000
2013-08-09,0.29,0.00,2.841,38.691,0.000
2013-08-10,1.79,0.00,2.816,36.451,0.000
2013-08-11,0.00,0.00,3.310,33.643,0.000
2013-08-12,0.06,0.00,3.458,31.937,0.000
2013-08-13,0.24,0.00,3.162,31.247,0.000
2013-08-14,12.69,0.00,3.016,31.153,0.000
2013-08-15,0.00,0.00,2.779,33.582,0.000
2013-08-16,0.00,0.00,2.533,33.809,0.000
2013-08-17,0.16,0.00,2.704,32.910,0.000
2013-08-18,0.60,0.00,2.927,31.166,0.000
2013-08-19,0.12,0.00,4.152,29.974,0.000
2013-08-20,0.01,0.00,4.243,28.988,0.000
2013-08-21,0.00,0.00,3.987,28.001,0.000
2013-08-22,0.00,0.00,3.591,27.266,0.000
2013-08-23,0.06,0.00,4.345,26.489,0.000
2013-08-24,0.05,0.00,4.037,25.759,0.000
2013-08-25,0.30,0.00,4.307,25.095,0.000
2013-08-26,27.05,0.00,3.238,25.335,0.000
2013-08-27,2.29,0.00,2.792,31.247,0.000
2013-08-28,0.00,0.00,3.166,36.815,0.000
2013-08-29,0.00,0.00,3.630,37.755,0.000
2013-08-30,0.03,0.00,3.859,34.698,0.000
2013-08-31,0.00,0.00,2.519,31.249,0.000
2013-09-01,7.06,0.00,3.071,29.012,0.000
2013-09-02,1.55,0.00,3.955,27.871,0.000
2013-09-03,1.72,0.00,4.026,27.349,0.000
2013-09-04,0.37,0.00,3.040,27.063,0.000
2013-09-05,0.01,0.00,2.850,26.171,0.000
2013-09-06,0.12,0.00,3.533,24.965,0.000
2013-09-07,0.00,0.00,3.662,24.100,0.000
2013-09-08,0.04,0.00,2.777,23.572,0.000
2013-09-09,0.00,0.00,2.455,23.057,0.000
2013-09-10,0.00,0.00,2.555,22.356,0.000
2013-09-11,0.00,0.00,3.221,21.625,0.000
2013-09-12,0.00,0.00,2.740,21.069,0.000
2013-09-13,0.00,0.00,2.217,20.554,0.000
2013-09-14,0.00,0.00,2.142,19.856,0.000
2013-09-15,0.01,0.00,2.995,19.398,0.000
2013-09-16,47.55,0.00,2.609,19.521,0.000
2013-09-17,12.13,0.00,2.777,27.840,0.000
2013-09-18,0.02,0.00,3.018,41.181,0.000
2013-09-19,0.21,0.00,3.478,46.208,0.000
2013-09-20,5.92,0.00,3.039,45.765,0.000
2013-09-21,17.90,0.00,4.219,44.163,0.000
2013-09-22,66.16,0.00,3.200,47.697,0.000
2013-09-23,3.84,0.00,3.101,62.216,0.000
2013-09-24,0.15,0.00,2.668,75.802,0.000
2013-09-25,0.00,0.00,2.675,85.953,0.000
2013-09-26,0.00,0.00,3.481,95.138,0.000
2013-09-27,0.00,0.00,3.513,91.025,0.000
2013-09-28,5.22,0.00,2.880,84.610,0.000
2013-09-29,1.16,0.00,2.483,80.452,0.000
2013-09-30,2.07,0.00,2.041,77.307,0.000
2013-10-01,1.84,0.00,2.313,74.323,0.000
2013-10-02,11.57,0.00,3.445,71.779,0.000
2013-10-03,25.17,0.00,3.495,70.840,0.000
2013-10-04,2.29,0.00,4.060,nan,0.000
2013-10-05,0.00,0.00,3.494,nan,0.000
2013-10-06,0.00,0.00,2.929,nan,0.000
2013-10-07,0.23,0.00,3.083,nan,0.000
2013-10-08,0.08,0.00,3.567,nan,0.000
2013-10-09,0.00,0.00,3.959,nan,0.000
2013-10-10,0.00,0.00,3.415,66.712,0.000
2013-10-11,0.00,0.00,3.717,58.676,0.000
2013-10-12,0.03,0.00,3.447,46.282,0.000
2013-10-13,0.31,0.00,3.020,37.349,0.000
2013-10-14,0.71,0.00,3.668,33.590,0.000
2013-10-15,0.13,0.00,3.239,31.451,0.000
2013-10-16,8.50,0.00,2.722,29.927,0.000
2013-10-17,1.35,0.00,2.838,29.464,0.000
2013-10-18,0.40,0.00,3.523,29.249,0.000
2013-10-19,0.01,0.00,3.611,28.805,0.000
2013-10-20,0.00,0.00,3.878,28.343,0.000
2013-10-21,16.31,0.00,3.453,nan,0.000
2013-10-22,0.63,0.00,4.352,nan,0.000
2013-10-23,0.00,0.00,4.651,nan,0.000
2013-10-24,10.40,0.00,3.595,nan,0.000
2013-10-25,0.22,0.00,3.113,nan,0.000
2013-10-26,1.70,0.00,3.399,nan,0.000
2013-10-27,8.24,0.00,3.888,nan,0.000
2013-10-28,0.00,0.00,3.997,nan,0.000
2013-10-29,0.00,0.00,4.334,nan,0.000
2013-10-30,0.07,0.00,3.695,nan,0.000
2013-10-31,0.04,0.00,3.969,nan,0.000
2013-11-01,0.12,0.00,3.528,21.591,0.000
2013-11-02,0.05,0.00,3.412,20.755,0.000
2013-11-03,21.80,0.00,4.983,20.504,0.000
2013-11-04,0.56,0.00,3.619,23.603,0.000
2013-11-05,0.21,0.00,3.986,27.403,0.000
2013-11-06,0.35,0.00,4.320,27.858,0.000
2013-11-07,0.81,0.00,4.016,24.776,0.000
2013-11-08,0.35,0.00,4.651,22.194,0.000
2013-11-09,0.00,0.00,4.005,21.029,0.000
2013-11-10,0.73,0.00,3.729,20.388,0.000
2013-11-11,1.56,0.00,4.283,19.922,0.000
2013-11-12,3.44,0.00,4.966,19.674,0.000
2013-11-13,0.01,0.00,4.518,20.716,0.000
2013-11-14,0.00,0.00,4.130,20.763,0.000
2013-11-15,0.00,0.00,4.544,19.975,0.000
2013-11-16,18.65,0.00,4.943,nan,0.000
2013-11-17,2.03,0.00,4.359,nan,0.000
2013-11-18,0.14,0.00,3.936,35.400,0.000
2013-11-19,0.02,0.00,5.126,35.888,0.000
2013-11-20,9.23,0.00,4.959,28.590,0.000
2013-11-21,6.74,0.00,4.309,24.629,0.000
2013-11-22,1.66,0.00,4.882,31.174,0.000
2013-11-23,0.01,0.00,5.948,32.148,0.000
2013-11-24,1.23,0.00,5.815,27.504,0.000
2013-11-25,1.06,0.00,4.173,23.899,0.000
2013-11-26,0.81,0.00,3.989,21.763,0.000
2013-11-27,0.41,0.00,4.497,20.566,0.000
2013-11-28,5.37,0.00,4.427,20.181,0.000
2013-11-29,21.70,0.00,4.745,22.240,0.000
2013-11-30,0.03,0.00,4.035,25.157,0.000
2013-12-01,0.10,0.00,4.810,27.673,0.000
2013-12-02,1.95,0.00,5.011,24.386,0.000
2013-12-03,0.64,0.00,4.753,22.568,0.000
2013-12-04,0.15,0.00,3.823,21.345,0.000
2013-12-05,14.29,0.00,4.331,20.120,0.000
2013-12-06,0.12,0.00,4.537,20.906,0.000
2013-12-07,7.88,0.00,4.257,24.064,0.000
2013-12-08,0.05,0.00,4.336,26.097,0.000
2013-12-09,1.18,0.00,4.098,23.944,0.000
2013-12-10,8.06,0.00,3.775,22.635,0.000
2013-12-11,2.00,0.00,3.536,22.460,0.000
2013-12-12,0.55,0.00,4.147,23.305,0.000
2013-12-13,0.10,0.00,4.044,22.069,0.000
2013-12-14,10.64,0.00,4.697,19.712,0.000
2013-12-15,0.71,0.00,4.670,18.486,0.000
2013-12-16,0.16,0.00,5.868,21.787,0.000
2013-12-17,0.50,0.00,4.708,24.872,0.000
2013-12-18,0.51,0.00,5.224,20.836,0.000
2013-12-19,0.16,0.00,5.671,17.955,0.000
2013-12-20,1.36,0.00,5.019,16.494,0.000
2013-12-21,1.04,0.00,3.684,15.619,0.000
2013-12-22,1.17,0.00,3.144,15.251,0.000
2013-12-23,0.56,0.00,3.598,14.817,0.000
2013-12-24,0.01,0.00,3.883,14.480,0.000
2013-12-25,0.01,0.00,4.577,14.262,0.000
2013-12-26,0.79,0.00,3.998,14.086,0.000
2013-12-27,2.17,0.00,4.774,13.703,0.000
2013-12-28,6.87,0.00,5.383,13.574,0.000
2013-12-29,3.41,0.00,5.965,13.945,0.000
2013-12-30,0.46,0.00,6.414,14.737,0.000
2013-12-31,2.76,0.00,4.505,15.446,0.000
2014-01-01,10.05,0.00,4.054,14.387,0.000
2014-01-02,10.88,0.00,4.995,14.836,0.000
2014-01-03,18.21,0.00,4.734,16.060,0.000
2014-01-04,8.74,0.00,4.482,18.832,0.000
2014-01-05,5.42,0.00,4.572,20.950,0.000
2014-01-06,12.71,0.00,4.858,21.851,0.000
2014-01-07,0.76,0.00,4.456,24.928,0.000
2014-01-08,9.20,0.00,4.375,27.976,0.000
2014-01-09,2.65,0.00,5.030,24.111,0.000
2014-01-10,0.08,0.00,3.649,20.330,0.000
2014-01-11,1.68,0.00,3.925,18.537,0.000
2014-01-12,7.90,0.00,3.970,17.207,0.000
2014-01-13,38.65,0.00,4.266,18.308,0.000
2014-01-14,11.58,0.00,5.011,36.046,0.000
2014-01-15,8.84,0.00,4.639,49.363,0.000
2014-01-16,8.92,0.00,4.578,48.854,0.000
2014-01-17,1.16,0.00,5.229,45.698,0.000
2014-01-18,0.01,0.00,4.429,44.717,0.000
2014-01-19,0.00,0.00,4.212,44.776,0.000
2014-01-20,0.00,0.00,4.499,37.090,0.000
2014-01-21,0.24,0.00,4.868,28.254,0.000
2014-01-22,1.38,0.00,4.607,24.941,0.000
2014-01-23,1.06,0.00,4.645,22.441,0.000
2014-01-24,3.15,0.00,3.715,20.619,0.000
2014-01-25,4.53,0.00,3.867,19.250,0.000
2014-01-26,1.24,0.00,4.153,17.643,0.000
2014-01-27,2.23,0.00,4.183,16.376,0.000
2014-01-28,0.01,0.00,4.172,15.587,0.000
2014-01-29,5.74,0.00,4.315,16.214,0.000
2014-01-30,0.85,0.00,4.537,16.437,0.000
2014-01-31,1.81,0.00,4.014,15.920,0.000
2014-02-01,0.16,0.00,4.908,14.869,0.000
2014-02-02,0.00,0.00,4.939,13.831,0.000
2014-02-03,1.85,0.00,4.650,12.760,0.000
2014-02-04,5.65,0.00,5.002,12.190,0.000
2014-02-05,0.33,0.00,4.626,13.238,0.000
2014-02-06,0.07,0.00,4.522,13.633,0.000
2014-02-07,0.07,0.00,4.741,12.465,0.000
2014-02-08,11.79,0.00,4.790,12.108,0.000
2014-02-09,0.80,0.00,4.271,12.183,0.000
2014-02-10,0.11,0.00,4.317,12.667,0.000
2014-02-11,0.06,0.00,4.825,13.420,0.000
2014-02-12,0.31,0.00,4.360,13.099,0.000
2014-02-13,10.76,0.00,3.703,11.535,0.000
2014-02-14,18.65,0.00,2.918,10.904,0.000
2014-02-15,1.53,0.00,3.525,13.501,0.000
2014-02-16,1.10,0.00,3.532,17.964,0.000
2014-02-17,7.26,0.00,4.386,17.139,0.000
2014-02-18,4.33,0.00,4.343,15.071,0.000
2014-02-19,0.28,0.00,4.195,13.663,0.000
2014-02-20,0.13,0.00,3.453,12.842,0.000
2014-02-21,1.49,0.00,3.798,12.370,0.000
2014-02-22,8.19,0.00,3.596,11.997,0.000
2014-02-23,8.99,0.00,3.946,12.468,0.000
2014-02-24,9.21,0.00,3.975,14.841,0.000
2014-02-25,1.08,0.00,4.366,17.473,0.000
2014-02-26,3.65,0.00,4.421,17.298,0.000
2014-02-27,21.27,0.00,4.451,16.772,0.000
2014-02-28,5.68,0.00,4.289,19.033,0.000
2014-03-01,0.33,0.00,4.188,22.259,0.000
2014-03-02,0.00,0.00,4.098,25.467,0.000
2014-03-03,0.58,0.00,4.663,22.201,0.000
2014-03-04,14.49,0.00,4.025,19.695,0.000
2014-03-05,8.52,0.00,3.956,18.232,0.000
2014-03-06,0.38,0.00,4.127,20.979,0.000
2014-03-07,1.84,0.00,4.273,24.783,0.000
2014-03-08,6.00,0.00,4.468,23.467,0.000
2014-03-09,9.34,0.00,4.037,21.441,0.000
2014-03-10,0.63,0.00,4.081,20.359,0.000
2014-03-11,16.58,0.00,3.956,20.571,0.000
2014-03-12,14.00,0.00,3.618,26.095,0.000
2014-03-13,23.57,0.00,3.703,25.673,0.000
2014-03-14,1.32,0.00,3.700,33.669,0.000
2014-03-15,2.83,0.00,4.233,43.309,0.000
2014-03-16,0.79,0.00,4.050,47.223,0.000
2014-03-17,1.06,0.00,3.482,47.803,0.000
2014-03-18,12.09,0.00,3.490,40.838,0.000
2014-03-19,4.72,0.00,3.859,34.692,0.000
2014-03-20,7.07,0.00,4.050,36.077,0.000
2014-03-21,18.67,0.00,3.333,38.550,0.000
2014-03-22,0.18,0.00,2.956,42.494,0.000
2014-03-23,0.00,0.00,3.456,42.642,0.000
2014-03-24,0.00,0.00,2.929,41.145,0.000
2014-03-25,0.02,0.00,3.749,36.386,0.000
2014-03-26,0.02,0.00,3.891,29.924,0.000
2014-03-27,0.20,0.00,3.658,25.633,0.000
2014-03-28,0.00,0.00,3.530,22.928,0.000
2014-03-29,0.02,0.00,3.021,21.018,0.000
2014-03-30,7.08,0.00,3.211,19.532,0.000
2014-03-31,4.70,0.00,3.515,18.999,0.000
2014-04-01,0.16,0.00,3.226,19.040,0.000
2014-04-02,0.56,0.00,3.171,18.822,0.000
2014-04-03,6.56,0.00,2.962,18.224,0.000
2014-04-04,0.69,0.00,2.808,17.469,0.000
2014-04-05,0.00,0.00,2.980,16.990,0.000
2014-04-06,0.00,0.00,3.099,16.908,0.000
2014-04-07,0.00,0.00,3.044,16.715,0.000
2014-04-08,0.19,0.00,3.113,16.705,0.000
2014-04-09,16.08,0.00,2.978,17.015,0.000
2014-04-10,0.00,0.00,2.784,17.708,0.000
2014-04-11,0.24,0.00,3.852,17.956,0.000
