2209
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,1.26,0.00,5.429,44.155,0.000
2013-01-03,0.15,0.00,4.894,50.376,0.000
2013-01-04,0.13,0.00,4.656,54.368,0.000
2013-01-05,0.12,0.00,5.106,55.737,0.000
2013-01-06,21.58,0.00,4.856,51.786,0.000
2013-01-07,2.71,0.00,4.994,44.551,0.000
2013-01-08,46.11,0.00,4.945,40.733,0.000
2013-01-09,0.55,0.00,5.325,63.590,0.000
2013-01-10,0.00,0.00,4.192,84.168,0.000
2013-01-11,0.00,0.00,4.145,90.652,0.000
2013-01-12,0.00,0.00,4.315,87.762,0.000
2013-01-13,0.01,0.00,4.591,82.961,0.000
2013-01-14,1.55,0.00,5.166,77.575,0.000
2013-01-15,4.71,0.00,4.574,66.214,0.000
2013-01-16,3.10,0.00,4.893,50.716,0.000
2013-01-17,1.32,0.00,5.523,44.165,0.000
2013-01-18,10.81,0.00,4.767,43.664,0.000
2013-01-19,0.12,0.00,4.633,42.987,0.000
2013-01-20,0.69,0.00,4.844,41.853,0.000
2013-01-21,0.08,0.00,5.437,40.338,0.000
2013-01-22,0.00,0.00,4.868,36.199,0.000
2013-01-23,0.00,0.00,4.357,30.518,0.000
2013-01-24,0.00,0.00,3.926,25.737,0.000
2013-01-25,7.81,0.00,4.029,22.449,0.000
2013-01-26,0.01,0.00,4.478,20.532,0.000
2013-01-27,0.00,0.00,4.591,19.121,0.000
2013-01-28,0.01,0.00,4.136,17.784,0.000
2013-01-29,0.00,0.00,4.583,16.550,0.000
2013-01-30,0.00,0.00,4.746,15.092,0.000
2013-01-31,0.00,0.00,4.169,13.740,0.000
2013-02-01,0.61,0.00,4.595,12.659,0.000
2013-02-02,11.00,0.00,5.186,11.756,0.000
2013-02-03,10.97,0.00,4.961,11.365,0.000
2013-02-04,0.27,0.00,5.068,15.198,0.000
2013-02-05,0.00,0.00,4.617,20.602,0.000
2013-02-06,1.10,0.00,4.748,19.055,0.000
2013-02-07,28.54,0.00,4.951,16.258,0.000
