2605
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,0.63,0.00,5.302,80.016,0.000
2013-01-03,0.07,0.00,4.887,65.086,0.000
2013-01-04,0.12,0.00,4.789,50.910,0.000
2013-01-05,0.33,0.00,5.104,43.585,0.000
2013-01-06,24.28,0.00,4.897,42.946,0.000
2013-01-07,10.50,0.00,4.886,84.699,0.000
2013-01-08,41.82,0.00,4.798,130.915,0.000
2013-01-09,0.59,0.00,5.055,204.936,0.000
2013-01-10,0.07,0.00,3.906,145.224,0.000
2013-01-11,0.00,0.00,4.090,98.467,0.000
2013-01-12,0.00,0.00,4.310,72.049,0.000
2013-01-13,0.01,0.00,4.568,61.340,0.000
2013-01-14,0.25,0.00,4.969,51.403,0.000
2013-01-15,2.40,0.00,4.377,42.491,0.000
2013-01-16,2.30,0.00,4.752,38.115,0.000
2013-01-17,1.95,0.00,5.540,46.606,0.000
2013-01-18,14.05,0.00,4.736,40.148,0.000
2013-01-19,0.14,0.00,4.617,77.622,0.000
2013-01-20,0.50,0.00,4.754,68.471,0.000
2013-01-21,0.03,0.00,5.339,46.517,0.000
2013-01-22,0.00,0.00,4.940,37.293,0.000
2013-01-23,0.00,0.00,4.207,32.212,0.000
2013-01-24,0.00,0.00,3.678,28.973,0.000
2013-01-25,1.88,0.00,3.917,26.058,0.000
2013-01-26,0.00,0.00,4.476,23.733,0.000
2013-01-27,0.00,0.00,4.500,22.286,0.000
2013-01-28,0.04,0.00,4.239,20.321,0.000
2013-01-29,0.00,0.00,4.407,18.942,0.000
2013-01-30,0.00,0.00,4.271,17.806,0.000
2013-01-31,0.00,0.00,4.074,16.824,0.000
2013-02-01,0.20,0.00,4.289,16.340,0.000
2013-02-02,12.30,0.00,5.201,15.137,0.000
2013-02-03,12.96,0.00,4.818,17.457,0.000
2013-02-04,0.15,0.00,4.818,24.896,0.000
2013-02-05,0.00,0.00,4.312,22.303,0.000
2013-02-06,1.08,0.00,4.801,19.321,0.000
2013-02-07,30.01,0.00,4.798,18.411,0.000
2013-02-08,0.59,0.00,5.447,41.685,0.000
2013-02-09,15.24,0.00,4.574,37.077,0.000
2013-02-10,4.04,0.00,4.468,45.678,0.000
2013-02-11,1.57,0.00,5.248,41.244,0.000
2013-02-12,6.79,0.00,4.577,32.442,0.000
2013-02-13,2.69,0.00,3.758,28.735,0.000
2013-02-14,19.72,0.00,3.254,26.634,0.000
2013-02-15,15.54,0.00,3.606,64.053,0.000
2013-02-16,1.36,0.00,3.609,126.376,0.000
2013-02-17,14.43,0.00,4.448,122.071,0.000
2013-02-18,7.33,0.00,4.290,131.565,0.000
2013-02-19,5.17,0.00,3.943,107.263,0.000
2013-02-20,9.96,0.00,3.607,92.742,0.000
2013-02-21,12.23,0.00,3.562,78.582,0.000
2013-02-22,0.33,0.00,3.763,78.178,0.000
2013-02-23,0.00,0.00,3.811,72.153,0.000
2013-02-24,0.29,0.00,3.703,59.371,0.000
2013-02-25,2.89,0.00,4.222,52.965,0.000
2013-02-26,1.89,0.00,4.334,48.493,0.000
2013-02-27,0.00,0.00,4.347,44.551,0.000
2013-02-28,0.00,0.00,4.667,40.276,0.000
2013-03-01,0.02,0.00,4.153,35.535,0.000
2013-03-02,0.00,0.00,4.251,33.200,0.000
2013-03-03,0.00,0.00,4.637,31.867,0.000
2013-03-04,0.27,0.00,4.080,30.168,0.000
2013-03-05,26.25,0.00,4.038,28.402,0.000
2013-03-06,0.93,0.00,4.087,42.406,0.000
2013-03-07,3.79,0.00,4.329,49.575,0.000
2013-03-08,0.17,0.00,4.306,36.467,0.000
2013-03-09,12.96,0.00,4.051,29.724,0.000
2013-03-10,15.01,0.00,4.165,40.299,0.000
2013-03-11,2.35,0.00,3.988,61.315,0.000
2013-03-12,20.59,0.00,3.723,53.395,0.000
2013-03-13,18.01,0.00,3.684,103.025,0.000
2013-03-14,2.04,0.00,3.652,124.041,0.000
2013-03-15,2.67,0.00,4.201,87.781,0.000
2013-03-16,18.02,0.00,3.712,88.236,0.000
2013-03-17,0.18,0.00,3.359,125.829,0.000
2013-03-18,0.05,0.00,3.681,107.200,0.000
2013-03-19,5.78,0.00,4.248,88.426,0.000
2013-03-20,22.09,0.00,4.146,78.061,0.000
2013-03-21,2.08,0.00,3.516,156.794,0.000
2013-03-22,0.03,0.00,3.049,153.799,0.000
2013-03-23,0.00,0.00,3.279,119.351,0.000
2013-03-24,20.90,0.00,2.608,97.482,0.000
2013-03-25,0.26,0.00,3.883,111.797,0.000
2013-03-26,0.24,0.00,3.751,101.661,0.000
2013-03-27,0.01,0.00,3.767,85.354,0.000
2013-03-28,0.03,0.00,3.451,71.488,0.000
2013-03-29,0.15,0.00,3.098,62.185,0.000
2013-03-30,0.00,0.00,3.300,56.292,0.000
2013-03-31,0.00,0.00,3.216,52.596,0.000
2013-04-01,0.00,0.00,3.025,48.349,0.000
2013-04-02,13.41,0.00,2.937,49.427,0.000
2013-04-03,0.97,0.00,3.077,70.335,0.000
2013-04-04,6.89,0.00,2.835,61.306,0.000
2013-04-05,16.35,0.00,3.031,72.870,0.000
2013-04-06,0.00,0.00,3.057,84.215,0.000
2013-04-07,0.19,0.00,3.092,61.551,0.000
2013-04-08,2.20,0.00,2.935,50.933,0.000
2013-04-09,0.06,0.00,2.534,48.573,0.000
2013-04-10,0.00,0.00,2.575,46.504,0.000
2013-04-11,0.00,0.00,3.704,43.272,0.000
2013-04-12,16.33,0.00,3.467,41.055,0.000
2013-04-13,1.66,0.00,3.621,55.097,0.000
2013-04-14,0.00,0.00,2.989,59.837,0.000
2013-04-15,0.00,0.00,2.451,45.296,0.000
2013-04-16,0.00,0.00,2.537,38.055,0.000
2013-04-17,0.00,0.00,3.093,34.309,0.000
2013-04-18,0.17,0.00,2.802,32.462,0.000
2013-04-19,0.01,0.00,2.876,30.918,0.000
2013-04-20,0.00,0.00,3.219,29.317,0.000
2013-04-21,0.00,0.00,2.421,27.492,0.000
2013-04-22,0.00,0.00,2.966,25.794,0.000
2013-04-23,0.02,0.00,2.611,24.306,0.000
2013-04-24,0.02,0.00,2.922,23.243,0.000
2013-04-25,0.03,0.00,2.683,22.452,0.000
2013-04-26,0.00,0.00,2.838,21.557,0.000
2013-04-27,0.00,0.00,2.761,21.019,0.000
2013-04-28,0.00,0.00,2.533,20.313,0.000
2013-04-29,0.02,0.00,2.876,19.768,0.000
2013-04-30,0.01,0.00,2.694,19.806,0.000
2013-05-01,0.05,0.00,2.525,18.813,0.000
2013-05-02,0.01,0.00,2.648,18.501,0.000
2013-05-03,0.12,0.00,2.378,18.392,0.000
2013-05-04,1.39,0.00,2.124,18.163,0.000
2013-05-05,9.06,0.00,1.965,17.654,0.000
2013-05-06,0.68,0.00,2.458,22.378,0.000
2013-05-07,0.01,0.00,2.668,20.545,0.000
2013-05-08,0.00,0.00,2.213,17.915,0.000
2013-05-09,0.00,0.00,2.596,16.047,0.000
2013-05-10,1.88,0.00,2.232,15.543,0.000
2013-05-11,5.35,0.00,2.535,14.399,0.000
2013-05-12,4.92,0.00,2.525,14.617,0.000
2013-05-13,3.15,0.00,2.319,14.803,0.000
2013-05-14,3.27,0.00,2.397,15.299,0.000
2013-05-15,33.27,0.00,2.303,19.372,0.000
2013-05-16,23.04,0.00,1.874,60.583,0.000
2013-05-17,0.33,0.00,2.135,79.204,0.000
2013-05-18,0.01,0.00,2.213,47.297,0.000
2013-05-19,0.10,0.00,1.955,32.962,0.000
2013-05-20,0.08,0.00,1.041,27.493,0.000
2013-05-21,0.01,0.00,1.799,24.253,0.000
2013-05-22,5.91,0.00,2.241,22.545,0.000
2013-05-23,2.68,0.00,1.764,24.379,0.000
