978
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,0.34,0.00,5.701,49.448,0.000
2013-01-03,0.05,0.00,5.191,35.763,0.000
2013-01-04,0.20,0.00,5.060,25.556,0.000
2013-01-05,0.11,0.00,5.357,21.408,0.000
2013-01-06,28.51,0.00,4.999,20.922,0.000
2013-01-07,5.99,0.00,5.240,60.182,0.000
2013-01-08,50.19,0.00,5.226,129.177,0.000
2013-01-09,0.84,0.00,5.501,173.004,0.000
2013-01-10,0.00,0.00,4.340,102.281,0.000
2013-01-11,0.00,0.00,4.312,58.194,0.000
2013-01-12,0.00,0.00,4.508,39.550,0.000
2013-01-13,0.01,0.00,4.814,32.576,0.000
2013-01-14,0.51,0.00,5.306,28.358,0.000
2013-01-15,2.61,0.00,4.744,28.099,0.000
2013-01-16,5.55,0.00,5.096,34.497,0.000
2013-01-17,1.44,0.00,5.734,27.600,0.000
2013-01-18,4.19,0.00,5.026,23.891,0.000
2013-01-19,0.04,0.00,4.888,22.838,0.000
2013-01-20,0.28,0.00,4.953,20.283,0.000
2013-01-21,0.02,0.00,5.662,18.017,0.000
2013-01-22,0.00,0.00,5.148,16.560,0.000
2013-01-23,0.00,0.00,4.476,15.509,0.000
2013-01-24,0.01,0.00,4.152,14.763,0.000
2013-01-25,2.89,0.00,4.162,14.082,0.000
2013-01-26,0.00,0.00,4.839,15.843,0.000
2013-01-27,0.00,0.00,5.011,14.944,0.000
2013-01-28,0.03,0.00,4.386,13.012,0.000
2013-01-29,0.00,0.00,4.653,12.265,0.000
2013-01-30,0.00,0.00,4.736,11.369,0.000
2013-01-31,0.00,0.00,4.103,10.757,0.000
2013-02-01,1.54,0.00,4.497,9.763,0.000
2013-02-02,7.25,0.00,5.337,9.902,0.000
2013-02-03,13.00,0.00,5.194,10.052,0.000
2013-02-04,0.14,0.00,5.151,11.981,0.000
2013-02-05,0.00,0.00,4.763,11.938,0.000
2013-02-06,1.29,0.00,4.883,10.328,0.000
2013-02-07,30.20,0.00,5.022,13.876,0.000
2013-02-08,1.36,0.00,5.845,21.110,0.000
2013-02-09,9.23,0.00,4.856,17.262,0.000
2013-02-10,6.72,0.00,4.838,15.380,0.000
2013-02-11,1.88,0.00,5.474,19.182,0.000
2013-02-12,4.33,0.00,4.935,16.693,0.000
2013-02-13,4.17,0.00,4.152,14.746,0.000
2013-02-14,19.55,0.00,3.583,14.768,0.000
2013-02-15,9.48,0.00,3.974,25.501,0.000
2013-02-16,1.65,0.00,3.994,25.962,0.000
2013-02-17,6.91,0.00,4.744,19.056,0.000
2013-02-18,17.97,0.00,4.597,15.292,0.000
2013-02-19,9.75,0.00,4.403,17.118,0.000
2013-02-20,20.00,0.00,3.963,20.760,0.000
2013-02-21,10.00,0.00,3.927,29.362,0.000
2013-02-22,0.35,0.00,4.096,25.487,0.000
2013-02-23,0.00,0.00,4.238,21.749,0.000
2013-02-24,0.21,0.00,4.184,16.715,0.000
2013-02-25,3.45,0.00,4.553,14.176,0.000
2013-02-26,4.08,0.00,4.730,12.858,0.000
2013-02-27,0.00,0.00,4.846,14.373,0.000
2013-02-28,0.00,0.00,5.046,13.434,0.000
2013-03-01,0.01,0.00,4.565,11.465,0.000
2013-03-02,0.00,0.00,4.650,10.557,0.000
2013-03-03,0.00,0.00,4.870,9.790,0.000
2013-03-04,0.33,0.00,4.541,9.548,0.000
2013-03-05,35.82,0.00,4.430,12.314,0.000
2013-03-06,1.18,0.00,4.281,22.742,0.000
2013-03-07,8.20,0.00,4.669,18.898,0.000
2013-03-08,0.28,0.00,4.395,17.379,0.000
2013-03-09,8.53,0.00,4.459,15.706,0.000
2013-03-10,16.36,0.00,4.545,14.509,0.000
2013-03-11,6.83,0.00,4.454,26.555,0.000
2013-03-12,18.38,0.00,4.092,33.225,0.000
2013-03-13,28.37,0.00,4.192,111.000,0.000
2013-03-14,1.91,0.00,4.068,121.320,0.000
2013-03-15,1.01,0.00,4.629,66.973,0.000
2013-03-16,11.49,0.00,4.225,50.761,0.000
2013-03-17,0.11,0.00,3.985,52.978,0.000
2013-03-18,0.06,0.00,4.084,40.310,0.000
2013-03-19,3.43,0.00,4.589,33.454,0.000
2013-03-20,20.63,0.00,4.384,31.883,0.000
2013-03-21,0.96,0.00,4.038,68.687,0.000
2013-03-22,0.00,0.00,3.601,61.331,0.000
2013-03-23,0.00,0.00,3.656,43.270,0.000
2013-03-24,32.04,0.00,3.128,37.954,0.000
2013-03-25,0.26,0.00,4.290,75.611,0.000
2013-03-26,0.27,0.00,4.148,55.259,0.000
2013-03-27,0.01,0.00,4.196,40.445,0.000
2013-03-28,0.02,0.00,3.912,33.141,0.000
2013-03-29,0.06,0.00,3.626,29.008,0.000
2013-03-30,0.00,0.00,3.814,26.650,0.000
2013-03-31,0.00,0.00,3.758,24.646,0.000
2013-04-01,0.01,0.00,3.456,22.992,0.000
2013-04-02,13.25,0.00,3.431,22.235,0.000
2013-04-03,0.75,0.00,3.743,22.303,0.000
2013-04-04,6.46,0.00,3.356,21.995,0.000
2013-04-05,21.19,0.00,3.603,43.709,0.000
2013-04-06,0.01,0.00,3.542,45.368,0.000
2013-04-07,0.43,0.00,3.676,27.616,0.000
2013-04-08,5.63,0.00,3.464,23.401,0.000
2013-04-09,0.18,0.00,2.996,37.200,0.000
2013-04-10,0.01,0.00,3.039,33.012,0.000
2013-04-11,0.00,0.00,4.283,23.150,0.000
2013-04-12,21.80,0.00,3.977,21.656,0.000
2013-04-13,2.33,0.00,4.157,60.768,0.000
2013-04-14,0.00,0.00,3.568,43.179,0.000
2013-04-15,0.00,0.00,2.809,30.000,0.000
2013-04-16,0.00,0.00,2.965,24.295,0.000
2013-04-17,0.00,0.00,3.388,21.546,0.000
2013-04-18,0.41,0.00,3.179,19.751,0.000
2013-04-19,0.01,0.00,3.283,18.593,0.000
2013-04-20,0.00,0.00,3.481,17.404,0.000
2013-04-21,0.00,0.00,2.899,16.421,0.000
2013-04-22,0.00,0.00,3.513,15.654,0.000
