1004
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,0.27,0.00,5.417,51.545,0.000
2013-01-03,0.04,0.00,4.991,35.444,0.000
2013-01-04,0.25,0.00,4.949,26.628,0.000
2013-01-05,0.19,0.00,5.257,21.392,0.000
2013-01-06,27.86,0.00,4.988,24.312,0.000
2013-01-07,10.51,0.00,5.033,43.094,0.000
2013-01-08,50.86,0.00,4.991,103.480,0.000
2013-01-09,0.47,0.00,5.154,151.960,0.000
2013-01-10,0.01,0.00,4.040,75.377,0.000
2013-01-11,0.00,0.00,4.209,49.540,0.000
2013-01-12,0.00,0.00,4.476,39.079,0.000
2013-01-13,0.00,0.00,4.759,32.412,0.000
2013-01-14,0.22,0.00,5.034,27.831,0.000
2013-01-15,3.00,0.00,4.376,24.590,0.000
2013-01-16,7.95,0.00,4.874,22.802,0.000
2013-01-17,2.86,0.00,5.666,22.065,0.000
2013-01-18,6.16,0.00,4.862,19.761,0.000
2013-01-19,0.05,0.00,4.778,33.958,0.000
2013-01-20,1.56,0.00,4.858,26.285,0.000
2013-01-21,0.02,0.00,5.470,20.940,0.000
2013-01-22,0.00,0.00,5.124,16.981,0.000
2013-01-23,0.00,0.00,4.227,14.277,0.000
2013-01-24,0.01,0.00,3.788,14.701,0.000
2013-01-25,1.41,0.00,4.019,12.910,0.000
2013-01-26,0.00,0.00,4.620,12.015,0.000
2013-01-27,0.00,0.00,4.674,10.911,0.000
2013-01-28,0.05,0.00,4.333,10.636,0.000
2013-01-29,0.00,0.00,4.456,9.808,0.000
2013-01-30,0.00,0.00,4.230,9.302,0.000
2013-01-31,0.00,0.00,4.139,8.780,0.000
2013-02-01,0.32,0.00,4.263,8.444,0.000
2013-02-02,17.63,0.00,5.276,8.158,0.000
2013-02-03,13.16,0.00,4.910,8.933,0.000
2013-02-04,0.11,0.00,4.862,8.457,0.000
2013-02-05,0.00,0.00,4.305,8.253,0.000
2013-02-06,1.82,0.00,4.921,7.318,0.000
2013-02-07,36.08,0.00,4.845,12.546,0.000
2013-02-08,0.49,0.00,5.608,16.730,0.000
2013-02-09,12.54,0.00,4.705,12.845,0.000
2013-02-10,3.70,0.00,4.594,9.691,0.000
2013-02-11,1.41,0.00,5.415,9.839,0.000
2013-02-12,5.92,0.00,4.754,9.573,0.000
2013-02-13,4.00,0.00,3.872,9.006,0.000
2013-02-14,23.83,0.00,3.416,8.607,0.000
2013-02-15,15.33,0.00,3.750,26.373,0.000
2013-02-16,0.89,0.00,3.762,34.157,0.000
2013-02-17,8.02,0.00,4.571,25.422,0.000
2013-02-18,16.47,0.00,4.442,30.938,0.000
2013-02-19,13.85,0.00,3.938,34.356,0.000
2013-02-20,11.96,0.00,3.742,29.596,0.000
2013-02-21,12.50,0.00,3.610,28.545,0.000
2013-02-22,0.29,0.00,3.863,31.340,0.000
2013-02-23,0.00,0.00,3.859,26.204,0.000
2013-02-24,0.45,0.00,3.786,19.102,0.000
2013-02-25,3.22,0.00,4.193,15.413,0.000
2013-02-26,1.50,0.00,4.332,14.287,0.000
2013-02-27,0.00,0.00,4.439,13.571,0.000
2013-02-28,0.00,0.00,4.807,11.315,0.000
2013-03-01,0.01,0.00,4.292,10.306,0.000
2013-03-02,0.00,0.00,4.383,9.995,0.000
2013-03-03,0.00,0.00,4.633,8.945,0.000
2013-03-04,0.62,0.00,4.192,8.421,0.000
2013-03-05,29.47,0.00,4.167,10.976,0.000
2013-03-06,0.69,0.00,4.178,22.392,0.000
2013-03-07,7.53,0.00,4.420,15.687,0.000
2013-03-08,0.06,0.00,4.351,11.771,0.000
2013-03-09,18.23,0.00,4.128,12.012,0.000
2013-03-10,20.05,0.00,4.232,37.095,0.000
2013-03-11,3.43,0.00,4.068,51.685,0.000
2013-03-12,24.94,0.00,3.806,37.838,0.000
2013-03-13,22.83,0.00,3.750,72.536,0.000
2013-03-14,1.45,0.00,3.719,63.046,0.000
2013-03-15,3.26,0.00,4.259,43.948,0.000
2013-03-16,18.52,0.00,3.694,46.976,0.000
2013-03-17,0.20,0.00,3.411,46.555,0.000
2013-03-18,0.06,0.00,3.780,37.565,0.000
2013-03-19,8.88,0.00,4.372,32.943,0.000
2013-03-20,25.04,0.00,4.169,33.252,0.000
2013-03-21,0.98,0.00,3.622,60.264,0.000
2013-03-22,0.02,0.00,3.189,50.106,0.000
2013-03-23,0.00,0.00,3.316,39.005,0.000
2013-03-24,25.77,0.00,2.603,34.506,0.000
2013-03-25,0.18,0.00,3.947,37.927,0.000
2013-03-26,0.16,0.00,3.750,32.174,0.000
2013-03-27,0.00,0.00,3.803,27.337,0.000
2013-03-28,0.02,0.00,3.489,23.801,0.000
2013-03-29,1.01,0.00,3.154,21.950,0.000
2013-03-30,0.00,0.00,3.335,19.656,0.000
2013-03-31,0.00,0.00,3.218,18.636,0.000
2013-04-01,0.01,0.00,3.006,16.855,0.000
2013-04-02,18.61,0.00,2.934,22.255,0.000
2013-04-03,0.57,0.00,3.166,24.909,0.000
2013-04-04,10.69,0.00,2.956,20.274,0.000
2013-04-05,16.26,0.00,3.143,35.101,0.000
2013-04-06,0.00,0.00,3.091,34.034,0.000
2013-04-07,0.44,0.00,3.171,23.992,0.000
2013-04-08,7.34,0.00,2.952,20.529,0.000
2013-04-09,0.13,0.00,2.438,20.540,0.000
2013-04-10,0.00,0.00,2.603,19.393,0.000
2013-04-11,0.00,0.00,3.701,16.916,0.000
2013-04-12,22.38,0.00,3.349,19.738,0.000
2013-04-13,1.75,0.00,3.603,42.156,0.000
2013-04-14,0.00,0.00,3.021,31.463,0.000
2013-04-15,0.00,0.00,2.394,24.455,0.000
2013-04-16,0.00,0.00,2.564,20.821,0.000
2013-04-17,0.00,0.00,3.115,18.406,0.000
2013-04-18,0.53,0.00,2.775,16.711,0.000
2013-04-19,0.01,0.00,2.850,16.128,0.000
2013-04-20,0.00,0.00,3.128,15.181,0.000
2013-04-21,0.00,0.00,2.421,14.636,0.000
2013-04-22,0.00,0.00,2.995,13.962,0.000
2013-04-23,0.06,0.00,2.654,13.617,0.000
2013-04-24,0.05,0.00,2.873,13.067,0.000
2013-04-25,0.02,0.00,2.676,12.951,0.000
2013-04-26,0.00,0.00,2.863,12.098,0.000
2013-04-27,0.00,0.00,2.754,12.736,0.000
2013-04-28,0.00,0.00,2.504,12.143,0.000
2013-04-29,0.12,0.00,2.867,11.892,0.000
2013-04-30,0.06,0.00,2.659,11.732,0.000
2013-05-01,0.08,0.00,2.497,11.106,0.000
2013-05-02,0.01,0.00,2.626,10.563,0.000
2013-05-03,0.04,0.00,2.359,10.424,0.000
2013-05-04,3.11,0.00,2.185,10.354,0.000
2013-05-05,9.39,0.00,1.904,10.156,0.000
2013-05-06,0.49,0.00,2.460,10.339,0.000
2013-05-07,0.02,0.00,2.643,9.085,0.000
2013-05-08,0.01,0.00,2.191,8.919,0.000
2013-05-09,0.01,0.00,2.541,8.005,0.000
2013-05-10,3.98,0.00,2.238,8.212,0.000
2013-05-11,11.31,0.00,2.548,8.176,0.000
2013-05-12,10.35,0.00,2.529,7.752,0.000
2013-05-13,2.57,0.00,2.373,8.054,0.000
2013-05-14,4.63,0.00,2.467,8.841,0.000
2013-05-15,52.04,0.00,2.283,19.639,0.000
2013-05-16,31.28,0.00,1.874,76.322,0.000
2013-05-17,0.22,0.00,1.995,49.706,0.000
2013-05-18,0.01,0.00,2.181,28.752,0.000
2013-05-19,0.06,0.00,1.884,22.047,0.000
2013-05-20,0.08,0.00,0.980,18.350,0.000
2013-05-21,0.02,0.00,1.834,15.792,0.000
2013-05-22,6.36,0.00,2.240,14.852,0.000
2013-05-23,4.49,0.00,1.813,17.995,0.000
2013-05-24,0.60,0.00,1.956,15.855,0.000
2013-05-25,0.01,0.00,2.242,14.244,0.000
2013-05-26,0.02,0.00,1.898,13.082,0.000
2013-05-27,20.39,0.00,2.380,15.173,0.000
2013-05-28,18.11,0.00,2.119,19.709,0.000
2013-05-29,5.42,0.00,2.054,24.398,0.000
2013-05-30,1.52,0.00,1.828,31.287,0.000
2013-05-31,0.00,0.00,2.232,24.835,0.000
2013-06-01,27.39,0.00,1.901,20.984,0.000
2013-06-02,38.21,0.00,2.062,125.908,0.000
2013-06-03,0.03,0.00,1.923,104.171,0.000
2013-06-04,0.02,0.00,1.803,57.816,0.000
2013-06-05,0.06,0.00,1.776,45.230,0.000
2013-06-06,0.08,0.00,1.513,38.142,0.000
2013-06-07,0.01,0.00,1.838,33.187,0.000
2013-06-08,0.00,0.00,1.458,29.469,0.000
2013-06-09,0.03,0.00,1.970,26.763,0.000
2013-06-10,0.11,0.00,1.679,24.521,0.000
2013-06-11,0.32,0.00,1.908,23.019,0.000
2013-06-12,0.07,0.00,1.525,21.815,0.000
2013-06-13,0.01,0.00,1.686,19.997,0.000
2013-06-14,0.04,0.00,1.794,18.852,0.000
2013-06-15,1.47,0.00,1.536,17.544,0.000
2013-06-16,11.27,0.00,1.499,17.119,0.000
2013-06-17,3.25,0.00,1.621,20.577,0.000
2013-06-18,0.41,0.00,1.000,19.727,0.000
2013-06-19,53.85,0.00,1.414,64.482,0.000
2013-06-20,54.21,0.00,1.670,106.048,0.000
2013-06-21,84.75,0.00,1.964,218.500,0.000
2013-06-22,0.24,0.00,1.854,275.781,0.000
2013-06-23,2.09,0.00,1.935,165.139,0.000
2013-06-24,59.74,0.00,1.766,117.008,0.000
2013-06-25,9.63,0.00,1.693,165.448,0.000
2013-06-26,1.65,0.00,1.382,133.212,0.000
2013-06-27,4.73,0.00,1.616,100.366,0.000
2013-06-28,0.91,0.00,1.778,83.276,0.000
2013-06-29,40.57,0.00,1.954,85.258,0.000
2013-06-30,1.35,0.00,1.933,91.843,0.000
2013-07-01,0.63,0.00,1.624,73.384,0.000
2013-07-02,0.82,0.00,1.573,62.891,0.000
2013-07-03,0.44,0.00,1.741,55.794,0.000
2013-07-04,0.03,0.00,1.390,50.695,0.000
2013-07-05,0.00,0.00,1.560,46.247,0.000
2013-07-06,0.02,0.00,1.356,42.496,0.000
2013-07-07,0.01,0.00,1.789,39.387,0.000
2013-07-08,1.12,0.00,1.848,36.538,0.000
2013-07-09,0.04,0.00,1.542,34.478,0.000
2013-07-10,0.00,0.00,1.682,32.267,0.000
2013-07-11,0.00,0.00,1.781,30.359,0.000
2013-07-12,0.01,0.00,2.356,28.513,0.000
2013-07-13,0.00,0.00,2.523,26.886,0.000
2013-07-14,0.04,0.00,2.153,25.260,0.000
2013-07-15,0.13,0.00,1.607,23.623,0.000
2013-07-16,0.00,0.00,2.107,22.232,0.000
2013-07-17,0.00,0.00,2.166,20.892,0.000
2013-07-18,2.18,0.00,1.594,20.018,0.000
2013-07-19,18.49,0.00,1.856,23.455,0.000
2013-07-20,41.56,0.00,2.063,52.877,0.000
2013-07-21,19.49,0.00,2.119,93.072,0.000
2013-07-22,10.31,0.00,1.971,69.486,0.000
2013-07-23,4.86,0.00,2.171,52.751,0.000
2013-07-24,0.28,0.00,2.020,43.475,0.000
2013-07-25,0.01,0.00,2.190,37.771,0.000
2013-07-26,0.00,0.00,2.328,34.148,0.000
2013-07-27,0.11,0.00,1.833,31.296,0.000
2013-07-28,0.00,0.00,2.336,29.060,0.000
2013-07-29,0.00,0.00,2.500,27.080,0.000
2013-07-30,0.00,0.00,2.020,25.374,0.000
2013-07-31,0.00,0.00,2.075,23.789,0.000
2013-08-01,0.02,0.00,1.935,22.517,0.000
2013-08-02,0.19,0.00,2.171,21.126,0.000
2013-08-03,0.78,0.00,2.306,19.988,0.000
2013-08-04,7.22,0.00,2.619,21.705,0.000
2013-08-05,0.03,0.00,2.556,25.982,0.000
2013-08-06,22.92,0.00,2.612,25.983,0.000
2013-08-07,0.06,0.00,2.654,57.724,0.000
2013-08-08,0.00,0.00,2.739,38.859,0.000
2013-08-09,2.36,0.00,2.546,30.720,0.000
2013-08-10,26.18,0.00,2.608,58.600,0.000
2013-08-11,0.03,0.00,3.315,95.987,0.000
2013-08-12,0.00,0.00,3.037,59.442,0.000
2013-08-13,0.57,0.00,2.650,46.645,0.000
2013-08-14,2.31,0.00,2.692,41.343,0.000
2013-08-15,0.06,0.00,2.286,36.551,0.000
2013-08-16,0.00,0.00,2.663,32.662,0.000
2013-08-17,0.00,0.00,2.320,30.021,0.000
2013-08-18,0.00,0.00,2.750,27.812,0.000
2013-08-19,0.00,0.00,3.481,25.913,0.000
2013-08-20,0.00,0.00,2.816,24.397,0.000
2013-08-21,0.00,0.00,2.884,23.143,0.000
2013-08-22,0.00,0.00,2.828,21.657,0.000
2013-08-23,1.19,0.00,3.442,20.458,0.000
2013-08-24,0.04,0.00,3.286,20.500,0.000
2013-08-25,1.56,0.00,3.588,19.804,0.000
2013-08-26,49.03,0.00,2.238,42.385,0.000
2013-08-27,1.34,0.00,2.332,66.582,0.000
2013-08-28,0.00,0.00,3.445,46.065,0.000
2013-08-29,0.01,0.00,3.273,35.818,0.000
2013-08-30,0.00,0.00,3.579,30.649,0.000
2013-08-31,0.00,0.00,2.484,27.277,0.000
2013-09-01,7.24,0.00,2.847,25.272,0.000
2013-09-02,4.55,0.00,3.582,34.743,0.000
2013-09-03,0.17,0.00,3.686,32.165,0.000
2013-09-04,0.22,0.00,3.000,27.787,0.000
2013-09-05,0.13,0.00,2.745,24.809,0.000
2013-09-06,0.00,0.00,3.254,23.023,0.000
2013-09-07,0.00,0.00,3.686,21.508,0.000
2013-09-08,1.50,0.00,2.118,20.232,0.000
2013-09-09,0.00,0.00,2.132,20.199,0.000
2013-09-10,0.00,0.00,2.332,18.796,0.000
2013-09-11,0.00,0.00,2.877,16.973,0.000
2013-09-12,0.00,0.00,1.963,16.238,0.000
2013-09-13,0.00,0.00,2.025,15.682,0.000
2013-09-14,0.00,0.00,1.995,14.943,0.000
2013-09-15,0.27,0.00,2.398,14.431,0.000
2013-09-16,74.35,0.00,2.601,29.735,0.000
2013-09-17,5.61,0.00,2.823,124.406,0.000
2013-09-18,0.00,0.00,2.813,72.207,0.000
2013-09-19,1.08,0.00,3.087,47.618,0.000
2013-09-20,13.14,0.00,2.993,40.868,0.000
2013-09-21,22.79,0.00,3.921,83.150,0.000
2013-09-22,91.27,0.00,3.255,207.058,0.000
2013-09-23,0.88,0.00,3.116,316.532,0.000
2013-09-24,0.10,0.00,2.579,199.533,0.000
2013-09-25,0.00,0.00,2.927,117.603,0.000
2013-09-26,0.00,0.00,3.341,88.092,0.000
2013-09-27,0.00,0.00,3.664,72.195,0.000
2013-09-28,13.56,0.00,2.479,64.878,0.000
2013-09-29,0.23,0.00,2.780,74.782,0.000
2013-09-30,9.74,0.00,1.839,58.863,0.000
2013-10-01,0.73,0.00,2.323,55.679,0.000
2013-10-02,1.21,0.00,3.096,49.716,0.000
2013-10-03,21.35,0.00,3.437,47.345,0.000
2013-10-04,0.58,0.00,3.688,nan,0.000
2013-10-05,0.00,0.00,3.173,nan,0.000
2013-10-06,0.00,0.00,2.882,nan,0.000
2013-10-07,0.00,0.00,3.056,nan,0.000
2013-10-08,0.00,0.00,3.146,nan,0.000
2013-10-09,0.00,0.00,3.538,nan,0.000
2013-10-10,0.00,0.00,3.412,28.578,0.000
2013-10-11,0.00,0.00,3.339,27.343,0.000
2013-10-12,0.57,0.00,3.369,25.818,0.000
2013-10-13,1.23,0.00,3.286,24.785,0.000
2013-10-14,0.65,0.00,3.245,24.512,0.000
2013-10-15,0.13,0.00,2.847,22.144,0.000
2013-10-16,16.30,0.00,2.451,21.955,0.000
2013-10-17,1.79,0.00,3.106,23.654,0.000
2013-10-18,0.21,0.00,3.764,21.633,0.000
2013-10-19,0.00,0.00,3.505,18.744,0.000
2013-10-20,0.00,0.00,4.398,18.084,0.000
2013-10-21,31.70,0.00,3.575,nan,0.000
2013-10-22,0.29,0.00,4.564,nan,0.000
2013-10-23,0.01,0.00,4.208,nan,0.000
2013-10-24,34.43,0.00,3.911,nan,0.000
2013-10-25,0.13,0.00,2.809,nan,0.000
2013-10-26,0.61,0.00,3.067,nan,0.000
2013-10-27,10.76,0.00,3.442,nan,0.000
2013-10-28,0.00,0.00,4.020,nan,0.000
2013-10-29,0.01,0.00,4.558,nan,0.000
2013-10-30,0.12,0.00,4.328,nan,0.000
2013-10-31,0.00,0.00,4.347,nan,0.000
2013-11-01,0.00,0.00,4.248,16.732,0.000
2013-11-02,0.14,0.00,3.556,15.664,0.000
2013-11-03,5.80,0.00,4.652,15.249,0.000
2013-11-04,0.02,0.00,3.647,15.176,0.000
2013-11-05,0.00,0.00,4.163,14.361,0.000
2013-11-06,0.01,0.00,4.033,13.026,0.000
2013-11-07,0.00,0.00,4.194,12.597,0.000
2013-11-08,0.00,0.00,5.133,12.077,0.000
2013-11-09,0.00,0.00,3.991,11.913,0.000
2013-11-10,0.01,0.00,3.769,11.064,0.000
2013-11-11,7.60,0.00,4.343,11.598,0.000
2013-11-12,12.69,0.00,5.001,15.841,0.000
2013-11-13,0.02,0.00,5.293,16.730,0.000
2013-11-14,0.00,0.00,4.689,11.871,0.000
2013-11-15,0.00,0.00,4.964,9.097,0.000
2013-11-16,5.95,0.00,5.091,nan,0.000
2013-11-17,0.30,0.00,4.252,nan,0.000
2013-11-18,0.37,0.00,4.794,9.606,0.000
2013-11-19,0.03,0.00,5.406,9.970,0.000
2013-11-20,34.89,0.00,5.534,11.908,0.000
2013-11-21,17.39,0.00,4.802,17.541,0.000
2013-11-22,0.24,0.00,5.097,20.013,0.000
2013-11-23,0.02,0.00,6.030,18.218,0.000
2013-11-24,0.01,0.00,4.848,13.825,0.000
2013-11-25,0.44,0.00,3.933,11.244,0.000
2013-11-26,4.27,0.00,4.706,10.790,0.000
2013-11-27,0.00,0.00,4.511,9.612,0.000
2013-11-28,6.30,0.00,4.674,9.879,0.000
2013-11-29,9.29,0.00,4.543,10.854,0.000
2013-11-30,0.35,0.00,5.103,13.975,0.000
2013-12-01,0.65,0.00,5.261,10.798,0.000
2013-12-02,20.71,0.00,5.411,19.907,0.000
2013-12-03,0.03,0.00,4.744,20.584,0.000
2013-12-04,0.01,0.00,3.564,13.430,0.000
2013-12-05,22.33,0.00,4.426,11.740,0.000
2013-12-06,0.65,0.00,4.971,22.066,0.000
2013-12-07,29.62,0.00,5.161,20.086,0.000
2013-12-08,0.10,0.00,4.531,15.269,0.000
2013-12-09,11.56,0.00,4.307,13.340,0.000
2013-12-10,3.38,0.00,3.829,16.229,0.000
2013-12-11,1.43,0.00,4.384,20.859,0.000
2013-12-12,0.68,0.00,4.768,14.450,0.000
2013-12-13,0.45,0.00,4.333,11.842,0.000
2013-12-14,26.40,0.00,5.074,19.788,0.000
2013-12-15,1.28,0.00,4.692,40.509,0.000
2013-12-16,6.85,0.00,5.466,42.612,0.000
2013-12-17,0.01,0.00,5.483,34.354,0.000
2013-12-18,0.00,0.00,5.661,24.673,0.000
2013-12-19,0.00,0.00,5.529,19.486,0.000
2013-12-20,0.09,0.00,4.684,15.949,0.000
2013-12-21,0.01,0.00,3.434,14.462,0.000
2013-12-22,0.03,0.00,3.480,13.052,0.000
2013-12-23,0.05,0.00,4.590,12.032,0.000
2013-12-24,0.00,0.00,4.554,11.053,0.000
2013-12-25,0.04,0.00,5.561,10.642,0.000
2013-12-26,1.02,0.00,5.165,9.565,0.000
2013-12-27,1.39,0.00,5.475,9.800,0.000
2013-12-28,17.68,0.00,5.101,10.040,0.000
