1654
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,0.13,0.00,5.668,49.998,0.000
2013-01-03,0.02,0.00,5.288,37.753,0.000
2013-01-04,0.28,0.00,5.339,26.903,0.000
2013-01-05,0.20,0.00,5.459,21.868,0.000
2013-01-06,33.22,0.00,5.141,21.942,0.000
2013-01-07,5.05,0.00,5.366,33.007,0.000
2013-01-08,70.91,0.00,5.521,147.021,0.000
2013-01-09,0.95,0.00,5.598,196.804,0.000
2013-01-10,0.00,0.00,4.367,106.118,0.000
2013-01-11,0.00,0.00,4.448,68.129,0.000
2013-01-12,0.00,0.00,4.841,51.903,0.000
2013-01-13,0.00,0.00,5.157,42.353,0.000
2013-01-14,0.15,0.00,5.246,36.146,0.000
2013-01-15,4.55,0.00,4.475,43.733,0.000
2013-01-16,3.65,0.00,5.275,44.366,0.000
2013-01-17,1.37,0.00,5.851,36.450,0.000
2013-01-18,3.89,0.00,5.070,30.300,0.000
2013-01-19,0.02,0.00,5.075,27.457,0.000
2013-01-20,0.57,0.00,5.020,24.347,0.000
2013-01-21,0.01,0.00,5.608,22.232,0.000
2013-01-22,0.00,0.00,5.434,20.300,0.000
2013-01-23,0.00,0.00,4.418,19.600,0.000
2013-01-24,0.01,0.00,4.172,17.578,0.000
2013-01-25,1.41,0.00,4.185,nan,0.000
2013-01-26,0.00,0.00,4.927,nan,0.000
2013-01-27,0.00,0.00,5.153,nan,0.000
2013-01-28,0.03,0.00,4.449,nan,0.000
2013-01-29,0.00,0.00,4.513,nan,0.000
2013-01-30,0.00,0.00,4.340,nan,0.000
2013-01-31,0.00,0.00,4.208,nan,0.000
2013-02-01,0.34,0.00,4.441,nan,0.000
2013-02-02,12.22,0.00,5.273,nan,0.000
2013-02-03,11.00,0.00,5.124,nan,0.000
2013-02-04,0.05,0.00,5.079,nan,0.000
2013-02-05,0.00,0.00,4.439,nan,0.000
2013-02-06,3.17,0.00,5.033,nan,0.000
2013-02-07,38.56,0.00,4.989,23.914,0.000
