1083
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,0.07,0.00,5.548,110.305,0.000
2013-01-03,0.24,0.00,5.471,69.135,0.000
2013-01-04,2.07,0.00,5.402,38.499,0.000
2013-01-05,0.04,0.00,5.414,24.411,0.000
2013-01-06,17.06,0.00,5.210,20.865,0.000
2013-01-07,4.09,0.00,5.856,70.188,0.000
2013-01-08,59.50,0.00,5.860,114.895,0.000
2013-01-09,0.33,0.00,5.583,349.865,0.000
2013-01-10,0.00,0.00,4.944,115.696,0.000
2013-01-11,0.00,0.00,4.083,59.274,0.000
2013-01-12,0.00,0.00,4.821,36.943,0.000
2013-01-13,0.00,0.00,4.806,24.704,0.000
2013-01-14,0.12,0.00,5.357,17.378,0.000
2013-01-15,2.39,0.00,4.516,13.077,0.000
2013-01-16,4.50,0.00,5.692,11.786,0.000
2013-01-17,0.21,0.00,5.704,9.746,0.000
2013-01-18,0.99,0.00,5.300,7.470,0.000
2013-01-19,0.00,0.00,5.133,5.981,0.000
2013-01-20,0.21,0.00,5.138,4.885,0.000
2013-01-21,0.08,0.00,5.625,3.844,0.000
2013-01-22,0.00,0.00,5.118,3.720,0.000
2013-01-23,0.00,0.00,4.144,3.084,0.000
2013-01-24,0.01,0.00,4.306,2.513,0.000
2013-01-25,4.69,0.00,4.137,2.431,0.000
2013-01-26,0.00,0.00,5.126,2.950,0.000
2013-01-27,0.00,0.00,5.474,2.109,0.000
2013-01-28,0.00,0.00,4.364,1.550,0.000
2013-01-29,0.00,0.00,4.500,1.200,0.000
2013-01-30,0.00,0.00,4.441,0.892,0.000
2013-01-31,0.00,0.00,4.441,0.671,0.000
2013-02-01,0.34,0.00,4.145,0.609,0.000
2013-02-02,7.24,0.00,5.074,0.567,0.000
2013-02-03,6.72,0.00,5.172,0.618,0.000
2013-02-04,0.04,0.00,5.190,0.990,0.000
2013-02-05,0.00,0.00,4.492,0.688,0.000
2013-02-06,9.02,0.00,5.037,0.624,0.000
2013-02-07,9.26,0.00,5.040,0.637,0.000
2013-02-08,2.39,0.00,5.712,0.627,0.000
2013-02-09,8.42,0.00,4.828,0.584,0.000
2013-02-10,2.38,0.00,5.213,0.554,0.000
2013-02-11,1.99,0.00,5.744,0.570,0.000
2013-02-12,1.82,0.00,5.003,2.156,0.000
2013-02-13,30.33,0.00,4.441,1.778,0.000
2013-02-14,39.03,0.00,3.638,1.700,0.000
2013-02-15,33.82,0.00,4.321,6.944,0.000
2013-02-16,4.72,0.00,4.393,21.785,0.000
2013-02-17,4.37,0.00,4.648,88.981,0.000
2013-02-18,20.35,0.00,4.988,51.815,0.000
2013-02-19,3.05,0.00,4.730,101.461,0.000
2013-02-20,6.96,0.00,4.060,65.102,0.000
2013-02-21,10.54,0.00,4.148,70.167,0.000
2013-02-22,0.50,0.00,4.344,59.203,0.000
2013-02-23,0.07,0.00,4.454,34.608,0.000
2013-02-24,0.03,0.00,4.589,20.737,0.000
2013-02-25,12.08,0.00,3.939,13.540,0.000
2013-02-26,1.99,0.00,4.708,13.197,0.000
2013-02-27,0.00,0.00,4.975,10.490,0.000
2013-02-28,0.01,0.00,5.021,7.535,0.000
2013-03-01,0.00,0.00,4.850,5.673,0.000
2013-03-02,0.14,0.00,4.832,4.069,0.000
2013-03-03,0.00,0.00,4.703,3.037,0.000
2013-03-04,5.57,0.00,5.023,2.478,0.000
2013-03-05,38.81,0.00,5.125,25.313,0.000
2013-03-06,0.18,0.00,4.880,62.944,0.000
2013-03-07,59.05,0.00,5.056,48.851,0.000
2013-03-08,0.84,0.00,4.699,84.209,0.000
2013-03-09,14.81,0.00,4.478,81.551,0.000
2013-03-10,17.38,0.00,4.620,114.946,0.000
2013-03-11,14.27,0.00,4.386,153.118,0.000
2013-03-12,26.43,0.00,4.556,244.190,0.000
2013-03-13,26.02,0.00,4.067,361.755,0.000
2013-03-14,5.49,0.00,4.351,234.105,0.000
2013-03-15,0.75,0.00,4.759,97.854,0.000
2013-03-16,5.03,0.00,4.379,64.802,0.000
2013-03-17,0.64,0.00,4.319,66.438,0.000
2013-03-18,0.07,0.00,4.464,48.397,0.000
2013-03-19,1.68,0.00,4.706,35.308,0.000
2013-03-20,25.25,0.00,4.399,31.808,0.000
2013-03-21,0.34,0.00,4.356,181.435,0.000
2013-03-22,0.19,0.00,3.822,110.965,0.000
2013-03-23,0.08,0.00,3.777,60.736,0.000
2013-03-24,35.29,0.00,3.436,49.231,0.000
2013-03-25,0.44,0.00,4.117,88.826,0.000
2013-03-26,0.05,0.00,4.379,70.697,0.000
2013-03-27,0.00,0.00,4.575,45.065,0.000
2013-03-28,0.01,0.00,4.157,30.900,0.000
2013-03-29,0.01,0.00,3.942,21.712,0.000
2013-03-30,0.00,0.00,4.073,15.846,0.000
2013-03-31,0.00,0.00,3.797,12.020,0.000
2013-04-01,0.01,0.00,3.363,9.391,0.000
2013-04-02,10.41,0.00,4.074,7.602,0.000
2013-04-03,0.18,0.00,4.180,6.398,0.000
2013-04-04,16.54,0.00,3.768,5.585,0.000
2013-04-05,3.38,0.00,4.196,21.287,0.000
