6694
datahora,pme,siprec,etp,qjus,qmon
2013-01-02,0.03,0.00,5.718,387.009,0.000
2013-01-03,0.06,0.00,5.774,376.720,0.000
2013-01-04,1.02,0.00,5.862,318.312,0.000
2013-01-05,0.07,0.00,5.825,254.810,0.000
2013-01-06,32.14,0.00,5.564,234.046,0.000
2013-01-07,5.55,0.00,5.914,241.370,0.000
2013-01-08,65.62,0.00,6.316,480.675,0.000
2013-01-09,1.08,0.00,6.264,1197.750,0.000
2013-01-10,0.00,0.00,4.758,1220.109,0.000
2013-01-11,0.00,0.00,4.629,817.472,0.000
2013-01-12,0.00,0.00,5.168,506.829,0.000
2013-01-13,0.00,0.00,5.342,397.298,0.000
2013-01-14,0.09,0.00,5.565,334.634,0.000
2013-01-15,13.47,0.00,4.570,295.317,0.000
2013-01-16,7.57,0.00,5.913,287.308,0.000
2013-01-17,0.61,0.00,5.894,288.849,0.000
2013-01-18,3.73,0.00,5.460,253.457,0.000
2013-01-19,0.03,0.00,5.175,242.887,0.000
2013-01-20,0.22,0.00,5.244,225.625,0.000
2013-01-21,0.03,0.00,5.701,197.593,0.000
2013-01-22,0.00,0.00,5.331,176.113,0.000
2013-01-23,0.00,0.00,4.512,165.939,0.000
2013-01-24,0.02,0.00,4.414,155.070,0.000
2013-01-25,2.53,0.00,4.201,144.240,0.000
2013-01-26,0.00,0.00,5.365,139.886,0.000
2013-01-27,0.00,0.00,5.402,129.979,0.000
2013-01-28,0.00,0.00,4.504,123.671,0.000
2013-01-29,0.00,0.00,4.590,116.431,0.000
2013-01-30,0.00,0.00,4.522,110.745,0.000
2013-01-31,0.00,0.00,4.535,103.581,0.000
2013-02-01,0.19,0.00,4.036,99.424,0.000
2013-02-02,9.09,0.00,5.138,95.125,0.000
2013-02-03,4.79,0.00,5.369,100.014,0.000
2013-02-04,0.02,0.00,5.253,107.640,0.000
2013-02-05,0.00,0.00,4.636,95.048,0.000
2013-02-06,19.72,0.00,5.257,88.452,0.000
2013-02-07,17.27,0.00,5.211,109.100,0.000
2013-02-08,2.15,0.00,5.827,119.969,0.000
2013-02-09,11.78,0.00,4.979,108.461,0.000
2013-02-10,6.79,0.00,4.939,107.394,0.000
2013-02-11,4.11,0.00,6.101,109.977,0.000
2013-02-12,2.44,0.00,5.147,108.997,0.000
2013-02-13,13.11,0.00,4.505,106.871,0.000
2013-02-14,32.29,0.00,3.954,122.094,0.000
2013-02-15,29.21,0.00,4.414,209.138,0.000
2013-02-16,1.34,0.00,4.486,396.921,0.000
2013-02-17,4.74,0.00,4.823,427.783,0.000
2013-02-18,35.19,0.00,5.117,328.528,0.000
2013-02-19,4.07,0.00,4.471,346.651,0.000
2013-02-20,9.57,0.00,4.174,413.719,0.000
2013-02-21,13.94,0.00,4.149,443.783,0.000
2013-02-22,0.35,0.00,4.455,390.584,0.000
2013-02-23,0.02,0.00,4.300,342.372,0.000
2013-02-24,0.06,0.00,4.357,288.179,0.000
2013-02-25,9.91,0.00,4.396,243.894,0.000
2013-02-26,1.00,0.00,4.592,222.144,0.000
2013-02-27,0.00,0.00,5.001,208.134,0.000
2013-02-28,0.00,0.00,5.111,193.628,0.000
2013-03-01,0.00,0.00,4.856,176.411,0.000
2013-03-02,0.03,0.00,4.710,161.387,0.000
2013-03-03,0.00,0.00,4.654,148.753,0.000
2013-03-04,4.43,0.00,4.943,nan,0.000
2013-03-05,37.53,0.00,5.075,145.262,0.000
2013-03-06,0.28,0.00,4.830,222.388,0.000
2013-03-07,31.74,0.00,4.871,244.203,0.000
2013-03-08,0.10,0.00,4.609,368.549,0.000
2013-03-09,25.02,0.00,4.401,312.627,0.000
2013-03-10,26.98,0.00,4.566,416.543,0.000
2013-03-11,9.59,0.00,4.378,694.873,0.000
2013-03-12,44.85,0.00,4.349,911.335,0.000
2013-03-13,23.30,0.00,4.066,1339.653,0.000
2013-03-14,2.52,0.00,4.113,1555.359,0.000
2013-03-15,5.73,0.00,4.751,1336.697,0.000
2013-03-16,21.20,0.00,4.133,924.377,0.000
2013-03-17,1.49,0.00,4.151,849.110,0.000
2013-03-18,0.04,0.00,4.310,706.014,0.000
2013-03-19,5.60,0.00,4.571,589.348,0.000
2013-03-20,30.42,0.00,4.471,547.125,0.000
2013-03-21,0.28,0.00,4.208,633.474,0.000
2013-03-22,0.02,0.00,3.853,589.487,0.000
2013-03-23,0.02,0.00,3.587,503.494,0.000
2013-03-24,34.32,0.00,3.161,468.212,0.000
2013-03-25,0.09,0.00,4.219,576.490,0.000
2013-03-26,0.04,0.00,4.186,560.623,0.000
2013-03-27,0.00,0.00,4.348,473.010,0.000
2013-03-28,0.01,0.00,3.897,394.337,0.000
2013-03-29,0.05,0.00,3.570,344.193,0.000
2013-03-30,0.00,0.00,4.034,307.294,0.000
2013-03-31,0.00,0.00,3.547,280.118,0.000
2013-04-01,0.02,0.00,3.156,259.582,0.000
2013-04-02,24.49,0.00,3.885,276.272,0.000
2013-04-03,0.18,0.00,4.078,289.082,0.000
2013-04-04,20.69,0.00,3.740,277.877,0.000
2013-04-05,5.25,0.00,4.168,326.017,0.000
2013-04-06,0.03,0.00,3.475,378.703,0.000
2013-04-07,1.13,0.00,3.963,341.811,0.000
2013-04-08,9.11,0.00,3.550,296.727,0.000
2013-04-09,0.32,0.00,2.829,276.803,0.000
2013-04-10,0.00,0.00,3.551,253.897,0.000
2013-04-11,0.00,0.00,4.248,230.938,0.000
2013-04-12,33.96,0.00,3.855,220.108,0.000
2013-04-13,1.62,0.00,3.914,348.229,0.000
2013-04-14,0.00,0.00,3.673,422.666,0.000
2013-04-15,0.00,0.00,2.748,340.397,0.000
2013-04-16,0.00,0.00,3.045,274.408,0.000
2013-04-17,0.00,0.00,3.488,238.598,0.000
2013-04-18,0.21,0.00,3.023,214.521,0.000
2013-04-19,0.00,0.00,2.875,198.356,0.000
2013-04-20,0.00,0.00,3.187,186.006,0.000
2013-04-21,0.00,0.00,2.813,174.587,0.000
2013-04-22,0.00,0.00,3.588,164.095,0.000
2013-04-23,0.12,0.00,3.224,157.063,0.000
2013-04-24,0.01,0.00,2.997,150.828,0.000
2013-04-25,0.00,0.00,3.161,143.415,0.000
2013-04-26,0.00,0.00,3.260,139.098,0.000
