Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,27.227169573176887,18.053774926629423,18.053774926629423,33.3865514497563
UZFWM,147.1081999785714,139.68959882941633,139.68959882941633,142.02497930929002
LZTWM,20.12622018319076,20.12622018319076,29.029959854071368,15.407193309321684
LZFPM,316.1967684667501,316.1967684667501,232.79782137878377,441.3666012174033
LZFSM,111.04893190354076,111.04893190354076,204.90671988222059,273.27044814506394
UZK,0.5576180139124289,0.10361687446027476,0.10361687446027476,0.5051007741793652
LZPK,0.003335526519606582,0.003335526519606582,0.006209952886506179,0.02147300934040267
LZSK,0.32982869412392457,0.32982869412392457,0.24989988495637402,0.34995454540727483
ADIMP,0.016810032635866494,0.0004377821340332429,0.0004377821340332429,0.0003744887021364142
PCTIM,0.039367307975071306,0.19987613479775657,0.0761620573619557,0.19904642861782396
ZPERC,138.3484811466818,56.060735799269956,56.060735799269956,168.2438376334885
REXP,4.295509140257347,1.8605107743900606,1.8605107743900606,1.1037893434799384
PFREE,0.34548704278081216,0.34548704278081216,0.26207143483693035,0.48474758495993914
NUH,3.0912566679312867,3.856635125351371,3.999974726313622,1.548349311655108
KUH,5.9005145408030755,5.978166898403076,5.984206381315614,5.9806599765609105
NMSK,,,,
KMSK,,,,
XMSK,,,,
