data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,57.48,8.32,4.149,34.28,462.003,197.761,105.732,74.693,0.499
2017-01-02,78.36,3.78,5.053,36.62,373.902,162.431,104.713,77.452,0.984
2017-01-03,71.23,1.2,4.778,37.78,305.918,142.236,103.404,78.72,1.456
2017-01-04,65.4,12.47,4.552,39.51,256.578,128.554,104.667,84.729,1.914
2017-01-05,64.91,15.13,4.668,52.42,221.868,118.753,108.641,95.172,8.989
2017-01-06,99.84,30.58,4.843,63.38,201.429,122.777,127.224,132.946,31.983
2017-01-07,110.06,4.99,4.553,66.56,184.105,143.432,137.231,144.746,52.512
2017-01-08,104.26,6.19,4.468,60.92,169.046,170.096,143.168,144.854,65.059
2017-01-09,91.96,3.85,5.048,58.05,156.279,175.334,144.398,139.446,59.455
2017-01-10,81.95,3.44,3.698,52.69,145.469,149.597,142.016,132.18,54.333
2017-01-11,74.3,1.7,3.952,48.96,135.999,128.191,137.108,124.605,48.799
2017-01-12,71.3,0.62,4.036,45.69,127.505,111.07,130.793,117.525,44.016
2017-01-13,67.64,0.0,4.329,44.24,119.865,99.424,123.929,111.239,39.888
2017-01-14,59.58,0.0,5.006,43.64,113.107,90.826,117.104,105.769,36.324
2017-01-15,53.13,0.01,4.591,41.21,107.191,83.831,110.676,101.025,33.235
2017-01-16,49.29,5.13,4.617,40.87,103.355,78.027,105.313,97.668,30.581
2017-01-17,47.82,16.75,5.263,43.33,103.997,74.342,105.54,103.865,28.305
2017-01-18,48.52,2.52,4.499,42.84,103.591,75.056,104.151,104.218,26.358
2017-01-19,48.91,1.68,4.285,48.38,101.77,80.406,102.284,101.773,24.698
2017-01-20,55.62,0.17,4.533,52.59,99.162,83.25,99.727,98.299,23.286
2017-01-21,51.51,0.34,4.936,48.07,96.29,76.722,96.653,94.606,22.084
2017-01-22,48.64,19.38,4.642,44.35,98.369,71.765,100.202,103.574,21.07
2017-01-23,48.46,1.89,4.542,53.04,99.039,72.205,100.704,104.682,20.219
