,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,64.1,65.625,4.77,3.679,37.39,510.836,164.061,104.884,77.596,0.829
2017-01-02,59.7,63.497,6.11,4.818,39.95,476.188,135.474,103.868,81.897,1.636
2017-01-03,55.3,57.483,1.29,4.441,41.0,441.936,119.221,102.521,84.519,2.422
2017-01-04,73.26,67.116,14.28,4.079,42.53,412.633,110.292,104.825,93.659,6.188
2017-01-05,98.0,90.633,13.78,4.327,48.85,389.24,108.177,108.699,104.38,15.566
2017-01-06,111.0,114.129,36.65,4.813,96.44,380.418,121.996,135.214,157.465,50.718
2017-01-07,212.0,244.059,10.31,4.106,102.77,385.682,157.504,150.466,177.404,81.282
2017-01-08,137.5,147.244,12.67,4.101,97.99,378.036,211.005,162.713,183.863,85.485
2017-01-09,113.0,115.501,1.84,4.967,87.19,364.713,234.226,167.712,178.359,85.576
2017-01-10,108.75,111.802,2.3,3.801,76.45,345.027,210.692,167.402,168.452,80.396
2017-01-11,106.75,107.037,2.55,3.897,71.91,321.205,178.168,163.15,157.837,75.641
2017-01-12,105.25,109.471,0.38,3.769,66.28,297.457,145.516,156.283,147.849,71.277
2017-01-13,101.25,102.559,0.0,4.152,62.25,274.273,124.293,148.075,139.05,67.269
2017-01-14,90.9,94.164,0.0,4.927,57.1,252.349,109.753,139.441,131.537,63.59
2017-01-15,75.6,79.177,0.01,4.731,52.32,232.105,99.307,130.998,125.203,60.213
2017-01-16,62.45,65.455,8.33,4.531,51.0,215.491,91.668,124.412,122.049,57.12
2017-01-17,68.04,76.29,20.97,4.949,53.96,205.897,89.385,126.17,133.054,60.878
2017-01-18,88.18,87.199,2.38,4.278,63.53,198.793,97.545,124.727,134.352,64.388
2017-01-19,88.18,90.008,0.63,4.056,62.28,191.482,114.248,122.549,131.231,61.078
2017-01-20,85.16,84.445,0.16,4.376,57.1,180.355,117.507,119.366,126.577,58.043
2017-01-21,79.72,81.383,0.58,4.516,52.92,168.875,103.978,115.374,121.684,55.258
2017-01-22,72.68,73.894,7.96,4.332,54.25,159.371,92.954,112.085,119.003,52.708
2017-01-23,67.46,66.569,2.47,4.551,54.28,151.542,86.397,108.178,115.703,50.374
2017-01-24,64.1,65.695,3.07,3.596,52.11,144.051,84.371,104.29,112.436,48.239
2017-01-25,59.15,60.989,14.44,3.777,49.59,139.617,82.971,104.22,115.836,47.841
2017-01-26,65.78,64.135,4.17,3.815,50.18,136.853,83.387,102.706,115.579,47.719
2017-01-27,69.78,70.412,16.22,3.988,60.14,139.444,91.611,105.545,121.74,53.648
2017-01-28,73.84,72.572,8.18,3.947,68.6,150.142,101.693,106.763,123.657,61.562
2017-01-29,95.75,92.289,2.52,4.171,76.61,151.977,111.303,106.358,121.627,61.34
2017-01-30,100.25,100.988,1.38,4.135,86.25,148.496,116.411,104.627,117.986,58.536
2017-01-31,101.25,100.964,7.67,4.141,85.72,142.156,107.366,102.92,115.723,55.963
2017-02-01,109.0,107.817,2.24,5.057,82.98,136.234,97.916,100.093,112.584,53.604
2017-02-02,104.5,105.39,2.2,4.695,89.75,129.653,92.852,96.809,109.259,51.441
2017-02-03,104.5,104.742,8.29,4.39,84.54,124.385,88.819,94.488,108.066,49.459
2017-02-04,104.75,105.42,0.23,4.785,81.09,119.415,84.601,91.473,105.806,47.643
2017-02-05,103.25,103.68,0.72,4.518,91.8,113.436,83.188,88.353,103.18,45.98
2017-02-06,100.5,101.522,0.0,4.313,87.17,107.128,80.592,85.179,100.568,44.455
2017-02-07,95.0,96.678,0.29,4.545,78.43,100.884,75.322,82.051,98.112,43.055
2017-02-08,84.56,88.694,11.66,4.501,87.85,97.506,71.488,81.594,99.941,41.776
2017-02-09,82.14,86.358,0.96,4.224,87.83,95.665,70.991,80.122,99.271,40.608
2017-02-10,76.16,78.199,1.7,4.275,88.4,92.845,74.363,78.52,97.513,39.542
2017-02-11,66.36,67.523,9.89,4.653,97.59,91.437,75.697,78.47,98.255,38.569
2017-02-12,93.66,115.5,41.27,4.244,122.8,110.987,77.758,109.073,149.364,71.286
2017-02-13,122.5,119.778,15.31,3.508,140.83,149.386,100.351,128.552,171.663,108.885
2017-02-14,114.25,115.14,1.75,2.826,144.05,162.65,156.588,140.861,172.249,110.097
2017-02-15,120.75,118.999,0.02,3.394,140.2,162.607,196.773,146.425,163.881,103.933
2017-02-16,130.75,129.608,0.04,3.615,123.85,154.638,174.822,146.098,152.736,98.246
2017-02-17,127.5,129.312,11.88,4.148,107.91,147.337,144.016,144.152,146.125,93.0
2017-02-18,119.0,120.416,1.72,4.164,97.52,140.756,126.554,138.375,137.656,88.162
2017-02-19,110.5,111.934,0.33,4.096,90.7,133.096,122.236,130.885,129.087,83.7
2017-02-20,105.25,106.537,0.08,3.311,82.56,124.297,116.363,122.572,121.264,79.585
2017-02-21,100.25,102.128,0.0,3.816,74.22,115.441,103.999,114.133,114.461,75.787
2017-02-22,94.0,97.043,0.03,3.35,67.46,107.146,93.839,106.05,108.661,72.283
2017-02-23,84.56,87.562,2.95,3.969,62.42,100.259,85.873,98.774,103.946,69.051
2017-02-24,72.68,77.557,1.34,3.902,58.34,94.703,79.939,92.237,99.9,66.07
2017-02-25,66.3,68.218,5.1,4.368,60.47,90.644,75.233,86.963,97.097,63.323
2017-02-26,66.33,68.843,0.29,4.441,60.82,87.323,71.548,82.207,94.323,60.787
2017-02-27,57.5,60.377,0.32,4.382,55.67,83.649,68.74,78.059,91.715,58.447
2017-02-28,51.12,53.034,4.59,4.109,51.49,80.839,66.096,74.816,89.853,56.292
2017-03-01,49.55,51.098,9.61,4.111,53.84,80.578,63.947,73.556,90.581,54.306
2017-03-02,83.79,80.727,8.96,3.887,62.87,82.448,64.676,73.297,91.93,53.64
2017-03-03,77.39,80.228,8.22,4.586,68.32,85.036,69.964,73.583,92.977,55.284
2017-03-04,95.5,94.608,1.36,3.858,74.73,86.163,76.726,72.977,91.781,55.654
2017-03-05,86.98,89.467,7.2,4.012,89.3,86.262,79.255,72.782,91.136,54.183
