data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,31.73,7.37,4.054,2.1,262.589,112.684,105.082,40.114,0.073
2017-01-02,31.92,3.7,4.995,4.5,247.13,92.339,103.292,40.089,0.145
2017-01-03,32.32,0.88,4.734,8.31,233.136,80.473,101.37,40.047,0.216
2017-01-04,31.5,17.01,4.482,16.13,220.279,71.633,102.651,43.309,0.531
2017-01-05,35.23,10.42,4.572,23.37,209.25,67.789,103.662,44.801,1.046
2017-01-06,49.1,37.87,4.858,48.92,200.36,74.765,119.89,72.01,14.846
2017-01-07,61.77,4.08,4.456,71.7,194.719,90.32,128.275,79.446,27.482
2017-01-08,72.54,10.96,4.375,71.66,189.692,115.503,133.836,79.094,39.286
2017-01-09,78.26,2.28,5.03,60.16,183.724,114.468,134.686,74.869,36.989
2017-01-10,82.87,2.6,3.649,47.87,175.999,99.841,132.15,69.542,34.85
2017-01-11,78.26,1.19,3.925,38.2,166.636,84.774,127.307,64.326,32.628
2017-01-12,69.13,0.37,3.97,30.39,156.292,71.176,121.212,59.691,30.559
2017-01-13,54.69,0.0,4.266,25.27,145.657,62.204,114.669,55.76,28.632
2017-01-14,40.21,0.0,5.011,20.99,135.292,55.491,108.214,52.512,26.837
2017-01-15,34.98,0.01,4.639,16.83,125.582,50.392,102.165,49.866,25.165
2017-01-16,32.04,12.94,4.578,14.22,116.943,46.831,98.6,49.21,23.611
2017-01-17,30.4,24.91,5.229,13.2,110.615,47.475,101.947,58.669,28.343
2017-01-18,36.65,5.71,4.429,21.47,107.589,56.575,102.82,60.414,32.812
2017-01-19,42.53,0.91,4.212,26.84,105.735,70.291,102.227,58.918,36.981
2017-01-20,39.78,0.16,4.499,21.58,102.996,70.304,100.131,56.288,34.699
2017-01-21,34.34,0.25,4.868,16.84,98.804,60.843,96.901,53.477,32.524
2017-01-22,30.88,12.6,4.607,14.11,93.678,53.345,94.834,52.295,30.499
2017-01-23,29.87,2.05,4.645,13.81,89.003,50.342,91.779,50.465,28.614
2017-01-24,31.0,1.09,3.715,15.04,84.551,51.617,88.385,48.564,26.859
2017-01-25,33.98,24.6,3.867,20.3,80.872,51.476,91.745,57.512,29.063
2017-01-26,43.16,9.84,4.153,42.13,84.486,54.513,93.223,59.68,31.337
2017-01-27,46.7,4.84,4.183,45.77,87.622,67.541,93.224,58.402,33.487
2017-01-28,46.44,14.99,4.172,42.38,89.794,74.148,94.167,58.758,33.379
2017-01-29,46.33,2.02,4.315,40.73,93.544,72.005,92.821,56.854,33.073
2017-01-30,46.5,2.5,4.537,38.91,94.273,72.31,90.249,54.247,32.767
2017-01-31,46.63,12.08,4.014,50.33,91.082,67.915,88.42,52.98,30.908
2017-02-01,50.46,1.54,4.908,55.66,87.553,62.975,85.415,51.022,29.178
2017-02-02,54.1,5.77,4.939,51.19,86.067,62.97,82.317,48.989,27.568
2017-02-03,55.46,12.7,4.65,46.7,81.87,60.484,80.657,48.781,26.137
2017-02-04,51.27,0.54,5.002,46.91,80.338,58.216,78.103,47.669,24.806
2017-02-05,46.71,1.38,4.626,47.21,78.988,59.436,75.26,46.309,23.568
2017-02-06,43.89,0.0,4.522,39.66,75.124,56.469,72.188,44.989,22.211
2017-02-07,38.34,0.19,4.741,31.53,70.72,50.627,69.049,43.817,20.947
2017-02-08,33.1,6.09,4.79,26.84,66.205,45.854,66.411,42.822,19.772
2017-02-09,29.67,1.11,4.271,23.64,62.204,42.499,63.774,41.997,18.678
2017-02-10,27.48,2.26,4.317,20.29,58.805,40.472,61.327,41.321,17.661
2017-02-11,25.48,10.08,4.825,20.08,55.984,38.684,60.169,41.342,16.715
2017-02-12,27.5,39.75,4.36,26.14,58.586,40.507,76.803,75.725,28.527
2017-02-13,44.26,14.31,3.703,47.36,74.046,54.662,87.948,88.236,41.108
2017-02-14,52.96,2.03,2.918,56.62,85.302,87.699,94.399,88.056,52.849
2017-02-15,55.88,0.03,3.525,51.77,91.489,103.932,96.346,82.861,51.116
2017-02-16,57.89,0.04,3.532,40.84,91.133,90.755,94.656,76.214,47.948
2017-02-17,59.66,7.06,4.386,36.32,87.294,74.633,91.135,69.722,44.996
2017-02-18,61.49,2.99,4.343,36.33,81.843,64.316,86.177,63.916,42.246
2017-02-19,62.08,1.27,4.195,56.09,76.043,59.437,80.617,58.979,39.683
2017-02-20,61.48,0.07,3.453,53.62,70.261,54.884,74.993,54.894,37.296
2017-02-21,60.42,0.0,3.798,41.74,64.691,49.946,69.653,51.566,35.071
2017-02-22,59.51,0.03,3.596,33.0,59.651,45.805,64.788,48.88,32.997
2017-02-23,53.38,5.09,3.946,28.32,55.254,42.483,60.777,46.722,31.066
2017-02-24,40.38,0.64,3.975,26.64,51.836,40.06,57.204,44.994,29.268
2017-02-25,36.67,7.11,4.366,36.59,49.242,38.513,54.675,43.657,27.592
2017-02-26,36.0,0.43,4.421,38.16,47.475,37.413,52.297,42.566,26.033
2017-02-27,33.43,0.33,4.451,32.69,46.068,36.779,50.147,41.681,24.579
2017-02-28,31.11,8.33,4.289,27.78,44.733,35.612,48.962,41.157,23.226
2017-03-01,28.81,15.87,4.188,27.96,44.055,35.218,50.481,43.975,22.243
2017-03-02,31.55,9.34,4.098,30.84,44.482,38.873,51.747,44.902,21.525
2017-03-03,38.35,8.01,4.663,34.29,46.089,46.205,52.707,44.719,20.983
2017-03-04,39.24,1.62,4.025,34.5,47.956,50.465,52.54,43.959,20.205
2017-03-05,43.4,10.65,3.956,53.64,49.965,49.665,52.828,43.851,19.447
2017-03-06,42.75,1.19,4.127,55.48,50.627,47.568,51.965,43.205,18.619
2017-03-07,38.4,0.59,4.273,49.38,53.121,47.262,50.489,42.41,17.85
2017-03-08,33.23,0.33,4.468,42.7,51.52,45.231,48.589,41.634,16.974
2017-03-09,28.81,0.42,4.037,34.6,49.037,41.251,46.479,40.943,16.16
2017-03-10,26.27,1.42,4.081,28.36,46.16,37.97,44.349,40.354,15.402
2017-03-11,24.66,1.28,3.956,23.61,43.35,35.377,42.301,39.863,14.696
2017-03-12,24.3,16.48,3.618,24.58,41.109,34.214,43.502,43.138,14.211
2017-03-13,28.46,0.22,3.703,26.45,40.265,35.794,43.53,43.887,13.761
2017-03-14,30.63,0.08,3.7,31.58,39.933,40.61,43.102,43.552,13.344
2017-03-15,27.99,0.09,4.233,30.74,39.222,41.23,42.154,42.818,12.788
2017-03-16,24.43,6.13,4.05,25.38,38.151,37.608,41.248,42.001,12.27
2017-03-17,28.25,5.84,3.482,22.54,37.264,34.959,40.327,41.23,11.79
2017-03-18,30.31,2.19,3.49,21.55,36.752,34.017,39.128,40.556,11.344
2017-03-19,31.04,1.07,3.859,24.86,36.296,33.788,37.768,39.986,10.931
2017-03-20,29.48,0.61,4.05,25.11,35.643,32.411,36.32,39.512,10.546
2017-03-21,27.99,1.05,3.333,22.0,34.719,30.47,34.869,39.123,10.19
2017-03-22,26.68,0.39,2.956,18.44,33.676,28.796,33.458,38.803,9.858
2017-03-23,24.84,0.36,3.456,15.63,32.507,27.457,32.126,38.541,9.55
2017-03-24,23.28,2.18,2.929,14.51,31.446,26.354,30.946,38.325,9.265
2017-03-25,22.3,1.17,3.749,13.76,30.591,25.359,29.861,38.146,9.0
2017-03-26,21.56,0.08,3.891,12.16,29.92,24.452,28.859,37.997,8.754
2017-03-27,20.91,2.17,3.658,11.12,29.325,23.619,27.988,37.87,8.526
2017-03-28,20.13,1.14,3.53,10.14,28.869,22.847,27.179,37.763,8.315
2017-03-29,19.61,2.22,3.021,9.58,28.545,22.133,26.471,37.671,8.119
