,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,34.88,40.015,12.93,4.414,0.43,392.046,88.695,105.696,46.166,0.151
2017-01-02,40.41,56.945,3.46,5.429,1.21,363.009,73.554,104.663,45.683,0.294
2017-01-03,44.76,56.493,3.35,4.894,2.12,334.264,64.077,103.679,44.549,0.429
2017-01-04,40.89,50.578,10.34,4.656,6.45,308.227,58.3,103.35,43.616,1.284
2017-01-05,41.6,50.996,40.63,5.106,29.32,285.896,56.038,114.742,52.959,14.147
2017-01-06,61.44,93.417,38.18,4.856,56.64,282.012,59.028,131.793,68.589,37.765
2017-01-07,102.1,120.254,6.95,4.994,55.23,296.282,67.286,144.303,78.47,60.784
2017-01-08,109.09,122.622,7.19,4.945,43.37,285.602,80.362,155.232,83.048,82.607
2017-01-09,109.09,123.605,5.02,5.325,40.11,270.607,104.878,163.159,85.19,91.054
2017-01-10,108.79,129.921,12.43,4.192,46.99,256.819,143.276,168.822,86.749,90.32
2017-01-11,111.52,134.028,4.95,4.145,47.88,245.604,175.08,171.077,88.314,89.23
2017-01-12,113.35,135.385,1.62,4.315,42.77,233.961,163.63,170.582,88.959,87.43
2017-01-13,106.66,134.977,0.0,4.591,36.48,216.983,132.932,167.849,88.721,85.726
2017-01-14,104.53,131.83,0.0,5.166,32.56,198.907,113.242,163.396,87.67,81.393
2017-01-15,90.54,124.116,0.02,4.574,30.36,181.447,100.341,157.723,85.908,77.017
2017-01-16,74.11,102.184,0.53,4.893,27.13,164.956,89.279,151.273,83.605,72.877
2017-01-17,58.85,77.295,6.54,5.523,26.71,149.868,76.453,144.727,81.085,68.96
2017-01-18,54.0,63.294,4.31,4.767,30.82,136.657,66.726,138.067,78.563,65.253
2017-01-19,45.25,58.524,2.01,4.633,30.81,125.088,59.779,131.467,75.828,61.746
2017-01-20,40.41,54.963,0.36,4.844,25.49,114.694,54.597,125.065,72.792,58.427
2017-01-21,33.31,48.979,1.23,5.437,22.25,105.154,50.56,118.965,69.404,55.286
2017-01-22,30.24,39.532,4.14,4.868,20.27,96.497,47.408,113.331,65.848,52.314
2017-01-23,25.8,38.911,1.97,4.357,21.29,88.838,44.756,108.052,62.328,49.502
2017-01-24,22.57,38.705,4.74,3.926,21.99,82.06,42.242,103.317,58.852,46.841
2017-01-25,38.08,52.386,21.47,4.029,25.28,76.699,40.356,102.302,58.303,44.798
2017-01-26,56.3,66.428,6.36,4.478,35.43,73.381,39.656,100.563,58.575,43.491
2017-01-27,62.25,76.208,0.44,4.591,35.64,70.743,40.308,98.939,57.784,42.253
2017-01-28,65.48,79.954,8.96,4.136,30.99,67.898,42.528,97.828,56.489,41.309
