data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,85.04,12.9,4.546,2.18,419.027,363.938,110.442,60.326,2.761
2017-01-02,71.0,4.57,5.302,8.05,416.775,306.664,109.297,61.268,5.135
2017-01-03,55.42,2.89,4.887,7.39,396.412,249.829,106.44,59.656,4.764
2017-01-04,54.09,9.19,4.789,27.43,373.143,208.763,105.355,60.423,6.007
2017-01-05,198.32,33.82,5.104,56.88,358.762,206.729,142.959,106.924,33.132
2017-01-06,258.58,37.31,4.897,66.23,349.664,301.117,201.856,182.525,83.944
2017-01-07,260.36,6.47,4.886,52.73,331.218,412.215,216.553,198.146,102.297
2017-01-08,238.54,8.44,4.798,39.85,310.131,332.028,212.379,190.259,91.771
2017-01-09,201.65,4.43,5.055,34.51,288.318,264.824,196.194,171.147,81.512
2017-01-10,166.18,5.1,3.906,25.78,267.639,217.233,176.617,150.114,70.124
2017-01-11,150.37,6.26,4.09,27.29,249.106,190.131,158.403,131.427,62.534
2017-01-12,143.84,0.86,4.31,22.22,230.591,172.997,141.684,113.722,55.664
2017-01-13,115.21,0.0,4.568,15.07,212.82,151.494,127.607,98.274,47.948
2017-01-14,91.34,0.0,4.969,12.66,196.546,132.877,116.162,85.337,41.479
2017-01-15,76.27,0.01,4.377,11.1,181.902,118.937,107.001,74.718,36.056
2017-01-16,66.12,0.35,4.752,9.88,168.929,107.793,99.668,66.088,31.512
2017-01-17,66.74,3.83,5.54,11.15,158.634,98.47,94.237,59.627,27.712
2017-01-18,55.81,0.7,4.736,9.81,148.9,90.575,89.47,54.101,24.534
2017-01-19,49.37,1.73,4.617,8.38,140.193,83.8,85.377,49.489,21.881
2017-01-20,45.7,0.23,4.754,7.46,131.905,77.928,81.636,45.591,19.666
2017-01-21,41.59,1.34,5.339,7.8,124.595,72.795,78.264,42.302,17.82
2017-01-22,40.84,10.48,4.94,19.67,121.324,68.656,79.049,44.092,16.288
2017-01-23,53.22,1.89,4.207,19.73,116.741,66.137,77.471,43.088,15.021
2017-01-24,50.81,1.14,3.678,22.53,111.261,62.409,74.94,40.916,13.976
2017-01-25,56.42,32.67,3.917,58.7,116.975,63.967,110.295,81.838,29.495
2017-01-26,68.68,7.0,4.476,60.78,117.354,84.46,121.078,93.84,44.915
2017-01-27,68.06,0.3,4.5,34.4,112.574,83.235,120.22,90.913,41.588
2017-01-28,49.57,3.73,4.239,20.59,107.483,69.894,113.24,82.945,36.523
2017-01-29,42.73,2.18,4.407,15.72,102.134,62.616,103.594,73.52,32.275
2017-01-30,39.62,4.35,4.271,15.4,97.595,58.972,94.398,65.114,28.717
2017-01-31,40.3,17.12,4.074,30.21,98.645,59.738,96.328,70.45,31.351
2017-02-01,52.83,3.57,4.289,27.06,96.661,72.065,92.778,67.953,33.602
2017-02-03,54.19,8.27,4.818,30.45,97.512,69.472,89.753,65.174,32.396
2017-02-04,61.86,2.32,4.818,26.1,93.767,64.855,84.495,59.69,31.404
2017-02-05,50.55,3.9,4.312,20.92,91.729,60.13,79.129,54.099,28.114
2017-02-06,39.71,0.0,4.801,18.32,86.551,55.316,73.562,48.518,25.36
2017-02-07,34.12,0.11,4.798,13.21,81.272,52.206,68.431,43.48,23.056
