data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,13.57,9.27,4.768,1.15,289.09,134.457,105.752,20.134,2.064
2017-01-02,11.34,1.48,5.701,2.21,221.193,110.131,103.745,19.023,3.289
2017-01-03,11.51,3.52,5.191,3.04,167.86,89.894,101.488,17.843,3.995
2017-01-04,9.68,8.82,5.06,10.05,127.853,77.054,100.104,17.167,4.383
2017-01-05,12.75,23.76,5.357,23.37,101.759,76.905,106.386,20.894,12.375
2017-01-06,23.34,36.04,4.999,30.41,117.339,104.838,126.201,32.352,40.675
2017-01-07,51.16,2.59,5.24,23.83,118.139,127.924,129.857,32.977,54.432
2017-01-08,42.14,9.57,5.226,25.23,97.541,96.53,126.313,30.364,44.127
2017-01-09,33.76,1.63,5.501,21.76,75.56,83.58,118.413,26.281,36.702
2017-01-10,25.07,7.06,4.34,16.72,62.616,71.867,110.5,22.58,30.13
2017-01-11,20.05,2.49,4.312,13.6,49.526,64.922,103.085,19.204,25.339
2017-01-12,25.53,1.68,4.508,12.4,39.784,56.709,96.781,16.389,21.828
2017-01-13,23.19,0.01,4.814,10.89,32.548,50.611,91.617,14.141,19.236
2017-01-14,13.33,0.0,5.306,10.02,27.183,45.864,87.45,12.376,17.301
2017-01-15,9.2,0.02,4.744,9.09,23.211,41.934,84.057,10.991,15.836
2017-01-16,5.58,0.3,5.096,8.33,20.274,38.634,81.226,9.895,14.702
2017-01-17,2.97,2.51,5.734,7.84,18.099,35.827,78.879,9.024,13.811
2017-01-18,3.09,0.8,5.026,7.61,16.485,33.412,76.741,8.307,13.093
2017-01-19,4.32,1.66,4.888,7.32,15.282,31.313,74.785,7.705,12.502
2017-01-20,5.13,0.53,4.953,7.08,14.378,29.474,72.91,7.191,12.002
2017-01-21,4.8,7.31,5.662,11.34,13.69,27.873,71.908,7.09,11.569
2017-01-22,3.97,4.8,5.148,9.84,13.159,26.47,70.779,6.875,11.186
2017-01-23,5.53,3.59,4.476,8.47,12.742,25.15,69.378,6.548,10.839
2017-01-24,8.25,1.05,4.152,7.55,12.409,23.978,67.654,6.158,10.52
2017-01-25,8.91,19.0,4.162,10.6,12.139,23.803,71.253,8.957,10.222
2017-01-26,20.64,2.84,4.839,10.11,14.022,24.453,71.362,9.245,9.941
2017-01-27,17.34,0.24,5.011,8.81,15.423,22.441,69.486,8.573,9.674
2017-01-28,11.53,9.12,4.386,10.73,14.368,21.652,67.996,8.269,9.419
2017-01-29,11.23,1.68,4.653,9.81,13.567,21.595,65.607,7.511,9.173
2017-01-30,14.56,19.7,4.736,28.56,13.673,22.584,68.822,10.254,12.413
2017-01-31,19.47,13.88,4.103,34.26,18.789,28.694,71.143,11.943,21.936
2017-02-01,33.17,24.85,4.497,70.51,38.918,38.068,78.954,17.463,40.43
2017-02-02,26.88,8.01,5.337,59.49,55.779,49.834,79.753,17.795,49.516
2017-02-03,16.64,7.75,5.194,43.81,50.409,41.388,76.973,16.248,43.896
2017-02-04,16.11,0.36,5.151,33.22,43.189,37.385,71.942,13.83,38.003
2017-02-05,12.35,1.04,4.763,26.35,39.948,33.39,66.647,11.482,31.909
2017-02-06,7.8,0.0,4.883,22.04,33.126,30.953,61.955,9.522,27.433
2017-02-07,5.28,0.34,5.022,19.19,28.041,29.143,58.128,7.997,24.123
2017-02-08,5.63,7.74,5.845,19.93,24.25,27.797,56.003,7.315,21.652
2017-02-09,8.64,1.13,4.856,18.4,21.422,26.824,53.927,6.573,19.782
2017-02-10,6.86,0.36,4.838,16.32,19.308,25.254,51.966,5.916,18.336
2017-02-11,6.55,25.73,5.474,38.51,18.437,27.356,60.132,12.236,17.392
2017-02-12,12.11,21.17,4.935,42.27,29.852,38.265,68.57,17.96,28.368
2017-02-13,22.29,16.58,4.152,45.13,50.197,49.733,73.163,20.785,45.531
2017-02-14,42.57,17.27,3.583,52.51,63.167,59.122,75.47,22.598,56.888
2017-02-15,42.16,0.2,3.974,40.19,65.141,62.26,71.911,20.45,56.821
2017-02-16,24.99,0.23,3.994,31.19,58.421,48.775,66.185,17.274,47.209
2017-02-17,15.29,2.57,4.744,26.4,47.405,42.662,60.424,14.268,40.156
2017-02-18,37.99,1.03,4.597,23.25,39.165,39.27,55.429,11.791,34.954
2017-02-19,27.12,3.62,4.403,25.1,33.0,36.378,51.626,9.947,31.084
