data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,79.12,12.47,4.766,13.12,216.387,71.233,106.466,22.562,1.211
2017-01-02,50.98,1.94,5.417,12.86,201.292,62.776,105.282,23.228,2.285
2017-01-03,43.3,5.37,4.991,12.08,185.19,50.697,103.706,23.504,2.189
2017-01-04,34.07,9.23,4.949,20.92,171.132,43.671,102.751,24.47,2.725
2017-01-05,90.96,26.04,5.257,38.46,161.241,46.476,109.661,34.537,6.13
2017-01-06,136.6,37.52,4.988,37.87,163.363,67.255,127.628,58.46,20.963
2017-01-07,124.0,6.05,5.033,36.64,163.651,85.481,128.406,63.844,31.179
2017-01-08,86.52,16.32,4.991,58.58,152.931,68.808,124.747,65.865,29.333
2017-01-09,87.56,3.71,5.154,42.99,142.386,65.128,117.089,61.807,27.587
2017-01-10,70.46,5.76,4.04,29.86,130.323,52.799,109.714,56.231,24.689
2017-01-11,62.92,9.43,4.209,38.37,119.447,47.493,104.574,51.661,22.906
2017-01-12,54.26,0.53,4.476,29.73,110.744,45.612,99.986,46.497,21.127
2017-01-13,46.43,0.01,4.759,22.4,101.885,38.662,96.202,41.669,18.834
2017-01-14,40.2,0.0,5.034,18.57,93.009,33.613,93.188,37.492,16.831
2017-01-15,35.86,0.03,4.376,16.2,85.473,30.154,90.779,34.01,15.082
2017-01-16,32.35,0.28,4.874,14.64,79.098,27.336,88.793,31.167,13.554
2017-01-17,29.6,2.21,5.666,13.65,73.97,24.994,87.14,28.901,12.221
2017-01-18,27.4,0.48,4.862,12.87,69.437,23.023,85.608,27.064,11.058
2017-01-19,26.3,1.39,4.778,12.27,65.312,21.337,84.179,25.587,10.043
2017-01-20,23.0,0.57,4.858,11.81,61.525,19.881,82.792,24.399,9.157
2017-01-21,21.24,1.36,5.47,11.76,58.083,18.607,81.463,23.448,8.384
2017-01-22,23.11,8.93,5.124,13.35,56.044,18.125,81.178,23.673,8.237
2017-01-23,22.12,6.98,4.227,24.54,54.794,19.107,80.73,23.897,8.508
2017-01-24,19.92,0.76,3.788,19.79,52.449,18.637,79.435,23.513,8.227
2017-01-25,28.5,22.47,4.019,33.41,52.086,20.13,84.36,29.517,10.334
2017-01-26,26.85,2.96,4.62,26.89,51.57,27.126,84.236,30.759,12.193
2017-01-27,19.48,0.2,4.674,20.11,48.248,22.57,81.689,29.999,11.097
2017-01-28,18.16,6.06,4.333,19.59,45.181,19.67,79.07,28.995,10.37
2017-01-29,16.84,2.84,4.456,16.88,42.867,19.222,76.489,27.642,9.739
2017-01-30,16.84,8.87,4.23,23.99,41.476,18.676,75.169,27.225,9.606
2017-01-31,20.36,16.41,4.139,25.99,43.195,21.871,76.88,29.821,11.245
2017-02-01,15.96,6.72,4.263,20.82,47.103,26.384,76.362,30.22,12.402
2017-02-02,16.84,5.18,5.276,17.93,46.311,23.56,74.565,29.49,11.681
2017-02-03,17.72,9.68,4.91,19.24,44.926,21.431,73.346,29.34,11.371
