data,Q_obs,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-01-01,71.46,9.39,5.136,18.28,519.763,71.862,106.361,35.048,0.624
2017-01-02,55.33,2.89,5.668,19.23,356.654,64.855,103.537,34.829,1.22
2017-01-03,58.19,11.48,5.288,27.48,246.861,57.019,102.929,36.897,1.79
2017-01-04,50.32,8.89,5.339,26.42,175.772,57.484,101.671,38.205,3.327
2017-01-05,53.71,22.83,5.459,37.26,132.739,61.63,109.559,49.498,18.199
2017-01-06,147.64,44.0,5.141,47.69,111.348,102.609,150.173,96.079,60.462
2017-01-07,159.94,2.29,5.366,45.64,93.865,161.919,155.046,102.886,80.476
2017-01-08,104.69,7.52,5.521,38.97,81.316,109.515,146.614,96.016,65.116
2017-01-09,89.05,2.82,5.598,34.55,71.806,81.967,132.695,83.901,53.158
2017-01-10,102.86,6.78,4.367,29.92,65.379,67.787,119.927,72.668,43.872
2017-01-11,83.34,3.83,4.448,28.11,60.361,60.835,109.048,62.45,36.683
2017-01-12,69.53,0.34,4.841,27.17,55.687,52.131,100.209,53.666,31.138
2017-01-13,58.3,0.02,5.157,24.36,51.506,45.558,93.281,46.578,26.882
2017-01-14,50.59,0.01,5.246,22.8,47.866,40.882,87.851,41.036,23.634
2017-01-15,45.52,0.03,4.475,21.66,44.705,37.17,83.495,36.765,21.167
2017-01-16,41.36,0.21,5.275,20.71,41.982,34.149,79.87,33.486,19.29
2017-01-17,38.92,1.87,5.851,19.92,39.944,31.635,76.805,30.997,17.873
2017-01-18,35.53,0.3,5.07,19.15,38.002,29.517,74.006,29.03,16.808
2017-01-19,32.5,1.22,5.075,18.48,36.392,27.701,71.434,27.463,16.018
2017-01-20,30.22,2.1,5.02,29.2,35.205,26.134,69.08,26.241,15.44
2017-01-21,29.72,2.64,5.608,28.56,34.367,24.776,66.913,25.296,15.025
2017-01-22,31.68,12.26,5.434,32.42,35.638,25.388,67.945,27.966,14.746
2017-01-23,32.22,4.86,4.418,27.41,36.23,29.367,67.027,28.431,14.569
2017-01-24,34.19,0.51,4.172,24.83,35.575,27.029,64.755,27.486,14.47
2017-01-25,34.73,16.59,4.185,26.54,37.718,27.944,67.956,32.756,14.429
2017-01-26,40.56,2.86,4.927,28.48,38.174,36.404,66.785,32.969,14.432
2017-01-27,34.92,0.13,5.153,24.0,37.235,31.889,63.796,31.143,14.466
2017-01-28,28.89,13.51,4.449,25.8,38.545,30.544,64.229,33.276,14.522
2017-01-29,27.78,2.56,4.513,24.04,38.52,36.186,61.961,32.131,14.592
2017-01-30,28.24,11.65,4.34,27.93,39.645,34.488,61.677,33.205,17.36
2017-01-31,29.01,20.15,4.208,50.59,42.952,43.132,67.831,42.023,32.026
2017-02-01,42.33,14.49,4.441,40.72,45.767,60.366,71.168,47.633,48.838
2017-02-02,40.13,6.53,5.273,34.26,46.559,63.064,69.217,46.654,50.749
