65060001,2552023
SAO MATEUS DO SUL,RIO IGUACU
8628139,-50.38172,-25.8824
datahora,q_m3s,qc1_m3s
1930-05-23T10:00:00+00:00,27.00,27.00
1930-05-24T10:00:00+00:00,25.62,25.62
1930-05-25T10:00:00+00:00,25.62,25.62
1930-05-26T10:00:00+00:00,25.62,25.62
1930-05-27T10:00:00+00:00,26.54,26.54
1930-05-28T10:00:00+00:00,26.54,26.54
1930-05-29T10:00:00+00:00,24.24,24.24
1930-05-30T10:00:00+00:00,24.24,24.24
1930-05-31T10:00:00+00:00,24.24,24.24
1930-06-01T10:00:00+00:00,24.24,24.24
1930-06-02T10:00:00+00:00,24.24,24.24
1930-06-03T10:00:00+00:00,24.24,24.24
1930-06-04T10:00:00+00:00,24.24,24.24
1930-06-05T10:00:00+00:00,24.24,24.24
1930-06-06T10:00:00+00:00,23.32,23.32
1930-06-07T10:00:00+00:00,23.32,23.32
1930-06-08T10:00:00+00:00,22.86,22.86
1930-06-09T10:00:00+00:00,22.40,22.40
1930-06-10T10:00:00+00:00,22.40,22.40
1930-06-11T10:00:00+00:00,22.40,22.40
1930-06-12T10:00:00+00:00,22.40,22.40
1930-06-13T10:00:00+00:00,22.40,22.40
1930-06-14T10:00:00+00:00,22.40,22.40
1930-06-15T10:00:00+00:00,22.40,22.40
1930-06-16T10:00:00+00:00,22.40,22.40
1930-06-17T10:00:00+00:00,22.40,22.40
1930-06-18T10:00:00+00:00,22.40,22.40
1930-06-19T10:00:00+00:00,22.40,22.40
1930-06-20T10:00:00+00:00,22.40,22.40
1930-06-21T10:00:00+00:00,22.40,22.40
1930-06-22T10:00:00+00:00,21.97,21.97
1930-06-23T10:00:00+00:00,21.97,21.97
1930-06-24T10:00:00+00:00,21.54,21.54
1930-06-25T10:00:00+00:00,21.11,21.11
1930-06-26T10:00:00+00:00,21.11,21.11
1930-06-27T10:00:00+00:00,20.68,20.68
1930-06-28T10:00:00+00:00,19.82,19.82
1930-06-29T10:00:00+00:00,18.96,18.96
1930-06-30T10:00:00+00:00,18.10,18.10
1930-07-01T10:00:00+00:00,18.10,18.10
1930-07-02T10:00:00+00:00,18.10,18.10
1930-07-03T10:00:00+00:00,17.64,17.64
1930-07-04T10:00:00+00:00,17.18,17.18
1930-07-05T10:00:00+00:00,18.53,18.53
1930-07-06T10:00:00+00:00,22.86,22.86
1930-07-07T10:00:00+00:00,26.54,26.54
1930-07-08T10:00:00+00:00,37.00,37.00
1930-07-09T10:00:00+00:00,46.64,46.64
1930-07-10T10:00:00+00:00,53.30,53.30
1930-07-11T10:00:00+00:00,53.30,53.30
1930-07-12T10:00:00+00:00,53.30,53.30
1930-07-13T10:00:00+00:00,53.30,53.30
1930-07-14T10:00:00+00:00,52.75,52.75
1930-07-15T10:00:00+00:00,47.80,47.80
1930-07-16T10:00:00+00:00,38.00,38.00
1930-07-17T10:00:00+00:00,37.00,37.00
1930-07-18T10:00:00+00:00,33.43,33.43
1930-07-19T10:00:00+00:00,33.43,33.43
1930-07-20T10:00:00+00:00,32.41,32.41
1930-07-21T10:00:00+00:00,29.94,29.94
1930-07-22T10:00:00+00:00,27.98,27.98
1930-07-23T10:00:00+00:00,27.00,27.00
1930-07-24T10:00:00+00:00,26.08,26.08
1930-07-25T10:00:00+00:00,25.62,25.62
1930-07-26T10:00:00+00:00,24.70,24.70
1930-07-27T10:00:00+00:00,24.70,24.70
1930-07-28T10:00:00+00:00,24.70,24.70
1930-07-29T10:00:00+00:00,23.32,23.32
1930-07-30T10:00:00+00:00,23.32,23.32
1930-07-31T10:00:00+00:00,22.86,22.86
1930-08-01T10:00:00+00:00,22.40,22.40
1930-08-02T10:00:00+00:00,21.54,21.54
1930-08-03T10:00:00+00:00,20.68,20.68
1930-08-04T10:00:00+00:00,20.25,20.25
1930-08-05T10:00:00+00:00,20.25,20.25
1930-08-06T10:00:00+00:00,20.25,20.25
1930-08-07T10:00:00+00:00,20.25,20.25
1930-08-08T10:00:00+00:00,20.25,20.25
1930-08-09T10:00:00+00:00,21.11,21.11
1930-08-10T10:00:00+00:00,21.11,21.11
1930-08-11T10:00:00+00:00,21.11,21.11
1930-08-12T10:00:00+00:00,20.68,20.68
1930-08-13T10:00:00+00:00,20.68,20.68
1930-08-14T10:00:00+00:00,21.54,21.54
1930-08-15T10:00:00+00:00,21.97,21.97
1930-08-16T10:00:00+00:00,22.40,22.40
1930-08-17T10:00:00+00:00,29.45,29.45
1930-08-18T10:00:00+00:00,37.00,37.00
1930-08-19T10:00:00+00:00,39.50,39.50
1930-08-20T10:00:00+00:00,44.90,44.90
1930-08-21T10:00:00+00:00,47.80,47.80
1930-08-22T10:00:00+00:00,48.90,48.90
1930-08-23T10:00:00+00:00,48.90,48.90
1930-08-24T10:00:00+00:00,50.55,50.55
1930-08-25T10:00:00+00:00,53.30,53.30
1930-08-26T10:00:00+00:00,37.00,37.00
1930-08-27T10:00:00+00:00,37.00,37.00
1930-08-28T10:00:00+00:00,34.45,34.45
1930-08-29T10:00:00+00:00,31.90,31.90
1930-08-30T10:00:00+00:00,34.45,34.45
1930-08-31T10:00:00+00:00,47.80,47.80
1930-09-01T10:00:00+00:00,59.00,59.00
1930-09-02T10:00:00+00:00,79.70,79.70
1930-09-03T10:00:00+00:00,82.80,82.80
1930-09-04T10:00:00+00:00,76.60,76.60
1930-09-05T10:00:00+00:00,73.60,73.60
1930-09-06T10:00:00+00:00,73.60,73.60
1930-09-07T10:00:00+00:00,67.70,67.70
1930-09-08T10:00:00+00:00,67.70,67.70
1930-09-09T10:00:00+00:00,59.00,59.00
1930-09-10T10:00:00+00:00,53.30,53.30
1930-09-11T10:00:00+00:00,50.55,50.55
1930-09-12T10:00:00+00:00,39.50,39.50
1930-09-13T10:00:00+00:00,34.45,34.45
1930-09-14T10:00:00+00:00,31.90,31.90
1930-09-15T10:00:00+00:00,28.96,28.96
1930-09-16T10:00:00+00:00,27.98,27.98
1930-09-17T10:00:00+00:00,27.49,27.49
1930-09-18T10:00:00+00:00,27.49,27.49
1930-09-19T10:00:00+00:00,27.49,27.49
1930-09-20T10:00:00+00:00,27.49,27.49
1930-09-21T10:00:00+00:00,27.49,27.49
1930-09-22T10:00:00+00:00,27.49,27.49
1930-09-23T10:00:00+00:00,27.49,27.49
1930-09-24T10:00:00+00:00,27.49,27.49
1930-09-25T10:00:00+00:00,27.49,27.49
1930-09-26T10:00:00+00:00,27.49,27.49
1930-09-27T10:00:00+00:00,27.49,27.49
1930-09-28T10:00:00+00:00,27.49,27.49
1930-09-29T10:00:00+00:00,27.49,27.49
1930-09-30T10:00:00+00:00,27.49,27.49
1930-10-01T10:00:00+00:00,27.49,27.49
1930-10-02T10:00:00+00:00,28.47,28.47
1930-10-03T10:00:00+00:00,28.47,28.47
1930-10-04T10:00:00+00:00,28.47,28.47
1930-10-05T10:00:00+00:00,29.45,29.45
1930-10-06T10:00:00+00:00,30.43,30.43
1930-10-07T10:00:00+00:00,31.90,31.90
1930-10-08T10:00:00+00:00,39.50,39.50
1930-10-09T10:00:00+00:00,39.50,39.50
1930-10-10T10:00:00+00:00,39.50,39.50
1930-10-11T10:00:00+00:00,50.55,50.55
1930-10-12T10:00:00+00:00,53.30,53.30
1930-10-13T10:00:00+00:00,57.86,57.86
1930-10-14T10:00:00+00:00,59.00,59.00
1930-10-15T10:00:00+00:00,64.80,64.80
1930-10-16T10:00:00+00:00,71.80,71.80
1930-10-17T10:00:00+00:00,76.60,76.60
1930-10-18T10:00:00+00:00,79.70,79.70
1930-10-19T10:00:00+00:00,84.04,84.04
1930-10-20T10:00:00+00:00,85.90,85.90
1930-10-21T10:00:00+00:00,95.50,95.50
1930-10-22T10:00:00+00:00,108.00,108.00
1930-10-23T10:00:00+00:00,134.80,134.80
1930-10-24T10:00:00+00:00,136.40,136.40
1930-10-25T10:00:00+00:00,136.40,136.40
1930-10-26T10:00:00+00:00,136.40,136.40
1930-10-27T10:00:00+00:00,162.00,162.00
1930-10-28T10:00:00+00:00,174.00,174.00
1930-10-29T10:00:00+00:00,178.00,178.00
1930-10-30T10:00:00+00:00,182.50,182.50
1930-10-31T10:00:00+00:00,182.50,182.50
1930-11-01T10:00:00+00:00,130.00,130.00
1930-11-02T10:00:00+00:00,191.50,191.50
1930-11-03T10:00:00+00:00,191.50,191.50
1930-11-04T10:00:00+00:00,178.00,178.00
1930-11-05T10:00:00+00:00,187.00,187.00
1930-11-06T10:00:00+00:00,192.40,192.40
1930-11-07T10:00:00+00:00,145.00,145.00
1930-11-08T10:00:00+00:00,129.20,129.20
1930-11-09T10:00:00+00:00,120.60,120.60
1930-11-10T10:00:00+00:00,104.50,104.50
1930-11-11T10:00:00+00:00,98.25,98.25
1930-11-12T10:00:00+00:00,77.84,77.84
1930-11-13T10:00:00+00:00,77.84,77.84
1930-11-14T10:00:00+00:00,64.80,64.80
1930-11-15T10:00:00+00:00,64.80,64.80
1930-11-16T10:00:00+00:00,64.80,64.80
1930-11-17T10:00:00+00:00,64.80,64.80
1930-11-18T10:00:00+00:00,64.80,64.80
1930-11-19T10:00:00+00:00,59.00,59.00
1930-11-20T10:00:00+00:00,53.30,53.30
1930-11-21T10:00:00+00:00,53.30,53.30
1930-11-22T10:00:00+00:00,47.80,47.80
1930-11-23T10:00:00+00:00,44.90,44.90
1930-11-24T10:00:00+00:00,64.80,64.80
1930-11-25T10:00:00+00:00,67.12,67.12
1930-11-26T10:00:00+00:00,61.90,61.90
1930-11-27T10:00:00+00:00,56.15,56.15
1930-11-28T10:00:00+00:00,50.55,50.55
1930-11-29T10:00:00+00:00,53.30,53.30
1930-11-30T10:00:00+00:00,47.80,47.80
1930-12-01T10:00:00+00:00,53.87,53.87
1930-12-02T10:00:00+00:00,57.86,57.86
1930-12-03T10:00:00+00:00,56.72,56.72
1930-12-04T10:00:00+00:00,53.30,53.30
1930-12-05T10:00:00+00:00,50.55,50.55
1930-12-06T10:00:00+00:00,47.80,47.80
1930-12-07T10:00:00+00:00,47.80,47.80
1930-12-08T10:00:00+00:00,46.64,46.64
1930-12-09T10:00:00+00:00,47.80,47.80
1930-12-10T10:00:00+00:00,47.22,47.22
1930-12-11T10:00:00+00:00,44.90,44.90
1930-12-12T10:00:00+00:00,43.16,43.16
1930-12-13T10:00:00+00:00,43.74,43.74
1930-12-14T10:00:00+00:00,53.30,53.30
1930-12-15T10:00:00+00:00,56.15,56.15
1930-12-16T10:00:00+00:00,73.60,73.60
1930-12-17T10:00:00+00:00,79.70,79.70
1930-12-18T10:00:00+00:00,81.56,81.56
1930-12-19T10:00:00+00:00,84.04,84.04
1930-12-20T10:00:00+00:00,87.76,87.76
1930-12-21T10:00:00+00:00,95.50,95.50
