,telemetrica,convencional,vazao
1935-01-01,,,
1935-01-02,,,
1935-01-03,,,
1935-01-04,,,
1935-01-05,,,
1935-01-06,,,
1935-01-07,,,
1935-01-08,,,
1935-01-09,,,
1935-01-10,,,
1935-01-11,,,
1935-01-12,,,
1935-01-13,,,
1935-01-14,,,
1935-01-15,,,
1935-01-16,,,
1935-01-17,,,
1935-01-18,,,
1935-01-19,,,
1935-01-20,,,
1935-01-21,,,
1935-01-22,,,
1935-01-23,,,
1935-01-24,,,
1935-01-25,,,
1935-01-26,,,
1935-01-27,,,
1935-01-28,,,
1935-01-29,,,
1935-01-30,,,
1935-01-31,,,
1935-02-01,,,
1935-02-02,,,
1935-02-03,,,
1935-02-04,,,
1935-02-05,,,
1935-02-06,,,
1935-02-07,,,
1935-02-08,,,
1935-02-09,,,
1935-02-10,,,
1935-02-11,,,
1935-02-12,,,
1935-02-13,,,
1935-02-14,,,
1935-02-15,,,
1935-02-16,,,
1935-02-17,,,
1935-02-18,,,
1935-02-19,,,
1935-02-20,,,
1935-02-21,,,
1935-02-22,,,
1935-02-23,,,
1935-02-24,,,
1935-02-25,,,
1935-02-26,,,
1935-02-27,,,
1935-02-28,,,
1935-03-01,,,
1935-03-02,,,
1935-03-03,,,
1935-03-04,,,
1935-03-05,,,
1935-03-06,,,
1935-03-07,,,
1935-03-08,,,
1935-03-09,,,
1935-03-10,,,
1935-03-11,,,
1935-03-12,,,
1935-03-13,,,
1935-03-14,,,
1935-03-15,,,
1935-03-16,,,
1935-03-17,,,
1935-03-18,,,
1935-03-19,,,
1935-03-20,,,
1935-03-21,,,
1935-03-22,,,
1935-03-23,,,
1935-03-24,,,
1935-03-25,,,
1935-03-26,,,
1935-03-27,,,
1935-03-28,,,
1935-03-29,,,
1935-03-30,,,
1935-03-31,,,
1935-04-01,,,
1935-04-02,,,
1935-04-03,,,
1935-04-04,,,
1935-04-05,,,
1935-04-06,,,
1935-04-07,,,
1935-04-08,,,
1935-04-09,,,
1935-04-10,,,
1935-04-11,,,
1935-04-12,,,
1935-04-13,,,
1935-04-14,,,
1935-04-15,,,
1935-04-16,,,
1935-04-17,,,
1935-04-18,,,
1935-04-19,,,
1935-04-20,,,
1935-04-21,,,
1935-04-22,,,
1935-04-23,,,
1935-04-24,,,
1935-04-25,,,
1935-04-26,,,
1935-04-27,,,
1935-04-28,,,
1935-04-29,,,
1935-04-30,,,
1935-05-01,,,
1935-05-02,,,
1935-05-03,,,
1935-05-04,,,
1935-05-05,,,
1935-05-06,,,
1935-05-07,,,
1935-05-08,,,
1935-05-09,,,
1935-05-10,,,
1935-05-11,,,
1935-05-12,,,
1935-05-13,,,
1935-05-14,,,
1935-05-15,,,
1935-05-16,,,
1935-05-17,,,
1935-05-18,,,
1935-05-19,,,
1935-05-20,,,
1935-05-21,,,
1935-05-22,,,
1935-05-23,,,
1935-05-24,,,
1935-05-25,,,
1935-05-26,,,
1935-05-27,,,
1935-05-28,,,
1935-05-29,,,
1935-05-30,,,
1935-05-31,,,
1935-06-01,,,
1935-06-02,,,
1935-06-03,,,
1935-06-04,,,
1935-06-05,,,
1935-06-06,,,
1935-06-07,,,
1935-06-08,,,
1935-06-09,,,
1935-06-10,,,
1935-06-11,,,
1935-06-12,,,
1935-06-13,,,
1935-06-14,,,
1935-06-15,,,
1935-06-16,,,
