datahora,Qobs,Qsim
2017-01-01 00:00:00+00:00,56.687,14.491
2017-01-01 06:00:00+00:00,54.997,15.145
2017-01-01 12:00:00+00:00,54.860,15.522
2017-01-01 18:00:00+00:00,55.302,15.675
2017-01-02 00:00:00+00:00,59.327,15.739
2017-01-02 06:00:00+00:00,68.547,15.691
2017-01-02 12:00:00+00:00,76.732,15.566
2017-01-02 18:00:00+00:00,80.568,15.394
2017-01-03 00:00:00+00:00,80.850,15.307
2017-01-03 06:00:00+00:00,78.638,15.156
2017-01-03 12:00:00+00:00,74.608,14.951
2017-01-03 18:00:00+00:00,70.122,14.775
2017-01-04 00:00:00+00:00,67.735,14.560
2017-01-04 06:00:00+00:00,67.092,14.316
2017-01-04 12:00:00+00:00,67.002,14.050
2017-01-04 18:00:00+00:00,65.722,13.958
2017-01-05 00:00:00+00:00,64.305,14.672
2017-01-05 06:00:00+00:00,61.342,15.318
2017-01-05 12:00:00+00:00,62.178,16.193
2017-01-05 18:00:00+00:00,63.025,16.646
2017-01-06 00:00:00+00:00,67.378,16.975
2017-01-06 06:00:00+00:00,80.192,19.524
2017-01-06 12:00:00+00:00,94.498,21.133
2017-01-06 18:00:00+00:00,101.453,22.107
2017-01-07 00:00:00+00:00,105.562,23.398
2017-01-07 06:00:00+00:00,109.432,24.199
2017-01-07 12:00:00+00:00,110.897,24.593
2017-01-07 18:00:00+00:00,110.413,24.773
2017-01-08 00:00:00+00:00,109.508,24.811
2017-01-08 06:00:00+00:00,108.333,24.761
2017-01-08 12:00:00+00:00,106.403,24.612
2017-01-08 18:00:00+00:00,104.065,24.386
2017-01-09 00:00:00+00:00,102.347,24.884
2017-01-09 06:00:00+00:00,99.550,25.072
2017-01-09 12:00:00+00:00,95.718,24.978
2017-01-09 18:00:00+00:00,91.522,24.764
2017-01-10 00:00:00+00:00,88.012,25.103
2017-01-10 06:00:00+00:00,86.107,25.182
2017-01-10 12:00:00+00:00,84.185,25.018
2017-01-10 18:00:00+00:00,81.870,24.714
2017-01-11 00:00:00+00:00,79.810,24.651
2017-01-11 06:00:00+00:00,77.728,24.451
2017-01-11 12:00:00+00:00,75.722,24.129
2017-01-11 18:00:00+00:00,74.012,23.742
2017-01-12 00:00:00+00:00,72.808,23.545
2017-01-12 06:00:00+00:00,71.835,23.267
2017-01-12 12:00:00+00:00,71.260,22.894
2017-01-12 18:00:00+00:00,71.178,22.476
2017-01-13 00:00:00+00:00,71.373,22.030
2017-01-13 06:00:00+00:00,71.032,21.565
2017-01-13 12:00:00+00:00,69.815,21.094
2017-01-13 18:00:00+00:00,67.860,20.613
2017-01-14 00:00:00+00:00,65.538,20.126
2017-01-14 06:00:00+00:00,63.295,19.636
2017-01-14 12:00:00+00:00,61.312,19.150
2017-01-14 18:00:00+00:00,59.692,18.665
2017-01-15 00:00:00+00:00,57.693,18.182
2017-01-15 06:00:00+00:00,56.095,17.703
2017-01-15 12:00:00+00:00,54.560,17.233
2017-01-15 18:00:00+00:00,53.080,16.746
2017-01-16 00:00:00+00:00,51.610,16.281
2017-01-16 06:00:00+00:00,50.622,15.829
2017-01-16 12:00:00+00:00,49.740,15.384
2017-01-16 18:00:00+00:00,48.928,14.942
2017-01-17 00:00:00+00:00,48.083,16.041
2017-01-17 06:00:00+00:00,50.300,17.716
2017-01-17 12:00:00+00:00,48.950,18.633
2017-01-17 18:00:00+00:00,47.118,19.095
2017-01-18 00:00:00+00:00,46.765,19.569
2017-01-18 06:00:00+00:00,46.905,19.783
2017-01-18 12:00:00+00:00,47.822,19.802
2017-01-18 18:00:00+00:00,48.683,19.719
2017-01-19 00:00:00+00:00,49.240,19.579
2017-01-19 06:00:00+00:00,49.533,19.605
2017-01-19 12:00:00+00:00,49.278,19.508
2017-01-19 18:00:00+00:00,48.357,19.300
2017-01-20 00:00:00+00:00,48.322,19.036
2017-01-20 06:00:00+00:00,50.960,18.734
2017-01-20 12:00:00+00:00,55.140,18.409
2017-01-20 18:00:00+00:00,57.022,18.063
2017-01-21 00:00:00+00:00,56.540,17.700
2017-01-21 06:00:00+00:00,55.042,17.313
2017-01-21 12:00:00+00:00,53.068,16.932
2017-01-21 18:00:00+00:00,51.128,16.545
2017-01-22 00:00:00+00:00,49.843,16.161
2017-01-22 06:00:00+00:00,49.193,15.779
2017-01-22 12:00:00+00:00,48.522,15.407
2017-01-22 18:00:00+00:00,48.705,15.423
2017-01-23 00:00:00+00:00,48.618,15.323
2017-01-23 06:00:00+00:00,48.458,15.093
2017-01-23 12:00:00+00:00,48.168,14.820
2017-01-23 18:00:00+00:00,48.243,14.521
2017-01-24 00:00:00+00:00,48.688,14.437
2017-01-24 06:00:00+00:00,49.092,14.266
2017-01-24 12:00:00+00:00,49.225,14.021
2017-01-24 18:00:00+00:00,48.765,13.760
2017-01-25 00:00:00+00:00,48.223,13.490
2017-01-25 06:00:00+00:00,47.010,13.460
2017-01-25 12:00:00+00:00,46.357,14.208
2017-01-25 18:00:00+00:00,47.143,15.744
2017-01-26 00:00:00+00:00,49.073,17.067
2017-01-26 06:00:00+00:00,50.787,17.749
2017-01-26 12:00:00+00:00,55.663,18.071
2017-01-26 18:00:00+00:00,62.682,18.451
2017-01-27 00:00:00+00:00,69.912,19.077
2017-01-27 06:00:00+00:00,75.172,19.381
2017-01-27 12:00:00+00:00,76.732,19.450
2017-01-27 18:00:00+00:00,75.005,19.406
2017-01-28 00:00:00+00:00,72.208,19.396
2017-01-28 06:00:00+00:00,70.165,19.294
2017-01-28 12:00:00+00:00,68.677,19.109
2017-01-28 18:00:00+00:00,67.188,18.882
2017-01-29 00:00:00+00:00,66.178,18.997
2017-01-29 06:00:00+00:00,64.655,18.981
2017-01-29 12:00:00+00:00,63.068,18.822
2017-01-29 18:00:00+00:00,61.713,18.582
2017-01-30 00:00:00+00:00,60.708,18.312
2017-01-30 06:00:00+00:00,60.115,18.008
