Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,152.10857897654634,109.8220598041317,109.8220598041317,143.6951532474112
UZFWM,88.74931538830558,6.132119742078741,6.132119742078741,6.821220326107701
LZTWM,156.30263007836578,156.30263007836578,31.6414930976062,27.320581751090693
LZFPM,505.4870839821017,505.4870839821017,264.2944299344009,531.0773969884918
LZFSM,395.55937974235434,395.55937974235434,395.1722868546523,98.56399078727661
UZK,0.5702718803828003,0.4538053160806096,0.4538053160806096,0.10085690260593183
LZPK,0.006529676272859828,0.006529676272859828,0.004431403266026004,0.0021072141212461746
LZSK,0.06886660617201144,0.06886660617201144,0.08049741640940195,0.07276947183069933
ADIMP,0.19892512205248092,0.1978941268014032,0.1978941268014032,0.1997974407049682
PCTIM,0.1427923364114993,0.19870849991871675,0.10939947494406477,0.16819150888251494
ZPERC,11.508709737506663,289.0906302414565,289.0906302414565,315.0400927968953
REXP,4.213082645292913,1.8664046757869512,1.8664046757869512,1.0569114731823526
PFREE,0.714055391533543,0.714055391533543,0.20988300349658554,0.00885761883286557
NUH,2.055064981256777,2.870626543701801,2.9381858802122065,3.074267524974934
KUH,4.11577806084247,3.4642947383700715,2.270261668199311,3.2422044333922235
NMSK,,,,
KMSK,,,,
XMSK,,,,
