Bacia;Codigo;Legenda
01;0112;B01 - Sem chuva
01;0116;B01 - Com chuva
02;0212;B02 - Sem chuva
02;0216;B02 - Com chuva
03;0312;B03 - Sem chuva
03;0316;B03 - Com chuva
04;0412;B04 - Sem chuva
04;0416;B04 - Com chuva
05;0512;B05 - Sem chuva
05;0516;B05 - Com chuva
06;0612;B06 - Sem chuva
06;0616;B06 - Com chuva
07;0712;B07 - Sem chuva
07;0716;B07 - Com chuva
08;0812;B08 - Sem chuva
08;0816;B08 - Com chuva
09;0912;B09 - Sem chuva
09;0916;B09 - Com chuva
10;1012;B10 - Sem chuva
10;1015;B10 - Com chuva
11;1112;B11 - Sem chuva
11;1115;B11 - Com chuva
12;1210;B12 - Sem chuva
12;1214;B12 - Com chuva
13;1312;B13 - Sem chuva
13;1315;B13 - Com chuva
14;1412;B14 - Sem chuva
14;1415;B14 - Com chuva
15;1512;B15 - Sem chuva
15;1515;B15 - Com chuva
16;1610;B16 - Sem chuva
16;1614;B16 - Com chuva
17;1710;B17 - Sem chuva
17;1714;B17 - Com chuva
18;1810;B18 - Sem chuva
18;1812;B18 - Com chuva
19;1910;B19 - Sem chuva
19;1912;B19 - Com chuva
20;2010;B20 - Sem chuva
20;2012;B20 - Com chuva
21;2112;B21 - Sem chuva
21;2115;B21 - Com chuva
