2003
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.12,0.00,0.033,58.202,0.000
2013-01-01T12:00:00+00:00,2.54,0.00,1.875,59.702,0.000
2013-01-01T18:00:00+00:00,8.01,0.00,2.068,60.994,0.000
2013-01-02T00:00:00+00:00,0.37,0.00,0.077,62.240,0.000
2013-01-02T06:00:00+00:00,0.84,0.00,0.027,63.258,0.000
2013-01-02T12:00:00+00:00,1.10,0.00,2.084,64.133,0.000
2013-01-02T18:00:00+00:00,0.59,0.00,2.778,64.971,0.000
2013-01-03T00:00:00+00:00,0.88,0.00,0.108,65.766,0.000
2013-01-03T06:00:00+00:00,0.17,0.00,0.029,66.494,0.000
2013-01-03T12:00:00+00:00,0.13,0.00,2.072,67.112,0.000
2013-01-03T18:00:00+00:00,0.00,0.00,2.532,67.641,0.000
2013-01-04T00:00:00+00:00,0.01,0.00,0.101,68.044,0.000
2013-01-04T06:00:00+00:00,0.08,0.00,0.028,68.486,0.000
2013-01-04T12:00:00+00:00,0.04,0.00,1.860,68.838,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.509,69.103,0.000
2013-01-05T00:00:00+00:00,0.04,0.00,0.084,69.430,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.027,69.771,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,1.852,70.000,0.000
2013-01-05T18:00:00+00:00,0.05,0.00,2.593,nan,0.000
2013-01-06T00:00:00+00:00,0.01,0.00,0.099,nan,0.000
2013-01-06T06:00:00+00:00,0.82,0.00,0.030,69.985,0.000
2013-01-06T12:00:00+00:00,3.61,0.00,2.155,70.036,0.000
2013-01-06T18:00:00+00:00,0.72,0.00,2.586,69.645,0.000
2013-01-07T00:00:00+00:00,5.28,0.00,0.087,69.103,0.000
2013-01-07T06:00:00+00:00,0.12,0.00,0.025,68.410,0.000
2013-01-07T12:00:00+00:00,0.07,0.00,1.873,67.300,0.000
2013-01-07T18:00:00+00:00,0.32,0.00,2.449,65.688,0.000
2013-01-08T00:00:00+00:00,0.30,0.00,0.110,63.534,0.000
2013-01-08T06:00:00+00:00,1.23,0.00,0.030,60.732,0.000
2013-01-08T12:00:00+00:00,5.56,0.00,2.006,57.172,0.000
2013-01-08T18:00:00+00:00,13.00,0.00,2.260,53.217,0.000
2013-01-09T00:00:00+00:00,0.01,0.00,0.077,48.692,0.000
2013-01-09T06:00:00+00:00,0.00,0.00,0.021,44.460,0.000
2013-01-09T12:00:00+00:00,0.00,0.00,2.197,41.683,0.000
2013-01-09T18:00:00+00:00,8.70,0.00,2.730,40.284,0.000
