2209
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.10,0.00,0.030,35.130,0.000
2013-01-01T12:00:00+00:00,9.30,0.00,1.884,36.608,0.000
2013-01-01T18:00:00+00:00,11.77,0.00,2.417,37.975,0.000
2013-01-02T00:00:00+00:00,0.62,0.00,0.083,39.666,0.000
2013-01-02T06:00:00+00:00,0.08,0.00,0.032,41.400,0.000
2013-01-02T12:00:00+00:00,0.66,0.00,2.211,43.430,0.000
2013-01-02T18:00:00+00:00,0.26,0.00,3.065,45.556,0.000
2013-01-03T00:00:00+00:00,0.27,0.00,0.127,47.527,0.000
2013-01-03T06:00:00+00:00,0.12,0.00,0.042,49.000,0.000
2013-01-03T12:00:00+00:00,0.01,0.00,2.061,50.128,0.000
2013-01-03T18:00:00+00:00,0.01,0.00,2.658,50.979,0.000
2013-01-04T00:00:00+00:00,0.00,0.00,0.132,52.167,0.000
2013-01-04T06:00:00+00:00,0.00,0.00,0.042,53.156,0.000
2013-01-04T12:00:00+00:00,0.00,0.00,1.914,54.177,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.595,54.983,0.000
2013-01-05T00:00:00+00:00,0.13,0.00,0.103,55.661,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.034,56.008,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,2.011,56.094,0.000
2013-01-05T18:00:00+00:00,0.09,0.00,2.950,55.672,0.000
2013-01-06T00:00:00+00:00,0.03,0.00,0.111,55.002,0.000
2013-01-06T06:00:00+00:00,4.25,0.00,0.036,53.844,0.000
2013-01-06T12:00:00+00:00,3.01,0.00,2.117,52.500,0.000
2013-01-06T18:00:00+00:00,4.81,0.00,2.622,50.678,0.000
2013-01-07T00:00:00+00:00,9.70,0.00,0.078,49.040,0.000
2013-01-07T06:00:00+00:00,0.07,0.00,0.028,47.124,0.000
2013-01-07T12:00:00+00:00,0.07,0.00,2.014,45.232,0.000
2013-01-07T18:00:00+00:00,1.93,0.00,2.826,43.163,0.000
2013-01-08T00:00:00+00:00,0.84,0.00,0.129,41.420,0.000
2013-01-08T06:00:00+00:00,6.94,0.00,0.043,39.705,0.000
2013-01-08T12:00:00+00:00,25.25,0.00,2.102,38.470,0.000
2013-01-08T18:00:00+00:00,13.51,0.00,2.700,40.296,0.000
2013-01-09T00:00:00+00:00,0.02,0.00,0.097,45.804,0.000
2013-01-09T06:00:00+00:00,0.00,0.00,0.030,53.381,0.000
2013-01-09T12:00:00+00:00,0.00,0.00,2.266,61.665,0.000
2013-01-09T18:00:00+00:00,0.33,0.00,2.941,69.012,0.000
2013-01-10T00:00:00+00:00,0.22,0.00,0.087,75.060,0.000
2013-01-10T06:00:00+00:00,0.00,0.00,0.030,79.825,0.000
2013-01-10T12:00:00+00:00,0.00,0.00,1.882,83.725,0.000
